지역,사례수(명),70만원(100만원 이하),150(100~199만원),250(200~299만원),350(300~399만원),450(400만원 이상),계,평균,기초연금수급률,사회/여가/문화 만족도(평균),공시지가
강남구,148,0,14.2,24.1,16.4,45.3,100,342.8,26.2,68,1
강동구,140,20.2,17.2,22.8,18.8,21,100,257.24,51.9,60,0.208165125
강북구,120,17.5,27.1,25,24.6,5.8,100,227.6,74.4,60,0.0233753979
강서구,174,16.7,22.8,21.4,18.2,20.9,100,257.14,63,64,0.0512439694
관악구,149,12.1,19.5,15.8,25.4,27.3,100.1,288.97,60.6,62,0.189162678
광진구,97,1.9,33.7,31.5,16.7,16.1,99.9,261.53,51.8,66,0.252499758
구로구,135,22.6,25.7,15.3,13.8,22.7,100.1,243.07,61.8,52,0.0592649769
금천구,76,22.6,17.2,23.1,26.2,10.8,99.9,239.67,66.6,62,0.0746196778
노원구,166,20.1,34.9,15,7.1,22.9,100,231.82,66.1,66,0.00997866277
도봉구,121,12.2,28.4,27.7,16.7,15.1,100.1,246.79,67.4,54,0
동대문구,117,11.5,13.5,11.9,21.6,41.4,99.9,319.95,60.4,52,0.171566199
동작구,125,12.7,20.4,21.7,12.1,33.1,100,285.04,49.2,58,0.225565423
마포구,102,23.8,24.7,18.9,18.9,13.7,100,228.76,52.1,60,0.44798828
서대문구,101,11.3,36.6,19.8,11.3,21,100,246.36,61.5,68,0.127382353
서울 전체,3010,13.8,22.7,22.8,17.5,23.2,100,266.36,55.5,60,0.255708947
서초구,114,3,10.6,9.8,23.5,53.1,100,363.7,25.3,64,0.478872514
성동구,87,4.5,28.8,24.9,21.1,20.7,100,275.6,50.6,68,0.304063758
성북구,140,18.8,21.1,27.3,14.6,18.3,100.1,246.51,61.5,66,0.0928992986
송파구,185,4.6,10,34.9,23.9,26.6,100,308.82,36.8,66,0.441360992
양천구,130,22.2,22.6,20.8,11.6,22.8,100,244.64,58.1,60,0.123849598
영등포구,115,17.7,24.1,25.1,17.6,15.4,99.9,242.19,47.8,64,0.224766625
용산구,72,10.5,28.8,28.1,16.3,16.3,100,251.2,42.8,58,0.521253905
은평구,164,18.3,22.7,27.4,13.3,18.3,100,244.26,66.6,60,0.0929221974
종로구,52,11.8,28.6,23.2,10.6,25.8,100,262.36,51.4,56,0.30889759
중구,45,15.1,28.3,26,15.2,15.4,100,240.52,58.7,66,0.722274993
중랑구,135,10.1,25.1,29.1,20.7,15,100,257.42,69.5,62,0.082368408
