자치구,호텔수,노래방시설수,오락실시설수,빙상장 수,스포츠참여활동 수,관광활동 수,기타시설 수,문화예술관람활동 수,전시시설 수,공원 수,동/식물원/휴양림 수,소비활동 수,간이운동장 수,체육도장 수,당구장 수,수영장 수,도서관 수,휴식활동 수,영화관 수,노인복지관 시설수,경로당 시설수,노인교실 시설수,노인시설 수
종로구,42,91,8,1,107,1149,2413,329,176,85,6,8652,28,23,88,3,9,159,6,3,62,10,75
중구,106,64,5,1,212,423,3265,104,126,95,6,10960,3,31,170,9,8,185,9,2,50,3,55
용산구,14,74,0,0,128,61,2817,149,104,102,2,7309,8,32,42,7,4,170,3,2,89,21,112
성동구,5,159,9,1,136,109,2057,165,95,92,1,6787,0,52,71,6,7,158,2,4,164,12,180
광진구,12,306,5,1,181,127,3603,78,115,80,1,8469,5,82,129,9,7,155,6,1,95,8,104
동대문구,12,177,14,0,136,90,2533,21,140,100,0,8161,5,70,83,7,8,108,1,1,131,16,148
중랑구,3,323,10,1,114,49,3911,21,116,123,0,7181,7,84,106,4,5,125,3,5,128,11,144
성북구,4,144,6,1,146,49,2708,73,173,62,1,7957,40,117,133,9,13,201,2,6,177,6,189
강북구,6,300,26,2,80,111,1715,20,106,109,3,6265,40,64,94,2,7,125,3,1,100,17,118
도봉구,3,213,13,0,103,140,2477,16,118,97,1,5252,78,83,100,3,9,90,2,5,136,8,149
노원구,1,257,4,2,180,145,1526,24,205,228,2,7742,40,137,110,8,9,113,5,3,246,14,263
은평구,12,198,17,0,151,270,3094,35,185,136,1,8179,27,98,120,5,8,134,2,7,157,17,181
서대문구,12,100,2,1,81,29,2068,68,129,124,1,6497,23,63,58,3,4,125,5,4,112,12,128
마포구,22,187,2,5,233,261,3635,507,133,134,1,11921,100,81,81,7,6,129,8,4,155,13,172
양천구,1,218,4,4,228,53,2301,46,149,138,0,6769,2,141,105,17,10,124,2,4,164,23,191
강서구,20,303,18,1,373,26,5172,97,210,257,1,10980,73,165,139,15,9,153,6,5,219,25,249
구로구,14,293,44,2,201,154,3094,52,167,100,2,8093,54,96,127,6,13,129,3,2,201,20,223
금천구,10,191,14,0,99,48,3203,41,80,91,0,6400,35,56,123,2,4,89,2,3,73,9,85
영등포구,39,312,18,3,278,32,4061,145,165,144,1,11195,64,88,150,8,5,165,3,1,175,23,199
동작구,4,168,4,0,140,36,1508,44,171,110,0,5975,39,83,80,5,7,116,2,3,141,9,153
관악구,15,267,59,0,182,90,2336,44,196,151,0,9452,3,85,77,7,5,160,2,1,113,17,131
서초구,12,221,3,7,464,159,7716,416,196,155,4,11217,166,117,210,14,9,187,3,4,136,6,146
강남구,63,221,1,3,885,88,11678,1374,267,198,6,21218,110,147,177,13,15,404,10,6,167,20,193
송파구,22,456,9,18,602,204,4606,97,258,256,1,13249,10,180,206,18,12,229,4,3,172,16,191
강동구,4,228,12,0,202,95,5180,38,169,166,3,9246,5,121,112,5,10,162,3,3,124,10,137
