지역,질병없음,질병있음,운동X,운동 평균 횟수,건강(나쁨),건강(보통),건강(좋음),흡연,비흡연,장애등록O,장애등록X,우울증상없음,우울증상있음,음주 X,음주 O,연 12회 이하,음주 월 2~3회,음주 주 1회,음주 주2~3회,음주 주 4~6회,음주 매일,일상생활 완전 자립,일상생활 도움 필요,사회/여가/문화 만족도(평균)
강남구,0.143,0.857,0.119,2.7,0.078,0.295,0.627,0.021,0.979,0,1,0.893,0.107,0.717,0.283,0.128,0.122,0.026,0.009,0,0,0.877,0.124,0.034
강동구,0.242,0.758,0.609,1.2,0.189,0.347,0.464,0.193,0.807,0.038,0.962,0.928,0.072,0.638,0.362,0.098,0.181,0.054,0.006,0,0.022,0.858,0.136,0.03
강북구,0.145,0.855,0.173,2.2,0.138,0.498,0.364,0.155,0.845,0.071,0.929,0.901,0.099,0.422,0.578,0.07,0.089,0.263,0.15,0.007,0,0.959,0.041,0.03
강서구,0.192,0.808,0.043,3.7,0.159,0.312,0.529,0.107,0.893,0.09,0.91,0.925,0.075,0.69,0.310,0.121,0.044,0.028,0.08,0.037,0,0.858,0.139,0.032
관악구,0.176,0.824,0.169,3.5,0.19,0.24,0.57,0.138,0.862,0.064,0.936,0.816,0.184,0.726,0.274,0.044,0.04,0.075,0.057,0.022,0.035,0.846,0.126,0.031
광진구,0.201,0.799,0.084,2.6,0.025,0.384,0.591,0.172,0.828,0.015,0.985,0.975,0.025,0.142,0.858,0.272,0.202,0.189,0.196,0,0,0.943,0.057,0.033
구로구,0.114,0.886,0.181,3.4,0.275,0.303,0.422,0.125,0.875,0.081,0.919,0.807,0.193,0.635,0.365,0.056,0.085,0.074,0.08,0.015,0.055,0.906,0.088,0.026
금천구,0.181,0.819,0.152,3.3,0.213,0.368,0.419,0.073,0.927,0.069,0.931,0.88,0.12,0.704,0.296,0.099,0.035,0.106,0.039,0,0.018,0.852,0.148,0.031
노원구,0.185,0.815,0.23,2.7,0.199,0.414,0.386,0.174,0.826,0.082,0.918,0.912,0.088,0.467,0.533,0.113,0.153,0.13,0.137,0,0,0.815,0.162,0.033
도봉구,0.211,0.789,0.379,1.9,0.235,0.4,0.365,0.057,0.943,0.017,0.983,0.87,0.13,0.735,0.265,0.056,0.043,0.073,0.038,0.047,0.006,0.917,0.084,0.027
동대문구,0.284,0.716,0.13,2.5,0.326,0.418,0.255,0.08,0.92,0.07,0.93,0.825,0.175,0.551,0.449,0.201,0.188,0.042,0.017,0,0,0.876,0.125,0.026
동작구,0.182,0.818,0.22,3.2,0.323,0.345,0.332,0.044,0.956,0.078,0.922,0.808,0.192,0.694,0.306,0.102,0.122,0.046,0.021,0.008,0.007,0.901,0.082,0.029
마포구,0.089,0.911,0.232,3.1,0.203,0.438,0.359,0.069,0.931,0.027,0.973,0.918,0.082,0.697,0.303,0.087,0.114,0.025,0.032,0.018,0.027,0.766,0.225,0.03
서대문구,0.138,0.862,0.112,2.5,0.097,0.226,0.678,0.062,0.938,0.109,0.891,0.898,0.102,0.694,0.306,0.098,0.06,0.132,0.015,0,0,0.983,0.017,0.034
서초구,0.33,0.67,0.118,3,0.187,0.377,0.436,0.077,0.923,0.01,0.99,0.928,0.072,0.315,0.685,0.227,0.26,0.106,0.092,0,0,0.91,0.09,0.032
성동구,0.083,0.917,0.161,2.7,0.227,0.431,0.342,0.156,0.844,0.095,0.905,0.696,0.304,0.388,0.612,0.099,0.126,0.235,0.153,0,0,0.861,0.114,0.034
성북구,0.244,0.756,0.168,2.7,0.171,0.403,0.426,0.105,0.895,0.06,0.94,0.875,0.125,0.58,0.420,0.064,0.103,0.139,0.091,0.009,0.013,0.971,0.028,0.033
송파구,0.088,0.912,0.175,2.6,0.071,0.303,0.627,0.126,0.874,0.042,0.958,0.919,0.081,0.545,0.455,0.146,0.027,0.16,0.089,0.025,0.008,0.774,0.226,0.033
양천구,0.153,0.847,0.294,2.6,0.351,0.392,0.257,0.101,0.899,0.071,0.929,0.766,0.234,0.526,0.474,0.177,0.071,0.097,0.073,0,0.055,0.798,0.202,0.03
영등포구,0.2,0.8,0.207,3.1,0.142,0.295,0.562,0.102,0.898,0.047,0.953,0.871,0.129,0.753,0.247,0.033,0.032,0.086,0.063,0.007,0.026,0.846,0.145,0.032
용산구,0.247,0.753,0.256,1.6,0,0.189,0.811,0.195,0.805,0.054,0.946,0.982,0.018,0.049,0.951,0.502,0.297,0.067,0.077,0.009,0,0.63,0.359,0.029
은평구,0.201,0.799,0.247,3,0.116,0.342,0.542,0.11,0.89,0.085,0.915,0.939,0.061,0.647,0.353,0.108,0.039,0.101,0.06,0.005,0.04,0.946,0.054,0.03
종로구,0.193,0.807,0.476,1.5,0.157,0.39,0.453,0.035,0.965,0.093,0.907,0.874,0.126,0.61,0.390,0.048,0.041,0.135,0.132,0,0.034,0.938,0.062,0.028
중구,0.276,0.724,0.118,3.2,0.13,0.245,0.625,0.12,0.88,0.052,0.948,0.867,0.133,0.608,0.392,0.169,0.021,0.174,0.027,0,0,0.828,0.171,0.033
중랑구,0.219,0.781,0.498,1.9,0.118,0.386,0.496,0.087,0.913,0.044,0.956,0.895,0.105,0.651,0.349,0.039,0.137,0.052,0.096,0,0.025,0.759,0.234,0.031
