자치구,문화예술시설,스포츠시설 수,관광 시설,취미오락 시설,휴식 시설,소비 시설,노인시설 수
종로구,505,250,1155,114,286,11065,75
중구,230,426,429,86,386,14225,55
용산구,253,217,63,81,286,10126,112
성동구,260,266,110,177,255,8844,180
광진구,193,407,128,324,247,12072,104
동대문구,161,301,90,200,220,10694,148
중랑구,137,316,49,341,251,11092,144
성북구,246,446,50,165,267,10665,189
강북구,126,282,114,336,240,7980,118
도봉구,134,367,141,237,190,7729,149
노원구,229,477,147,275,342,9268,263
은평구,220,401,271,225,282,11273,181
서대문구,197,229,30,111,261,8565,128
마포구,640,507,262,203,285,15556,172
양천구,195,497,53,234,263,9070,191
강서구,307,766,27,336,430,16152,249
구로구,219,486,156,353,243,11187,223
금천구,121,315,48,211,190,9603,85
영등포구,310,591,33,338,348,15256,199
동작구,215,347,36,181,230,7483,153
관악구,240,354,90,333,326,11788,131
서초구,612,978,163,236,354,18933,146
강남구,1641,1335,94,247,665,32896,193
송파구,355,1034,205,481,507,17855,191
강동구,207,445,98,253,332,14426,137
