"행정동_ID","행정동_명칭","자치구_명칭","시도_명칭"
"3138041","개군면","양평군","경기도"
"3138040","용문면","양평군","경기도"
"3138039","지평면","양평군","경기도"
"3138038","양동면","양평군","경기도"
"3138037","청운면","양평군","경기도"
"3138036","단월면","양평군","경기도"
"3138035","서종면","양평군","경기도"
"3138034","옥천면","양평군","경기도"
"3138033","양서면","양평군","경기도"
"3138032","강하면","양평군","경기도"
"3138031","강상면","양평군","경기도"
"3138011","양평읍","양평군","경기도"
"3137036","조종면","가평군","경기도"
"3137035","북면","가평군","경기도"
"3137033","상면","가평군","경기도"
"3137032","청평면","가평군","경기도"
"3137031","설악면","가평군","경기도"
"3137011","가평읍","가평군","경기도"
"3135038","장단면","연천군","경기도"
"3135037","중면","연천군","경기도"
"3135036","신서면","연천군","경기도"
"3135035","왕징면","연천군","경기도"
"3135034","미산면","연천군","경기도"
"3135033","백학면","연천군","경기도"
"3135032","청산면","연천군","경기도"
"3135031","군남면","연천군","경기도"
"3135012","전곡읍","연천군","경기도"
"3135011","연천읍","연천군","경기도"
"3128053","오학동","여주시","경기도"
"3128052","중앙동","여주시","경기도"
"3128051","여흥동","여주시","경기도"
"3128038","강천면","여주시","경기도"
"3128037","북내면","여주시","경기도"
"3128036","대신면","여주시","경기도"
"3128035","산북면","여주시","경기도"
"3128034","금사면","여주시","경기도"
"3128033","흥천면","여주시","경기도"
"3128032","능서면","여주시","경기도"
"3128031","점동면","여주시","경기도"
"3128011","가납읍","여주시","경기도"
"3127052","선단동","포천시","경기도"
"3127051","포천동","포천시","경기도"
"3127041","화현면","포천시","경기도"
"3127040","관인면","포천시","경기도"
"3127039","영북면","포천시","경기도"
"3127038","이동면","포천시","경기도"
"3127037","일동면","포천시","경기도"
"3127036","영중면","포천시","경기도"
"3127035","창수면","포천시","경기도"
"3127034","신북면","포천시","경기도"
"3127033","가산면","포천시","경기도"
"3127032","내촌면","포천시","경기도"
"3127031","군내면","포천시","경기도"
"3127011","소흘읍","포천시","경기도"
"3126056","회천4동","양주시","경기도"
"3126055","회천3동","양주시","경기도"
"3126054","회천2동","양주시","경기도"
"3126053","회천1동","양주시","경기도"
"3126052","양주2동","양주시","경기도"
"3126051","양주1동","양주시","경기도"
"3126034","장흥면","양주시","경기도"
"3126033","광적면","양주시","경기도"
"3126032","남면","양주시","경기도"
"3126031","은현면","양주시","경기도"
"3126011","백석읍","양주시","경기도"
"3125053","광남동","광주시","경기도"
"3125052","송정동","광주시","경기도"
"3125051","경안동","광주시","경기도"
"3125038","남한산성면","광주시","경기도"
"3125036","남종면","광주시","경기도"
"3125035","퇴촌면","광주시","경기도"
"3125034","도척면","광주시","경기도"
"3125014","곤지암읍","광주시","경기도"
"3125012","초월읍","광주시","경기도"
"3125011","오포읍","광주시","경기도"
"3124063","동탄4동","화성시","경기도"
"3124062","동탄3동","화성시","경기도"
"3124061","동탄1동","화성시","경기도"
"3124060","동탄2동","화성시","경기도"
"3124057","화산동","화성시","경기도"
"3124056","기배동","화성시","경기도"
"3124055","반월동","화성시","경기도"
"3124054","병점2동","화성시","경기도"
"3124053","병점1동","화성시","경기도"
"3124052","진안동","화성시","경기도"
"3124045","동탄면","화성시","경기도"
"3124043","정남면","화성시","경기도"
"3124042","양감면","화성시","경기도"
"3124039","장안면","화성시","경기도"
"3124038","팔탄면","화성시","경기도"
"3124037","서신면","화성시","경기도"
"3124036","송산면","화성시","경기도"
"3124035","마도면","화성시","경기도"
"3124033","비봉면","화성시","경기도"
"3124031","매송면","화성시","경기도"
"3124015","남양읍","화성시","경기도"
"3124014","향남읍","화성시","경기도"
"3124013","우정읍","화성시","경기도"
"3124012","봉담읍","화성시","경기도"
"3123062","장기본동","김포시","경기도"
"3123061","김포본동","김포시","경기도"
"3123060","운양동","김포시","경기도"
"3123058","구래동","김포시","경기도"
"3123056","장기동","김포시","경기도"
"3123054","풍무동","김포시","경기도"
"3123053","사우동","김포시","경기도"
"3123036","하성면","김포시","경기도"
"3123035","월곶면","김포시","경기도"
"3123034","대곶면","김포시","경기도"
"3123013","양촌읍","김포시","경기도"
"3123012","고촌읍","김포시","경기도"
"3123011","통진읍","김포시","경기도"
"3122053","안성3동","안성시","경기도"
"3122052","안성2동","안성시","경기도"
"3122051","안성1동","안성시","경기도"
"3122042","고삼면","안성시","경기도"
"3122041","삼죽면","안성시","경기도"
"3122040","죽산면","안성시","경기도"
"3122039","일죽면","안성시","경기도"
"3122038","원곡면","안성시","경기도"
"3122036","양성면","안성시","경기도"
"3122035","대덕면","안성시","경기도"
"3122034","미양면","안성시","경기도"
"3122033","서운면","안성시","경기도"
"3122032","금광면","안성시","경기도"
"3122031","보개면","안성시","경기도"
"3122011","공도읍","안성시","경기도"
"3121054","증포동","이천시","경기도"
"3121053","관고동","이천시","경기도"
"3121052","중리동","이천시","경기도"
"3121051","창전동","이천시","경기도"
"3121038","율면","이천시","경기도"
"3121037","설성면","이천시","경기도"
