"시도별","경제활동별",2021 p),2021 p),2021 p)
"시도별","경제활동별",명목,실질,실질기여도
"전국","지역내총생산(시장가격)",2076254437,1919305433,4.17
"전국","순생산물세",182343329,157064050,0.27
"전국","총부가가치(기초가격)",1893911108,1762356838,3.91
"전국","농업, 임업 및 어업",37158199,32772109,0.08
"전국","광제조업",530130627,519700927,1.71
"전국","　광업",2046728,2088647,0.00
"전국","　제조업",528083899,517616550,1.70
"전국","　　음식료품 및 담배제조업",25993306,23688055,0.02
"전국","　　섬유 의복 및 가죽 제품 제조업",13690255,12459665,0.00
"전국","　　목재종이인쇄 및 복제업",15812725,14055077,0.02
"전국","　　석탄 및 석유 화학제품 제조업",104306085,91053652,0.23
"전국","　　비금속광물 및 금속제품 제조업",94518833,72812277,0.06
"전국","　　전기 전자 및 정밀기기 제조업",177628207,197912176,0.96
"전국","　　기계 운송장비 및 기타 제품 제조업",96134488,106496054,0.41
"전국","전기, 가스, 증기 및 공기 조절 공급업",22393340,40147957,0.08
"전국","건설업",106961935,85688356,-0.15
"전국","서비스업",1197267007,1086926588,2.19
"전국","　도매 및 소매업",142361839,141904203,0.27
"전국","　운수 및 창고업",64059424,53315870,0.14
"전국","　숙박 및 음식점업",38976025,34409996,0.02
"전국","　정보통신업",99935596,93558927,0.26
"전국","　금융 및 보험업",124173506,119467161,0.37
"전국","　부동산업",147954086,139897354,0.07
"전국","　사업서비스업",193601957,163675755,0.29
"전국","　공공 행정, 국방 및 사회보장 행정",134906403,115685521,0.21
"전국","　교육 서비스업",98590405,90085922,0.20
"전국","　보건업 및 사회복지 서비스업",98478251,90592848,0.25
"전국","　문화 및 기타서비스업",54229515,45113394,0.10
"서울특별시","지역내총생산(시장가격)",471730788,432406018,3.54
"서울특별시","순생산물세",46505665,39925664,0.53
"서울특별시","총부가가치(기초가격)",425225123,392372924,3.01
"서울특별시","농업, 임업 및 어업",356813,426145,0.01
"서울특별시","광제조업",15412202,14704713,0.13
"서울특별시","　광업",13633,16399,0.00
"서울특별시","　제조업",15398569,14688588,0.13
"서울특별시","　　음식료품 및 담배제조업",481482,431702,0.01
"서울특별시","　　섬유 의복 및 가죽 제품 제조업",5194268,4570287,0.01
"서울특별시","　　목재종이인쇄 및 복제업",1998162,1887260,0.00
"서울특별시","　　석탄 및 석유 화학제품 제조업",1319698,1136271,-0.02
"서울특별시","　　비금속광물 및 금속제품 제조업",910701,765640,0.01
"서울특별시","　　전기 전자 및 정밀기기 제조업",3490482,3893587,0.05
"서울특별시","　　기계 운송장비 및 기타 제품 제조업",2003776,2141852,0.07
"서울특별시","전기, 가스, 증기 및 공기 조절 공급업",1541175,3076417,0.04
"서울특별시","건설업",13281215,10672652,-0.29
"서울특별시","서비스업",394633718,364238272,3.12
"서울특별시","　도매 및 소매업",64685685,64528271,0.55
"서울특별시","　운수 및 창고업",10670699,9389988,0.15
"서울특별시","　숙박 및 음식점업",9691427,8587104,0.00
"서울특별시","　정보통신업",59226736,54166425,0.57
"서울특별시","　금융 및 보험업",62706878,59968474,0.98
"서울특별시","　부동산업",46099407,44083881,-0.09
"서울특별시","　사업서비스업",69177393,59616399,0.36
"서울특별시","　공공 행정, 국방 및 사회보장 행정",17486303,14885808,0.09
"서울특별시","　교육 서비스업",20199888,18537930,0.15
"서울특별시","　보건업 및 사회복지 서비스업",22807409,20822237,0.26
"서울특별시","　문화 및 기타서비스업",11881893,10538222,0.10
"부산광역시","지역내총생산(시장가격)",98651991,87906722,2.26
"부산광역시","순생산물세",7507243,6442771,-0.03
"부산광역시","총부가가치(기초가격)",91144748,81470886,2.29
"부산광역시","농업, 임업 및 어업",430634,473721,0.07
"부산광역시","광제조업",14957573,14051958,0.16
"부산광역시","　광업",9673,9725,0.00
"부산광역시","　제조업",14947900,14042995,0.16
"부산광역시","　　음식료품 및 담배제조업",833546,746881,0.07
"부산광역시","　　섬유 의복 및 가죽 제품 제조업",868349,834585,-0.01
"부산광역시","　　목재종이인쇄 및 복제업",394010,351117,0.01
"부산광역시","　　석탄 및 석유 화학제품 제조업",1670341,1551831,0.11
"부산광역시","　　비금속광물 및 금속제품 제조업",4602409,3419288,-0.18
"부산광역시","　　전기 전자 및 정밀기기 제조업",2354884,2543030,0.01
"부산광역시","　　기계 운송장비 및 기타 제품 제조업",4224361,4577537,0.15
"부산광역시","전기, 가스, 증기 및 공기 조절 공급업",1404885,2182654,-0.03
"부산광역시","건설업",5251781,4203186,-0.21
"부산광역시","서비스업",69099875,60829867,2.31
"부산광역시","　도매 및 소매업",8107345,8078851,0.41
"부산광역시","　운수 및 창고업",9876550,6424660,0.66
"부산광역시","　숙박 및 음식점업",2377957,2096434,0.00
"부산광역시","　정보통신업",1977822,2227673,0.03
"부산광역시","　금융 및 보험업",6497534,6137918,0.22
"부산광역시","　부동산업",9015668,8529498,-0.07
"부산광역시","　사업서비스업",8368367,7002409,0.07
"부산광역시","　공공 행정, 국방 및 사회보장 행정",6305042,5365941,0.28
"부산광역시","　교육 서비스업",5953968,5450390,0.30
"부산광역시","　보건업 및 사회복지 서비스업",7715045,7115066,0.38
"부산광역시","　문화 및 기타서비스업",2904577,2430015,0.04
"대구광역시","지역내총생산(시장가격)",60865535,56026338,4.39
"대구광역시","순생산물세",4646595,3974064,0.09
"대구광역시","총부가가치(기초가격)",56218940,52056108,4.31
"대구광역시","농업, 임업 및 어업",134021,105758,-0.01
"대구광역시","광제조업",11339641,10915601,1.82
"대구광역시","　광업",1245,1256,0.00
"대구광역시","　제조업",11338396,10914323,1.82
"대구광역시","　　음식료품 및 담배제조업",465934,419161,0.01
"대구광역시","　　섬유 의복 및 가죽 제품 제조업",1093813,1012372,0.11
"대구광역시","　　목재종이인쇄 및 복제업",664401,591608,0.05
"대구광역시","　　석탄 및 석유 화학제품 제조업",997936,977192,-0.02
"대구광역시","　　비금속광물 및 금속제품 제조업",3229945,2563374,0.16
"대구광역시","　　전기 전자 및 정밀기기 제조업",1908854,2116503,0.62
"대구광역시","　　기계 운송장비 및 기타 제품 제조업",2977513,3270605,0.89
"대구광역시","전기, 가스, 증기 및 공기 조절 공급업",323115,515610,-0.03
"대구광역시","건설업",4072009,3262879,0.61
"대구광역시","서비스업",40350154,37190384,1.92
"대구광역시","　도매 및 소매업",4650958,4633918,0.26
"대구광역시","　운수 및 창고업",1629149,1590247,0.13
"대구광역시","　숙박 및 음식점업",1526910,1323471,0.06
"대구광역시","　정보통신업",1395475,1553857,0.03
"대구광역시","　금융 및 보험업",4151824,3950573,0.23
"대구광역시","　부동산업",6130506,5791772,-0.19
"대구광역시","　사업서비스업",4515596,3873934,0.31
"대구광역시","　공공 행정, 국방 및 사회보장 행정",4759816,4035960,0.00
"대구광역시","　교육 서비스업",4639337,4245230,0.39
"대구광역시","　보건업 및 사회복지 서비스업",4876086,4480128,0.68
"대구광역시","　문화 및 기타서비스업",2074497,1730705,0.02
"인천광역시","지역내총생산(시장가격)",97894444,89984023,5.98
"인천광역시","순생산물세",9444564,8190395,0.78
"인천광역시","총부가가치(기초가격)",88449880,81809892,5.20
"인천광역시","농업, 임업 및 어업",288503,283813,0.02
"인천광역시","광제조업",23551987,22824916,2.00
"인천광역시","　광업",78649,79342,-0.01
"인천광역시","　제조업",23473338,22746597,2.02
"인천광역시","　　음식료품 및 담배제조업",1207243,1072908,0.12
"인천광역시","　　섬유 의복 및 가죽 제품 제조업",233749,212667,-0.04
"인천광역시","　　목재종이인쇄 및 복제업",1117791,975107,0.05
"인천광역시","　　석탄 및 석유 화학제품 제조업",4412533,4292964,0.21
"인천광역시","　　비금속광물 및 금속제품 제조업",5398432,4071777,0.26
"인천광역시","　　전기 전자 및 정밀기기 제조업",5470107,6025376,0.76
"인천광역시","　　기계 운송장비 및 기타 제품 제조업",5633483,6093087,0.64
"인천광역시","전기, 가스, 증기 및 공기 조절 공급업",2235904,4201025,0.36
"인천광역시","건설업",7454701,5982125,0.95
"인천광역시","서비스업",54918785,48353237,1.87
"인천광역시","　도매 및 소매업",5823959,5803301,0.26
"인천광역시","　운수 및 창고업",8848060,5900888,-0.05
"인천광역시","　숙박 및 음식점업",1759170,1549794,0.01
"인천광역시","　정보통신업",1583403,1826362,0.08
"인천광역시","　금융 및 보험업",3852278,3718827,0.14
"인천광역시","　부동산업",7911615,7340016,0.21
"인천광역시","　사업서비스업",6645529,5589038,0.41
"인천광역시","　공공 행정, 국방 및 사회보장 행정",6286359,5363135,0.31
"인천광역시","　교육 서비스업",4597046,4192466,0.17
"인천광역시","　보건업 및 사회복지 서비스업",4909377,4523033,0.32
"인천광역시","　문화 및 기타서비스업",2701989,2109388,0.02
"광주광역시","지역내총생산(시장가격)",43454904,41118247,4.02
"광주광역시","순생산물세",3125802,2695627,-0.18
"광주광역시","총부가가치(기초가격)",40329102,38420653,4.20
"광주광역시","농업, 임업 및 어업",122902,104499,0.03
"광주광역시","광제조업",10599686,10946844,1.97
"광주광역시","　광업",2848,2877,0.00
"광주광역시","　제조업",10596838,10944019,1.98
"광주광역시","　　음식료품 및 담배제조업",536742,513495,-0.15
"광주광역시","　　섬유 의복 및 가죽 제품 제조업",98357,91187,0.00
"광주광역시","　　목재종이인쇄 및 복제업",186295,167481,0.02
"광주광역시","　　석탄 및 석유 화학제품 제조업",1152106,1164851,0.26
"광주광역시","　　비금속광물 및 금속제품 제조업",1479813,1141351,0.29
"광주광역시","　　전기 전자 및 정밀기기 제조업",3481388,3897028,1.45
"광주광역시","　　기계 운송장비 및 기타 제품 제조업",3662137,4114165,0.11
"광주광역시","전기, 가스, 증기 및 공기 조절 공급업",363236,718983,0.18
"광주광역시","건설업",2286231,1833808,0.04
"광주광역시","서비스업",26957047,24928590,1.96
"광주광역시","　도매 및 소매업",2738009,2727308,0.17
"광주광역시","　운수 및 창고업",942267,907319,0.01
"광주광역시","　숙박 및 음식점업",830867,725653,-0.02
"광주광역시","　정보통신업",1257301,1375358,0.34
"광주광역시","　금융 및 보험업",2602634,2478834,0.20
"광주광역시","　부동산업",3880094,3720965,0.06
"광주광역시","　사업서비스업",3455876,3019466,0.31
