SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
34432,2023-06,660,마산만날제,마산만날제,100,문화축제
34433,2023-06,478,마토예술제,마토예술제,520,문화축제
34573,2023-06,314,우륵문화제,우륵문화제,130,문화축제
34240,2023-06,997,2014 안양시민축제,안양시민축제,450,문화축제
34241,2023-06,992,2015 안양 시민축제,안양시민축제,450,문화축제
34242,2023-06,396,2016 대가야체험축제,대가야체험축제,11,문화축제
34243,2023-06,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,120,문화축제
34244,2023-06,994,2016 안양 시민축제,안양시민축제,450,문화축제
34245,2023-06,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,350,문화축제
34246,2023-06,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,110,문화축제
34247,2023-06,283,2017 겨울공주군밤축제,겨울공주군밤축제,40,문화축제
34248,2023-06,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,120,문화축제
34249,2023-06,627,2017 물의나라화천 쪽배축제,물의나라화천쪽배축제,120,문화축제
34250,2023-06,1001,2017 안양 시민축제,안양시민축제,450,문화축제
34251,2023-06,998,2017 안양충훈벚꽃축제,안양충훈벚꽃축제,17,문화축제
34252,2023-06,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,320,문화축제
34253,2023-06,4,2017 영동곶감축제,영동곶감축제,140,문화축제
34254,2023-06,385,2017 음식 문화축제,음식문화축제,90,문화축제
34255,2023-06,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,15,문화축제
34256,2023-06,287,2018 계룡산산신제,계룡산산신제,19,문화축제
34257,2023-06,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,50,문화축제
34258,2023-06,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,120,문화축제
34259,2023-06,1123,2018 무안황토갯벌축제,무안황토갯벌축제,8650,문화축제
34260,2023-06,799,2018 안산 김홍도축제,안산김홍도축제,180,문화축제
34261,2023-06,1005,2018 안양 시민축제,안양시민축제,450,문화축제
34262,2023-06,1002,2018 안양충훈벚꽃축제,안양충훈벚꽃축제,17,문화축제
34263,2023-06,313,2018 연제고분판타지축제,연제고분판타지축제,14,문화축제
34264,2023-06,285,2018 웅진성수문병 근무교대식,웅진성수문병근무교대식,10,문화축제
34265,2023-06,386,2018 음식 문화축제,음식문화축제,90,문화축제
34266,2023-06,501,2018 전주비빔밥축제,전주비빔밥축제,670,문화축제
34267,2023-06,444,2018 종로한복축제,종로한복축제,230,문화축제
34268,2023-06,1094,2019 강남페스티벌,강남페스티벌,200,문화축제
34269,2023-06,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,15,문화축제
34270,2023-06,296,2019 계룡산산신제,계룡산산신제,19,문화축제
34271,2023-06,609,2019 고양가을꽃축제,고양가을꽃축제,70,문화축제
34272,2023-06,597,2019 고양국제꽃박람회,고양국제꽃박람회,980,문화축제
34273,2023-06,602,2019 고양행주문화제,고양행주문화제,310,문화축제
34274,2023-06,610,2019 고양호수예술축제,고양호수예술축제,540,문화축제
34275,2023-06,295,2019 공주 석장리 구석기축제,공주석장리구석기축제,80,문화축제
34276,2023-06,863,2019 곶자왈 반딧불이 축제,곶자왈반딧불이축제,890,문화축제
34277,2023-06,306,2019 군포철쭉축제,군포철쭉축제,600,문화축제
34278,2023-06,223,2019 금정산성축제,금정산성축제,700,문화축제
34279,2023-06,975,2019 대구약령시한방문화축제,대구약령시한방문화축제,120,문화축제
34280,2023-06,873,2019 대전 서구힐링 아트페스티벌,대전서구힐링아트페스티벌,240,문화축제
34281,2023-06,836,2019 대한민국 국향대전,대한민국국향대전,18,문화축제
34282,2023-06,121,2019 동작복지나눔축제,동작복지나눔축제,15,문화축제
34283,2023-06,862,2019 보목자리돔축제,보목자리돔축제,140,문화축제
34284,2023-06,150,2019 보정역생활문화센터 <청춘파티  - 특별프로그램>,보정역생활문화센터,320,문화축제
