SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
29227,"2022-09","717","와룡문화제","와룡문화제",40,"문화축제"
28875,"2022-09","997","2014 안양시민축제","안양시민축제",29680,"문화축제"
28876,"2022-09","992","2015 안양 시민축제","안양시민축제",29680,"문화축제"
28877,"2022-09","396","2016 대가야체험축제","대가야체험축제",23,"문화축제"
28878,"2022-09","945","2016 대구약령시한방문화축제","대구약령시한방문화축제",2850,"문화축제"
28879,"2022-09","994","2016 안양 시민축제","안양시민축제",29680,"문화축제"
28880,"2022-09","996","2016 제5회 안양공공예술프로젝트","안양공공예술프로젝트",40,"문화축제"
28881,"2022-09","819","2016 평생학습 박람회 & 제6회 도서관책문화축제","평생학습박람회",740,"문화축제"
28882,"2022-09","283","2017 겨울공주군밤축제","겨울공주군밤축제",180,"문화축제"
28883,"2022-09","952","2017 대구약령시한방문화축제","대구약령시한방문화축제",2850,"문화축제"
28884,"2022-09","627","2017 물의나라화천 쪽배축제","물의나라화천쪽배축제",26,"문화축제"
28885,"2022-09","1001","2017 안양 시민축제","안양시민축제",29680,"문화축제"
28886,"2022-09","628","2017 얼음나라화천 산천어축제","얼음나라화천산천어축제",80,"문화축제"
28887,"2022-09","4","2017 영동곶감축제","영동곶감축제",290,"문화축제"
28888,"2022-09","385","2017 음식 문화축제","음식문화축제",250,"문화축제"
28889,"2022-09","287","2018 계룡산산신제","계룡산산신제",11,"문화축제"
28890,"2022-09","286","2018 공주 석장리 세계구석기축제","공주석장리세계구석기축제",120,"문화축제"
28891,"2022-09","962","2018 대구약령시한방문화축제","대구약령시한방문화축제",2850,"문화축제"
28892,"2022-09","1123","2018 무안황토갯벌축제","무안황토갯벌축제",90,"문화축제"
28893,"2022-09","284","2018 백제어울마당","백제어울마당",20,"문화축제"
28894,"2022-09","799","2018 안산 김홍도축제","안산김홍도축제",560,"문화축제"
28895,"2022-09","1005","2018 안양 시민축제","안양시민축제",29680,"문화축제"
28896,"2022-09","285","2018 웅진성수문병 근무교대식","웅진성수문병근무교대식",29,"문화축제"
28897,"2022-09","386","2018 음식 문화축제","음식문화축제",250,"문화축제"
28898,"2022-09","501","2018 전주비빔밥축제","전주비빔밥축제",7190,"문화축제"
28899,"2022-09","463","2018 제2회 광진교 페스티벌","광진교페스티벌",10,"문화축제"
28900,"2022-09","464","2018 제8회 광나루 어울마당","광나루어울마당",3250,"문화축제"
28901,"2022-09","444","2018 종로한복축제","종로한복축제",4770,"문화축제"
28902,"2022-09","1094","2019 강남페스티벌","강남페스티벌",19780,"문화축제"
28903,"2022-09","1093","2019 강남페스티벌 패션쇼","강남페스티벌패션쇼",40,"문화축제"
28904,"2022-09","296","2019 계룡산산신제","계룡산산신제",11,"문화축제"
28905,"2022-09","609","2019 고양가을꽃축제","고양가을꽃축제",32870,"문화축제"
28906,"2022-09","597","2019 고양국제꽃박람회","고양국제꽃박람회",1280,"문화축제"
28907,"2022-09","602","2019 고양행주문화제","고양행주문화제",50,"문화축제"
28908,"2022-09","610","2019 고양호수예술축제","고양호수예술축제",18330,"문화축제"
28909,"2022-09","863","2019 곶자왈 반딧불이 축제","곶자왈반딧불이축제",46,"문화축제"
28910,"2022-09","306","2019 군포철쭉축제","군포철쭉축제",140,"문화축제"
28911,"2022-09","223","2019 금정산성축제","금정산성축제",190,"문화축제"
28912,"2022-09","333","2019 노은한마음축제","노은한마음축제",210,"문화축제"
28913,"2022-09","975","2019 대구약령시한방문화축제","대구약령시한방문화축제",2850,"문화축제"
28914,"2022-09","873","2019 대전 서구힐링 아트페스티벌","대전서구힐링아트페스티벌",4650,"문화축제"
28915,"2022-09","836","2019 대한민국 국향대전","대한민국국향대전",970,"문화축제"
28916,"2022-09","329","2019 대한민국 온천대축제","대한민국온천대축제",310,"문화축제"
28917,"2022-09","293","2019 백제어울마당","백제어울마당",20,"문화축제"
28918,"2022-09","150","2019 보정역생활문화센터 <청춘파티  - 특별프로그램>","보정역생활문화센터",200,"문화축제"
28919,"2022-09","889","2019 부평풍물대축제","부평풍물대축제",19150,"문화축제"
28920,"2022-09","887","2019 서귀포과학문화축전","서귀포과학문화축전",70,"문화축제"
28921,"2022-09","384","2019 수원등불축제","수원등불축제",70,"문화축제"
28922,"2022-09","382","2019 수원연극축제","수원연극축제",80,"문화축제"
28923,"2022-09","365","2019 순천 푸드앤아트 페스티벌","순천푸드앤아트페스티벌",6800,"문화축제"
28924,"2022-09","1057","2019 안성맞춤 남사당 바우덕이축제","안성맞춤남사당바우덕이축제",11850,"문화축제"
28925,"2022-09","1047","2019 양주 천만송이 천일홍 축제","양주천만송이천일홍축제",1560,"문화축제"
28926,"2022-09","980","2019 여주오곡나루축제(취소)","여주오곡나루축제",5560,"문화축제"
28927,"2022-09","36","2019 예천세계활축제","예천세계활축제",50,"문화축제"
28928,"2022-09","894","2019 오륙도 평화축제","오륙도평화축제",40,"문화축제"
28929,"2022-09","294","2019 웅진성수문병 근무교대식","웅진성수문병근무교대식",29,"문화축제"
28930,"2022-09","387","2019 음식 문화축제","음식문화축제",250,"문화축제"
28931,"2022-09","54","2019 정읍벚꽃축제","정읍벚꽃축제",20,"문화축제"
28932,"2022-09","462","2019 제8회 서울동화축제","서울동화축제",80,"문화축제"
28933,"2022-09","864","2019 제주 메밀축제","제주메밀축제",370,"문화축제"
28934,"2022-09","664","2019 제주들불축제","제주들불축제",1690,"문화축제"
28935,"2022-09","665","2019 제주왕벚꽃축제","제주왕벚꽃축제",80,"문화축제"
28936,"2022-09","252","2019 중딩영화제","중딩영화제",14,"문화축제"
28937,"2022-09","400","2019 진안홍삼축제","진안홍삼축제",11870,"문화축제"
28938,"2022-09","256","2019 청소년창작영상제","청소년창작영상제",30,"문화축제"
28939,"2022-09","518","2019 태화강 국제 재즈페스티벌","태화강국제재즈페스티벌",310,"문화축제"
28940,"2022-09","62","2019 하하페스티벌","하하페스티벌",380,"문화축제"
28941,"2022-09","292","2019겨울공주군밤축제","겨울공주군밤축제",180,"문화축제"
28942,"2022-09","189","2019계룡세계軍문화축제","계룡세계군문화축제",200,"문화축제"
28943,"2022-09","513","2019년 울산 마두희 축제","울산마두희축제",3380,"문화축제"
28944,"2022-09","506","2019년 제15회 해운대모래축제","해운대모래축제",1150,"문화축제"
28945,"2022-09","514","2019년 한글문화예술제","한글문화예술제",30,"문화축제"
28946,"2022-09","64","2019년 한마음 건강걷기대회","한마음건강걷기대회",78,"문화축제"
28947,"2022-09","487","2019청도반시축제","청도반시축제",7670,"문화축제"
28948,"2022-09","488","2019청도세계코미디아트페스티벌","청도세계코미디아트페스티벌",1210,"문화축제"
28949,"2022-09","485","2019청도소싸움축제","청도소싸움축제",190,"문화축제"
28950,"2022-09","694","2019컬러풀대구페스티벌","컬러풀대구페스티벌",39,"문화축제"
28951,"2022-09","710","2019해우리문화축제","해우리문화축제",15,"문화축제"
28952,"2022-09","226","4.19혁명 국민문화제 2019","419혁명국민문화제",12,"문화축제"
28953,"2022-09","1034","DMZ마라톤대회","DMZ마라톤대회",29,"문화축제"
28954,"2022-09","910","「제34회 대구약령시 한방문화축제」","대구약령시한방문화축제",2850,"문화축제"
28955,"2022-09","917","「제35회 대구약령시 한방문화축제」","대구약령시한방문화축제",2850,"문화축제"
28956,"2022-09","924","「제36회 대구약령시 한방문화축제」","대구약령시한방문화축제",2850,"문화축제"
28957,"2022-09","931","「제37회 대구약령시 한방문화축제」","대구약령시한방문화축제",2850,"문화축제"
28958,"2022-09","235","가야문화축제","가야문화축제",1350,"문화축제"
28959,"2022-09","845","가파도청보리축제","가파도청보리축제",710,"문화축제"
28960,"2022-09","154","간재미 축제","간재미축제",10,"문화축제"
28961,"2022-09","1120","간절곶해맞이","간절곶해맞이",17,"문화축제"
