"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,매우 그렇지 않다,그렇지 않다,다소 그렇지 않다,보통이다,다소 그렇다,그렇다,매우 그렇다,평균,표본수,매우 그렇지 않다,그렇지 않다,다소 그렇지 않다,보통이다,다소 그렇다,그렇다,매우 그렇다,평균,표본수,매우 그렇지 않다,그렇지 않다,다소 그렇지 않다,보통이다,다소 그렇다,그렇다,매우 그렇다,평균,표본수,매우 그렇지 않다,그렇지 않다,다소 그렇지 않다,보통이다,다소 그렇다,그렇다,매우 그렇다,평균,표본수,매우 그렇지 않다,그렇지 않다,다소 그렇지 않다,보통이다,다소 그렇다,그렇다,매우 그렇다,평균,표본수,매우 그렇지 않다,그렇지 않다,다소 그렇지 않다,보통이다,다소 그렇다,그렇다,매우 그렇다,평균
"전체",소계,4621,1.1,3,5.8,19.3,37.5,27,6.4,5,5013,0.5,1.4,4.1,22.9,43.8,21.8,5.5,4.96,4811,2.2,2.4,4.3,15.7,31.3,33,11.1,5.2,4401,3.1,2.3,4.5,23,34.1,26.4,6.7,4.9,3540,2.3,3.3,5.5,21.8,35,25,7,4.9,3926,1.8,2.3,3.3,14.7,36.2,32.2,9.5,5.2
"성별",남성,2385,1.2,2.4,6.4,18.8,37,27.9,6.3,5,2565,0.5,1.8,3.5,22.7,44.4,22.5,4.7,4.95,2473,2,2.2,3.8,15.4,32.8,32.7,11.2,5.2,2367,3.1,2.2,4.2,22,33.9,27.2,7.4,4.9,1952,2.2,3.3,5.8,21.2,33.8,26.1,7.7,4.9,1985,1.5,1.9,3.1,13.8,36,32.7,11,5.2
"성별",여성,2236,1,3.6,5.1,19.9,38,25.9,6.4,4.9,2448,0.5,1.1,4.7,23,43.3,21.2,6.3,4.96,2338,2.4,2.6,4.8,16,29.8,33.4,11,5.1,2034,3,2.3,4.7,24.2,34.5,25.5,5.8,4.8,1588,2.5,3.4,5.2,22.6,36.4,23.7,6.2,4.8,1941,2,2.8,3.5,15.6,36.5,31.6,7.8,5.1
"연령별",15~19세,365,0.6,3.1,4.4,19.7,38.2,26.4,7.5,5,297,0.4,1.7,3.6,18.3,44.5,26,5.5,5.05,266,4.3,3.3,3,9.3,37.3,30.8,12,5.1,297,2.8,2.6,6.8,21.5,32.8,26.5,7,4.9,210,0.8,3.7,5.2,21.1,30.7,30.4,8.1,5,160,3.6,2.9,1.4,13.9,40.1,29,9.1,5.1
"연령별",20대,722,1.4,2.4,6,17.8,38.6,26.9,6.9,5,680,0.1,1,3.4,21.5,43.1,26.2,4.8,5.04,710,1.8,2,2.7,12.8,33.1,37.2,10.4,5.3,751,2.8,1.5,3.6,20.8,35,30.6,5.6,5,657,2.9,3.2,4.3,18.6,36.8,26.6,7.6,4.9,576,1.4,1.3,3.3,12.6,37.9,34.5,9.1,5.2
"연령별",30대,790,1.1,2.3,4.8,19.7,39.1,27.7,5.3,5,778,0.3,0.4,2.3,22.5,47.6,21.7,5.2,5.03,785,1.2,2.2,2.6,15.1,34.9,31.5,12.5,5.2,767,5.2,3.4,4.1,20.2,34.7,25.8,6.5,4.8,582,3.5,3.5,4.4,20.1,35.7,24,8.8,4.9,606,1.1,1.6,4.1,17.5,33.9,34,7.7,5.1
"연령별",40대,971,1.4,1.9,6,18.2,38.7,28.4,5.3,5,1068,0.6,1.4,3.5,21.7,48,20.6,4.2,4.94,955,2.1,1.2,3.9,15.2,31.7,33.8,12.1,5.2,882,4,2.2,4.1,19.5,35.4,26.4,8.4,4.9,643,2.9,3.3,4.3,23.7,35.1,24.6,6,4.8,683,1.2,1.6,2.4,14,36.7,33.4,10.7,5.3
"연령별",50대,899,1.2,2.2,6.5,20.5,34.6,28.4,6.6,5,1020,0.9,1,4.7,23.9,41.6,21.2,6.7,4.95,936,2.3,2.3,3.1,15.1,30.3,35.2,11.6,5.2,840,2.2,1.8,4.8,22.9,34.2,25.8,8.4,5,713,1.6,2.9,7.5,19.4,33.4,26.5,8.8,4.9,769,2.4,2.3,2.9,13.2,36,30.5,12.8,5.2
"연령별",60대,518,0.8,3.7,6.1,20.6,37.5,23.2,8.1,4.9,687,0.2,3.5,6.1,24.7,38.6,20.6,6.3,4.85,643,1.4,2.5,8,19.4,29.2,29.9,9.7,5,538,1.3,1.8,3.3,29.7,33.3,26.2,4.5,4.9,454,1.3,3.2,7.8,28.1,34,21.6,4.1,4.7,687,2.1,2.6,2.1,16.3,34.5,33.2,9.1,5.1
