구분별(3),가족과 함께,친구와 함께,혼자서,동호회 활동을 통해서,직장 동료,기타
강남구,44.5,25.5,25.4,3.3,1.3,-
강동구,40.4,27.8,27.5,2.2,2.1,-
강북구,38.8,24.6,30.3,4.2,2.1,-
강서구,40.2,25.2,31.7,1.6,1.4,-
관악구,27.9,26.3,38.9,4.9,1.9,0.1
광진구,32.5,28.6,35,2.6,1.4,-
구로구,40.5,19.8,35.7,2,2.1,-
금천구,30.3,25.2,41.6,1.5,1.4,-
노원구,35.9,28,33.6,1.8,0.7,-
도봉구,37.8,22.2,35.1,3.6,1.3,-
동대문구,33.6,30.7,31.9,2.7,1.1,-
동작구,40.3,23.9,33.5,1.2,1,-
마포구,40.3,28.8,28.5,1.5,0.9,0.1
서대문구,43.8,24.9,28.9,1.7,0.7,-
서초구,37.2,19.5,36.9,4.1,2.2,-
성동구,37.6,26.3,30.7,4.8,0.6,-
성북구,38.6,25.3,33.7,1.4,1,-
송파구,39.7,27.7,29,2,1.4,0.2
양천구,41.1,19.1,37.7,1.4,0.6,-
영등포구,33.9,24.6,36.2,4.2,1.1,-
용산구,33.7,25.1,39.1,1.4,0.7,-
은평구,38.3,24.6,34.6,1.4,1.2,-
종로구,35.3,27.6,32.9,2.4,1.9,-
중구,40.8,28.6,29,0.8,0.8,-
중랑구,39.8,26.1,29.4,3.4,1.1,0.2
