"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,매우 불만족 했다,불만족 했다,다소 불만족 했다,보통이다,다소 만족 했다,만족했다,매우 만족 했다,평균,표본수,매우 불만족 했다,불만족 했다,다소 불만족 했다,보통이다,다소 만족 했다,만족했다,매우 만족 했다,평균,표본수,매우 불만족 했다,불만족 했다,다소 불만족 했다,보통이다,다소 만족 했다,만족했다,매우 만족 했다,평균,표본수,매우 불만족 했다,불만족 했다,다소 불만족 했다,보통이다,다소 만족 했다,만족했다,매우 만족 했다,평균,표본수,매우 불만족 했다,불만족 했다,다소 불만족 했다,보통이다,다소 만족 했다,만족했다,매우 만족 했다,평균,표본수,매우 불만족 했다,불만족 했다,다소 불만족 했다,보통이다,다소 만족 했다,만족했다,매우 만족 했다,평균
"전체",소계,10602,1.1,3.9,12.2,25.6,33.5,19.3,4.5,4.62,10498,0.8,2.9,9.7,27.7,33.1,21.9,4,4.71,10060,1.5,5.9,15.7,33.3,25.5,14.4,3.7,4.3,10088,2.3,8.6,14.4,34.2,24.4,13.3,2.7,4.2,10049,2.2,9.2,16.5,34.2,23.1,12.8,2.2,4.1,10046,2.5,5.5,13.1,33.6,25.6,15.3,4.4,4.4
"성별",남성,5179,1,4.3,12.5,25.9,33.4,18.4,4.4,4.59,5263,0.8,2.8,10.3,27.3,32.8,22,3.8,4.7,5028,1.7,6,15.2,33,25.3,15,3.8,4.3,5003,2.5,8.8,14.4,34.9,23.7,13.4,2.4,4.2,4972,2.1,9.6,16.5,34,23,12.6,2.3,4.1,4893,2.4,5.7,13.1,33.5,25.3,15.6,4.3,4.4
"성별",여성,5423,1.1,3.5,11.9,25.3,33.5,20.2,4.5,4.65,5235,0.7,2.9,9,28,33.3,21.9,4.1,4.72,5032,1.2,5.8,16.1,33.6,25.8,13.7,3.7,4.3,5085,2.1,8.4,14.5,33.6,25.1,13.2,3.1,4.2,5077,2.2,8.8,16.5,34.4,23.1,13,2.1,4.1,5153,2.6,5.2,13.2,33.6,26,14.9,4.6,4.4
"연령별",15~19세,827,0.6,4.3,14.4,24.3,33.8,17.2,5.2,4.59,696,0.8,4.8,11.7,26.9,29.8,21.3,4.7,4.63,661,0.5,5.6,15,37.6,22.9,13.9,4.5,4.4,619,2.5,8.5,14.9,34.4,21.3,16.7,1.7,4.2,588,2.5,8.3,17.4,35.7,20.7,11.1,4.3,4.1,487,2.2,6.4,12.7,35.9,22.7,15,5.1,4.4
"연령별",20대,1476,1.1,4,11.8,23.8,34.4,20.8,4.1,4.65,1458,1,3.1,9.8,30.2,30.9,22.4,2.5,4.64,1468,2,7,15.9,33.2,25.8,12.5,3.6,4.3,1536,2.4,7.5,14,34.8,24.7,13.7,3,4.2,1512,1.3,9.3,18.4,31.7,23.2,13.4,2.7,4.2,1371,2.6,5.2,12,33.7,26.5,15.3,4.6,4.4
"연령별",30대,1707,1.4,4,11.6,25.5,33.7,19.8,4.1,4.62,1560,1.1,2.6,9.6,26.8,32.4,23.2,4.3,4.74,1643,1.3,6.2,16.1,34.1,24.4,15.2,2.8,4.3,1644,1.5,8.6,14.1,34,25.8,13.7,2.4,4.2,1492,2.4,8.7,16.6,32.5,23.4,14.2,2.3,4.2,1433,2.3,5.6,15.5,32.1,26,13.8,4.7,4.3
"연령별",40대,1991,1.1,3.2,12.5,23.4,35.2,19.9,4.7,4.67,1998,0.4,2.3,8.4,29,34.9,21.5,3.6,4.74,1885,1.3,4.2,15.6,33.9,25.7,14.9,4.3,4.4,1888,2.1,9.2,14,33.8,24.9,12.9,3,4.2,1782,1.9,9,17.1,36.4,22.2,11.7,1.7,4.1,1717,2.5,5.8,12.9,31.9,25.9,16.5,4.5,4.4
"연령별",50대,1956,0.4,3,10.4,26.3,34.4,20.5,5,4.73,2007,0.7,2.6,9.6,25.4,34.5,23,4.1,4.76,1877,0.9,5.2,15.5,32.9,26.7,14.6,4.2,4.4,1858,2.3,8.3,13.6,34.3,25.1,13.6,2.8,4.2,1900,1.8,9.5,15,34.4,23.4,13.9,2,4.2,1831,1.9,4.4,11.8,35.2,26.1,16.5,4.1,4.5
