"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타
"전체",소계,1597,46.1,40.4,4.8,3.7,2.6,2.5,0,4725,51.5,32.4,5.7,3.9,4.1,2.3,0,5274,51.3,29.9,5.3,5.5,3.7,3.9,0.4,4393,51.2,28.9,5.3,5.6,3.5,4.1,1.3,4868,49.9,31.4,5.6,4.3,2.7,3.5,2.6,4964,47.8,28.1,7.5,4.3,3.4,4.7,4.2,4348,41.1,33.7,7.4,6.4,5.5,4.6,1.3
"성별",남성,687,50.5,36.9,3.3,3.6,3,2.7,0,2368,57.7,29.4,5,2.9,3.3,1.7,0,2649,54.8,27.2,5.6,4.9,3.2,3.8,0.4,2146,53.5,28.3,5.2,5.2,3.2,3.8,0.9,2367,51.8,31,4.6,4,2.7,3.5,2.4,2347,50.4,27.9,6.9,4.2,3.1,3.9,3.5,2070,43.8,33.3,6.7,5.9,5.2,4,1
"성별",여성,910,42.4,43.3,5.9,3.8,2.2,2.3,0,2357,45,35.7,6.3,5,5,3,0,2625,47.9,32.6,5,6.2,4.3,3.9,0.3,2247,49.1,29.6,5.5,6,3.8,4.4,1.6,2501,48,31.8,6.5,4.6,2.8,3.5,2.8,2617,45.4,28.3,8,4.4,3.8,5.5,4.7,2278,38.6,34,8.1,6.9,5.7,5.2,1.5
"연령별",15~19세,123,73.8,14.9,3.3,4.7,1,2.3,0,452,73.5,18.4,2.8,2.2,2.3,0.7,0,414,68.6,20.7,6,1.9,2.1,0.7,0.1,311,69.5,19.6,3.1,1.6,4.3,1.9,-,244,59.3,28.5,2.7,2.5,4,1.6,1.4,254,62.9,21.7,5.4,2.7,4.4,-,2.9,219,76.1,14.3,1.6,2.3,2.6,2.2,0.8
"연령별",20대,148,47,40.4,5.9,1.4,2.9,2.4,0,609,55,34.2,4.3,0.8,4.9,0.7,0,684,51.5,37.5,5.4,2,2.4,1.1,0.1,542,48.7,37.6,6.1,1.7,2.4,3.2,0.4,585,46.4,37.4,7.6,2.1,2.6,1.5,2.4,641,48.4,31.3,7.5,2.6,2.8,4.5,2.9,448,40.8,39.1,5.9,4.3,6,3.4,0.4
"연령별",30대,274,45.7,44.8,3.8,1.5,1.7,2.5,0,798,59.9,29,4.9,1.6,3.8,0.7,0,778,64.5,23.7,5.2,1.4,2.9,2.2,0.1,740,62.9,22.8,3.5,2.5,2.7,3.9,1.8,816,64.9,22.5,3.7,2.2,1.6,2.4,2.7,754,61,20.6,6.8,1.6,2.1,2.6,5.4,631,52.3,28.7,6.6,3.1,4.6,3.3,1.5
"연령별",40대,316,48.3,37.3,7.1,3.1,2.5,1.7,0,930,57,31.2,4.7,1.3,3.9,1.9,0,1019,59.6,25.5,4,3.9,4.4,2.4,0.2,887,59.7,25.7,5.4,3.8,2.8,2.6,0.1,975,60.8,27.1,4.2,2,3.1,1.5,1.3,922,58.7,22.8,5.3,3.3,3.1,2.3,4.5,773,50.5,31.1,6.5,3.9,4.9,2.8,0.3
"연령별",50대,285,51.9,36.3,4.4,4.5,2.5,0.4,0,889,52,32.5,5.3,4.1,4.3,1.8,0,1030,55.1,27.6,5.2,5.9,4.4,1.7,0.1,860,57,26.5,5,4.2,3.7,3.4,0.3,991,55.6,28.3,5.5,4,2.4,2.5,1.7,1011,53.8,27.3,6.9,1.8,3.2,3.6,3.4,841,46.3,32.4,7,4.5,5.6,3.6,0.7
"연령별",60대,212,35.1,49.7,2.8,3.7,5.4,3.4,0,519,35,40.9,9.7,6.9,3.8,3.6,0,692,34.5,35.7,6.6,9.1,5.4,7.5,1.1,588,38.4,34.8,5.7,10.4,4.7,4,2,707,38,37.9,6.7,5.4,3.4,5.5,3.1,766,35.8,34.9,8.1,6.2,4.6,5.8,4.5,753,28.3,37.3,9.5,10.2,6.3,6.2,2.3
"연령별",70세이상,239,16.7,59.6,4.6,9.4,3.1,6.6,0,528,14.6,42.8,10.2,16.9,5.6,9.9,0,657,14.4,42,5.8,17.8,3.9,15,1.1,465,13.2,37.2,9,18.5,5.4,11.1,5.6,550,15,43.5,8.3,13.5,3.1,10.5,6.1,616,13.6,37.2,12.6,13.1,4.9,13.8,4.7,683,9.6,43.5,11.5,15.3,6.8,10.2,3.1
"학력별",초졸 이하,323,31.5,49.5,4.1,6.5,3.1,5.3,0,576,24.2,38.9,9.5,15.4,5.8,6.1,0,528,22.1,40.8,6,13.3,4.4,11.5,1.9,572,24.5,35.1,7.2,14.3,5.6,8.4,4.8,576,20.6,42.3,6.9,12,3.6,10,4.6,606,17,34.3,9.9,15,5.8,12.3,5.8,557,15.9,39.1,10.7,16.3,4.9,9.5,3.6
"학력별",중졸,217,56.6,28.3,3.7,6,2,3.3,0,709,54.2,29.1,4.7,5.3,3,3.6,0,788,43.9,29.7,5.6,9.6,4.8,6.3,0.1,558,47,31.2,5.1,7.5,3.9,4.1,1.2,542,41.7,37,5.4,6.3,2.4,4.4,2.8,604,40.5,33.3,7.1,5.9,5.3,5.9,2,569,43.1,31.4,4.6,7.3,5.2,6.8,1.5
"학력별",고졸,646,43.3,45,4,3,3.3,1.3,0,1817,48,36,6.6,2.7,4.4,2.3,0,2119,48,33.9,5.6,5.4,3.8,3,0.2,1732,50.7,32.4,4.9,5.7,3.3,2.4,0.6,2015,48.3,34.5,5.9,3.6,2.6,2.5,2.6,2015,47.2,31.8,7.4,3.3,2.7,4.3,3.4,1680,38,36,8,6.8,6.5,3.6,1.1
"학력별",대졸이상,411,53.2,34.4,6.7,2,1.5,2.2,0,1623,61.5,28.2,4,1.7,3.8,0.9,0,1839,63.2,23.4,4.7,2.7,3.2,2.5,0.3,1531,61.7,22.3,5.4,2.2,2.9,4.7,1,1735,62.9,23.1,4.8,2.2,2.7,2.4,1.9,1739,60,20.2,7.1,1.7,3.1,2.7,5.3,1542,50.2,30.6,7,3.1,4.7,3.7,0.7
"동거가구원수별",1인,207,19,64.6,4.6,2.6,3.2,5.9,0,522,33.5,31.3,9.7,10.4,5.3,9.9,0,1090,37.5,34.1,5.9,8.5,3.1,10.4,0.4,715,31.7,36.5,5.5,7.5,4.2,12.4,2.2,993,30.3,43.3,5.1,5.4,2.7,10.5,2.7,991,32.1,36.3,7.5,5.3,3.6,11.8,3.4,763,25.2,37.2,6.4,9,5.6,14.1,2.4
"동거가구원수별",2인,376,36.3,44.5,5.8,5.2,4.2,4.2,0,1032,36.4,38.2,6.8,9.3,4.6,4.8,0,1033,34.8,35,5,11.8,5.6,6.9,1,1175,39.9,33.8,6.3,9.2,4.3,4.9,1.6,1260,39.7,35,6.9,7.3,3.4,4.2,3.5,1367,42.3,29.3,8.5,7.3,3.6,4.7,4.4,1354,28.5,37,10.6,10.8,5.9,5,2.1
