RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,TIME_SUFNCY_SATSFC_DGREE_VALUE,INFRA_ND_FCLTY_SATSFC_DGREE_VALUE,ECNM_MRGN_SATSFC_DGREE_VALUE,INFO_SUFNCY_SATSFC_DGREE_VALUE,LSR_LVLH_WHOLE_SATSFC_DGREE_VALUE
53359075,202305,M,20대,강원도,300만원 미만,전혀 그렇지 않다,전혀 그렇지 않다,보통이다,그런 편이다,보통이다
53343283,202305,M,20대,강원도,300만원 미만,보통이다,그런 편이다,보통이다,보통이다,보통이다
53337668,202305,M,20대,강원도,300만원 미만,그렇지 않은 편이다,보통이다,전혀 그렇지 않다,그런 편이다,불만족하는 편이다
53346870,202305,M,20대,강원도,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53327777,202305,F,30대,강원도,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53339835,202305,M,30대,강원도,300만원 미만,그런 편이다,그렇지 않은 편이다,그렇지 않은 편이다,그렇지 않은 편이다,만족하는 편이다
53340006,202305,F,30대,강원도,300만원 미만,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,그렇지 않은 편이다,불만족하는 편이다
53361462,202305,M,30대,강원도,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53347962,202305,M,30대,강원도,300만원 미만,그렇지 않은 편이다,그렇지 않은 편이다,보통이다,보통이다,보통이다
53347108,202305,M,30대,강원도,300만원 미만,보통이다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,매우 불만족한다
53345153,202305,F,30대,강원도,300만원 미만,그렇지 않은 편이다,보통이다,그렇지 않은 편이다,보통이다,불만족하는 편이다
53330394,202305,F,40대,강원도,300만원 미만,그렇지 않은 편이다,전혀 그렇지 않다,그런 편이다,보통이다,보통이다
53353119,202305,F,40대,강원도,300만원 미만,그런 편이다,보통이다,보통이다,그런 편이다,만족하는 편이다
53349478,202305,F,40대,강원도,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53336187,202305,M,40대,강원도,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53351357,202305,M,40대,강원도,300만원 미만,전혀 그렇지 않다,보통이다,전혀 그렇지 않다,전혀 그렇지 않다,매우 불만족한다
53360335,202305,M,50대,강원도,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53362777,202305,F,60대,강원도,300만원 미만,보통이다,그런 편이다,보통이다,보통이다,불만족하는 편이다
53349347,202305,F,60대,강원도,300만원 미만,보통이다,그런 편이다,보통이다,보통이다,보통이다
53374054,202305,F,60대,강원도,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53345552,202305,F,50대,세종특별자치시,300만원 미만,그런 편이다,그렇지 않은 편이다,보통이다,보통이다,보통이다
53339504,202305,F,30대,세종특별자치시,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,보통이다
53343129,202305,M,30대,세종특별자치시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53336669,202305,M,40대,세종특별자치시,300만원 미만,매우 그렇다,그런 편이다,그렇지 않은 편이다,보통이다,매우 만족한다
53341992,202305,F,20대,울산광역시,300만원 미만,그런 편이다,보통이다,그렇지 않은 편이다,그런 편이다,보통이다
53340035,202305,F,20대,울산광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53350489,202305,M,20대,울산광역시,300만원 미만,그렇지 않은 편이다,그렇지 않은 편이다,그렇지 않은 편이다,보통이다,불만족하는 편이다
53366938,202305,M,30대,울산광역시,300만원 미만,그렇지 않은 편이다,그렇지 않은 편이다,그렇지 않은 편이다,그렇지 않은 편이다,불만족하는 편이다
53374609,202305,M,30대,울산광역시,300만원 미만,그런 편이다,매우 그렇다,보통이다,보통이다,보통이다
53362353,202305,M,30대,울산광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53340115,202305,F,40대,울산광역시,300만원 미만,그런 편이다,보통이다,그런 편이다,그런 편이다,보통이다
53360203,202305,F,40대,울산광역시,300만원 미만,그렇지 않은 편이다,그런 편이다,그런 편이다,그런 편이다,보통이다
53329146,202305,M,40대,울산광역시,300만원 미만,보통이다,그렇지 않은 편이다,보통이다,보통이다,보통이다
53337137,202305,F,40대,울산광역시,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53355213,202305,F,40대,울산광역시,300만원 미만,보통이다,그런 편이다,그렇지 않은 편이다,그렇지 않은 편이다,불만족하는 편이다
53332122,202305,M,40대,울산광역시,300만원 미만,그렇지 않은 편이다,그런 편이다,전혀 그렇지 않다,그런 편이다,보통이다
53355422,202305,F,50대,울산광역시,300만원 미만,전혀 그렇지 않다,그렇지 않은 편이다,전혀 그렇지 않다,그렇지 않은 편이다,불만족하는 편이다
53358404,202305,F,50대,울산광역시,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53372101,202305,M,50대,울산광역시,300만원 미만,보통이다,보통이다,보통이다,그런 편이다,보통이다
53355330,202305,F,50대,울산광역시,300만원 미만,그렇지 않은 편이다,보통이다,그렇지 않은 편이다,보통이다,불만족하는 편이다
53333269,202305,M,50대,울산광역시,300만원 미만,그런 편이다,그런 편이다,보통이다,보통이다,만족하는 편이다
53362848,202305,F,60대,울산광역시,300만원 미만,그렇지 않은 편이다,그런 편이다,그렇지 않은 편이다,보통이다,불만족하는 편이다
53332749,202305,M,60대,울산광역시,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그렇지 않은 편이다,만족하는 편이다
53335375,202305,F,60대,인천광역시,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53373295,202305,F,60대,인천광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53367329,202305,F,60대,인천광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53366141,202305,F,60대,인천광역시,300만원 미만,그렇지 않은 편이다,보통이다,그렇지 않은 편이다,그런 편이다,만족하는 편이다
53350893,202305,F,60대,인천광역시,300만원 미만,그런 편이다,그렇지 않은 편이다,보통이다,그런 편이다,만족하는 편이다
53331944,202305,F,60대,인천광역시,300만원 미만,그렇지 않은 편이다,그렇지 않은 편이다,보통이다,그렇지 않은 편이다,보통이다
53370991,202305,M,60대,인천광역시,300만원 미만,보통이다,그런 편이다,그런 편이다,그런 편이다,보통이다
53368321,202305,F,50대,인천광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53356708,202305,F,50대,인천광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53343126,202305,F,50대,인천광역시,300만원 미만,보통이다,그런 편이다,전혀 그렇지 않다,그렇지 않은 편이다,보통이다
53371350,202305,M,40대,인천광역시,300만원 미만,보통이다,그렇지 않은 편이다,그렇지 않은 편이다,보통이다,만족하는 편이다
53329544,202305,F,40대,인천광역시,300만원 미만,그렇지 않은 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53354534,202305,M,40대,인천광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53336989,202305,F,40대,인천광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53358391,202305,M,30대,인천광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53363542,202305,M,20대,인천광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53338052,202305,M,20대,인천광역시,300만원 미만,보통이다,보통이다,그렇지 않은 편이다,그렇지 않은 편이다,불만족하는 편이다
53357221,202305,M,20대,인천광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53360547,202305,M,20대,인천광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53340128,202305,F,20대,인천광역시,300만원 미만,그런 편이다,그런 편이다,보통이다,보통이다,만족하는 편이다
53375417,202305,F,20대,인천광역시,300만원 미만,그런 편이다,그런 편이다,보통이다,매우 그렇다,보통이다
53351479,202305,F,20대,인천광역시,300만원 미만,그렇지 않은 편이다,매우 그렇다,보통이다,매우 그렇다,만족하는 편이다
53339534,202305,M,20대,인천광역시,300만원 미만,그렇지 않은 편이다,그렇지 않은 편이다,전혀 그렇지 않다,보통이다,불만족하는 편이다
53341228,202305,M,20대,인천광역시,300만원 미만,그렇지 않은 편이다,그렇지 않은 편이다,그렇지 않은 편이다,그런 편이다,만족하는 편이다
53374422,202305,F,20대,전라남도,300만원 미만,보통이다,보통이다,보통이다,보통이다,만족하는 편이다
53376775,202305,M,20대,전라남도,300만원 미만,그렇지 않은 편이다,보통이다,그런 편이다,그런 편이다,만족하는 편이다
53336731,202305,M,20대,전라남도,300만원 미만,그런 편이다,그렇지 않은 편이다,그렇지 않은 편이다,보통이다,불만족하는 편이다
53370058,202305,M,30대,전라남도,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53328786,202305,F,30대,전라남도,300만원 미만,보통이다,그렇지 않은 편이다,보통이다,보통이다,불만족하는 편이다
53361311,202305,M,30대,전라남도,300만원 미만,전혀 그렇지 않다,보통이다,그렇지 않은 편이다,그렇지 않은 편이다,매우 만족한다
53337781,202305,F,30대,전라남도,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53362144,202305,F,40대,전라남도,300만원 미만,그런 편이다,보통이다,그런 편이다,보통이다,보통이다
53352329,202305,F,40대,전라남도,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53338490,202305,F,50대,전라남도,300만원 미만,그렇지 않은 편이다,그런 편이다,그렇지 않은 편이다,보통이다,보통이다
53367018,202305,F,50대,전라남도,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53349178,202305,F,50대,전라남도,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53363079,202305,F,50대,전라남도,300만원 미만,그렇지 않은 편이다,전혀 그렇지 않다,그렇지 않은 편이다,그렇지 않은 편이다,보통이다
53356927,202305,M,50대,전라남도,300만원 미만,보통이다,그런 편이다,보통이다,보통이다,보통이다
53348270,202305,F,50대,전라남도,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53345758,202305,M,60대,전라남도,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
