"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균
"전체",소계,0.9,4.1,10.6,31.2,33.2,17.8,2.2,4.54,10602,0.6,3.5,11.6,27.3,37.2,17.5,2.3,4.59,10498,0.7,5.6,17.4,28.7,34.6,11.5,1.4,4.31,10060,0.9,3.8,10,28.8,34.7,17.8,3.9,4.6,10088,0.9,5,11.2,30.4,33.1,17.2,2.2,4.5,10049,0.8,5.1,12.6,31.7,32.5,15,2.2,4.4,10046,0.6,2.6,7.8,32.4,38.4,16.3,1.9,4.6
"성별",남성,0.9,3.4,10,33.4,32,18.2,2.1,4.55,5179,0.6,2.9,12,29.2,35.5,17.3,2.6,4.58,5263,0.7,5.9,17.5,28.7,34.6,11.3,1.3,4.3,5028,0.8,3.2,10.2,28.5,35.3,17.9,4.1,4.6,5003,0.8,4.6,10.4,30.7,33,18.2,2.4,4.5,4972,0.8,5.2,11.1,30.9,33.1,16,2.8,4.5,4893,0.7,2.2,7.6,31.9,38.8,16.6,2.1,4.6
"성별",여성,0.8,4.7,11.3,29,34.3,17.5,2.3,4.53,5423,0.6,4.1,11.2,25.5,38.8,17.8,2,4.59,5235,0.8,5.4,17.4,28.7,34.5,11.7,1.5,4.32,5032,0.9,4.4,9.9,29.1,34.1,17.8,3.7,4.6,5085,1.1,5.4,12.1,30.1,33.2,16.2,2,4.5,5077,0.9,4.9,14.1,32.6,31.8,14.1,1.7,4.4,5153,0.5,3,8,32.9,37.9,16,1.8,4.6
"연령별",15~19세,0.6,3.9,13.6,37.2,27.9,14.4,2.4,4.41,827,0.6,6,18.3,28.8,29.1,13.6,3.6,4.35,696,1.4,9.9,20.7,30.7,24.4,11.2,1.6,4.07,661,1.4,3.2,10.4,34,31,16.3,3.7,4.5,619,0.7,2.1,9.6,27.5,34.2,22.9,3,4.7,588,0.4,5.9,11.8,27.7,30.5,19.4,4.4,4.6,487,1.3,3,9.7,32.5,37.3,14.7,1.5,4.5
"연령별",20대,0.7,2.3,8.2,28.5,37.9,20.6,1.7,4.69,1476,0.3,2.8,9.5,25.9,41.1,18,2.4,4.68,1458,0.8,3.4,16.3,27.5,39.1,11.7,1.1,4.4,1468,0.2,1.7,6.2,28.7,37.5,21.9,3.8,4.8,1536,0.8,2.8,7.7,25.6,40.2,19.5,3.4,4.7,1512,0.2,2.7,9.7,30.8,35.7,18.4,2.6,4.6,1371,0.5,0.9,4.3,27.1,45,19.4,2.7,4.8
"연령별",30대,0.7,3.7,11.5,28,37.2,17.2,1.7,4.56,1707,1,3.8,12.2,29.2,36,16.9,0.9,4.5,1560,0.9,6.4,18.4,28.6,34.6,10.5,0.7,4.24,1643,1.2,3.4,11.4,28.8,36.2,15.2,3.7,4.6,1644,1.2,6,12.4,30.8,31.7,15.6,2.3,4.4,1492,1.4,4.5,12,32.6,30.9,16,2.6,4.5,1433,0.6,3,7.6,33,39.1,15.2,1.5,4.6
"연령별",40대,0.8,4.5,10.9,31.7,32.5,17.2,2.4,4.52,1991,0.5,3.8,12.2,29.3,35.5,16.1,2.6,4.54,1998,0.6,6.1,19.3,28.1,34.7,9.9,1.4,4.25,1885,1,4.2,12.9,29.7,33.9,15.1,3.1,4.5,1888,1.2,5.7,11.8,31.7,31.3,16.5,1.8,4.4,1782,0.9,5.3,14.2,32.1,33.1,13,1.5,4.4,1717,0.4,2.8,9,33.2,39.9,13.2,1.5,4.6
"연령별",50대,0.9,4.6,10,29.7,31.1,21.1,2.5,4.59,1956,0.3,3.2,11.1,28.2,37.8,17.3,2.1,4.6,2007,0.5,4.7,19.1,29.2,33.6,11.3,1.5,4.31,1877,0.6,5.3,10.1,27.9,35.3,16.2,4.6,4.6,1858,1.3,6,12.4,32,31.8,14.4,2.1,4.4,1900,0.9,6,13.5,33.5,30.2,14,2.1,4.4,1831,0.6,2.8,9.2,33.8,35.7,16.5,1.4,4.6
