FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,MANAGE_MBY_NM,WORKDAY_OPER_AT,WKEND_OPER_AT,SPR_OPER_AT,SUMR_OPER_AT,FALL_OPER_AT,WNT_OPER_AT,ELECT_PROVD_AT,HWATER_PROVD_AT,WIFI_HOLD_AT,FWOOD_SLE_AT,WLK_ROAD_AT,WATERPARK_HOLD_AT,PLY_FCLTY_HOLD_AT,MART_HOLD_AT,TOILET_CO,SHWERRM_CO,SINK_CO,FETGS_CO,CFR_FSHNG_FCLTY_AT,CFR_WLK_ROAD_FCLTY_AT,CFR_BEACH_FCLTY_AT,CFR_PRIZE_LSR_FCLTY_AT,CFR_VALL_FCLTY_AT,CFR_RIVER_FCLTY_AT,CFR_POOL_FCLTY_AT,CFR_YNGBGS_EXPRN_FCLTY_AT,CFR_FAFV_EXPRN_FCLTY_AT,CFR_CHILD_PLY_FCLTY_AT,GLAMPING_BED_HOLD_AT,GLAMPING_TV_HOLD_AT,GLAMPING_FRIDGE_HOLD_AT,GLAMPING_WIFI_HOLD_AT,GLAMPING_IN_TOILET_HOLD_AT,GLAMPING_AC_HOLD_AT,GLAMPING_HEATER_HOLD_AT,GLAMPING_CKNG_TOOL_HOLD_AT,ETC_FCLTY_DC,FCLTY_INTRCN_CN,LAST_UPDT_DE
(유)금강 두승산 글램핑,여가활동,캠핑,글램핑,전라북도,정읍시,고부면,만수리,410-7 번지,영원로,222-15 번,35.59371447,126.7957776,56152,전라북도 정읍시 고부면 영원로 222-15,전라북도 정읍시 고부면 만수리 410-7,0635364441,http://www.금강두승산글램핑.com/,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,대형 수영장과 어린이 풀이 있는 글램핑장,금강두승산글램핑은 정읍시내에서 가깝다. 정읍역이나 시외버스터미널에서도 지척의 거리이고 고속도로 정읍 나들목에서도 금방이다. 정읍천 옆에 있는 정읍아산병원에서 고부와 부안방향으로 가면 바로 오른편에 나타난다. 정읍시내를 지키듯 우뚝K아있는 두승산 자락에 자리잡은 글램핑장에는 더운 여름철 시원하게 즐기실 수 있는 넓은 대형 수영장가 어린이 풀장이 완비되어 있다.   뿐만 아니라 수영장 안쪽으로 전문적인 바리스타가 직접 내려주는 원두커피를 제공하는 카페가 있고 100% 국내산을 사용하며 직접기른 꾸찌뽕으로 백숙을 만들어 파는 식당도 함께 있다.,20221130
(주)두산개발 별고을테마파크,여가활동,캠핑,"일반야영장,자동차야영장,카라반,글램핑",경상북도,성주군,선남면,도성리,15-13 번지,도성3길,22-27 번,35.88380416,128.3709748,40047,경상북도 성주군 선남면 도성3길 22-27,경상북도 성주군 선남면 도성리 산 15-13,0549312489,https://beulgoeul.modoo.at/,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,7,3,3,30,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,반려견과 함께히는 전국최대규모 애견동반펜션,알수없음,20221130
(주)디노담양힐링파크 지점,여가활동,캠핑,"일반야영장,카라반,글램핑",전라남도,담양군,봉산면,기곡리,836-2 번지,탄금길,9-26 번,35.27144048,126.9609422,57371,전라남도 담양군 봉산면 탄금길 9-26,전라남도 담양군 봉산면 기곡리 836-2,0613835155,https://healingpark.modoo.at/,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,4,3,2,20,N,N,N,N,N,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,물놀이시설 잘 갖추어짐 실내 놀이방 실내 독서방  카라반 2동 글램핑 시설이 좋은편,"담양군 봉산면 기곡리에 위치한 힐링파크 담양점은 도심과 떨어져 조용히 숲과 자연에서 자유로이 쉴수 있는 힐링파크다. 이곳은 기존 봉산관광농원이라는 이름으로 1998년 농림부 1등급 판정을 받은 시설로 어느 휴양지에서도 느끼지 못했던 색다른 휴식과 즐거움을 동시에 느낄 수 있다.  담양 힐링파크는 대한민국에서 둘째가라면 서러울 정도로 많은 편의시설을 자랑하고 있는데 책을 좋아하는 사람이라면 누구든 이용 가능한 실내 독서실과 저수지낚시터가 있다. 또한 족구, 배드민턴 등 함께 뛰며 게임할 수 있는 족구장이 있으며 배드민턴은 무료 대여중이다. 이밖에도 주말 행복한 하루를 밤하늘을 보며 마감할 수 있는 주말 폭죽서비스가 있다.  이곳은 ‘동물의 왕국’이라고 해도 과언이 아닐 정도로 다양한 동물들과 시간을 보낼 수 있는데 미니동물원에서는 토끼에게 먹이도 주고 만져보며 교감할 수 있다. 그리고 담양곤충체험관이 있어 자연, 곤충과 친해질 수 있으며 이용료는 무료다. 반려동물이 출입이 가능하므로 자신의 반려동물과도 추억을 쌓을 수 있다.",20221130
(주)밀모 빨강치마 야영장,여가활동,캠핑,일반야영장,전라북도,무주군,,사산리,,,,35.91205126,127.6760675,55531,,전라북도 무주군 적상면 사산리,0633227000,http://milmo.co.kr/,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,1,1,1,0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,설원을 정면으로는 적상산을 직접 바라 볼 수 있는 야영장,"무주 밀모빨강치마 캠핑리조트는 오른쪽으로는 무주리조트의 설원, 정면으로는 적상산을 직접 바라 볼 수 있는 멋진 풍경을 자랑하는 곳 이다. 각 계절마다 운치 있는 풍경을 감상할 수 있는 곳이다. 밀모는 지역이름이고, 빨강치마는 적상산의 붉을 적, 치마상의 이름을 따 빨강치마라 하였고, 적상산의 이름도 가을에 단풍이 들면 그 형상이 빨간치마 같다하여 붙여진 이름이라 한다.    글램핑과 카라반 캠핑장, 오토캠핑장, 가족호텔의 구성으로 되어 있다. 본관 건물에 한우식육식당이 있어 별다른 준비 없이 가도 식사를 해결할 수 있으며, 커피숍이 있어 차 한 잔의 여유와 휴식을 취할 수도 있다. 지하엔 노래방도 있고, 2층엔 당구장, 탁구장이 있으며 스크린 골프장도 있다. 아이들을 위한 미끄럼틀이 있는 큰 수영장과 모래놀이터의 놀이시설들 농구장, 족구장이 있어 아이들의 웃음소리가 끈이지 않는다.     아침에 일어나 캠핑장에서 바라본 건너편 적상산 풍경의 놀랄 것이며, 상쾌한 공기에 또 한번 놀랄 것이다.",20221130
(주)백동소풍가는길,여가활동,캠핑,일반야영장,경상남도,양산시,소주동,,1169-9 번지,백동길,128 번,35.40441624,129.1439095,50517,경상남도 양산시 백동길 128,경상남도 양산시 소주동 1169-9,0553890127,,민간,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,이베리코 고기를 즐길 수 있는 캠핑장,알수없음,20221130
(주)수동자연마을 힐링별밤수목원캠핑장,여가활동,캠핑,"일반야영장,자동차야영장",경기도,남양주시,수동면,내방리,236-1 번지,비룡로,1516-19 번,37.74965174,127.2737422,12026,경기도 남양주시 수동면 비룡로 1516-19,경기도 남양주시 수동면 내방리 236-1,,http://cafe.naver.com/healingforestcamping,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,2,2,2,8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,수동계곡에 자리잡고있는 캠핑장,"힐링별밤수목원 캠핑장은 수동국민관광지로 지정된 수동계곡에 위치하고있다. 나무가 우거지고 계곡으로 둘러쌓인, 숲과 계곡에 위치한 오토캠핑장이다. 관리동과 편의시설에 근접한 힐링사이트와 계곡을 따라 마련된 숲계곡,계곡 사이트와 별이 가까운 별밤사이트가 있다. 수동계곡과 축령산의 숲길, 산책로를 모두 즐길 수 있어서 휴식을 하기 좋은 공간이다. 주변관광지로는 몽골문화촌, 비금계곡 등이 있다.",20221130
(주)수피아캠핑카라반,여가활동,캠핑,카라반,강원도,홍천군,서면,굴업리,357-4 번지,한서로,2141-16 번,37.61736078,127.6730246,25103,강원도 홍천군 서면 한서로 2141-16,강원도 홍천군 서면 굴업리 357-4,,http://www.xn--oi2bl1gmwr7wb74q.kr/,민간,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,1,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,홍천 대명 비발디파크 입구 마을 안쪽에 위치함,알수없음,20221130
(주)쉐르빌리안티티,여가활동,캠핑,글램핑,강원도,홍천군,서면,모곡리,549-5 번지,밤벌길19번길,111 번,37.70151912,127.5967171,25100,강원도 홍천군 서면 밤벌길19번길 111,강원도 홍천군 서면 모곡리 549-5,0334351199,http://chereville.co.kr/default/index.php,민간,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,4,2,2,0,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,반려견 동반 가능 글램핑장,"(주)쉐르빌리안티티는 강원도 홍천군 서면에 자리했다. 서울양양고속도로 설악IC에서 한서중학교 방면으로 30분가량 달리면 닿는다. 이곳은 글램핑 18면을 갖췄는데, 이 가운데 6면은 반려견을 동반하고 글램핑을 만끽할 수 있다. 일반 글램핑과 별도의 구역을 마련해 반려견에 거부감을 가지고 있는 이용객에게 불편을 끼치지 않는다. 반려견 동반 글램핑의 경우 객실 외부 데크에 철망을 설치했으며, 내부에는 반려견 쿠션, 배변판, 패드, 밥그릇, 사료, 간식 등을 구비했다. 아울러 반려견 글램핑 존에는 반려견 전용 놀이터와 수영장을 부대시설로 마련했다. 반려견을 위한 정성은 매점에서도 찾아볼 수 있다. 여느 캠핑장과 달리 반려견용품을 판매하고 있기 때문이다. 일반 글램핑은 내부에 침대, TV, 냉난방기 등을 갖췄으며, 부대시설로는 탁구장, 족구장, 노래방이 있다.",20221130
(주)아웃오브파크,여가활동,캠핑,카라반,강원도,춘천시,남면,관천리,356-8 번지,가옹개길,52-9 번,37.7278656,127.5111568,24468,강원도 춘천시 남면 가옹개길 52-9,강원도 춘천시 남면 관천리 356-8,15221861,http://outofpark.com/main/,민간,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,1,1,0,0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,북한강 변에 위치함,"아웃오브파트는 강원도 춘천시 남면에 자리했다. 서울양양고속도로 강촌IC에서 엘리시안강촌 방면으로 30분가량 달리면 도착한다. 이곳은 북한강 변의 수려한 풍광을 배경으로 캐러밴 40대가 들어찼다. 고급스러움이 돋보이는 유럽피안 캐러밴과 에어스트림 캐러밴이다. 모든 캐러밴은 각기 다른 주제로 꾸몄다. 이 덕분에 욕실에 중점을 둔 객실이나 침실에 초점을 맞춘 객실 등 취향에 따라 선택하는 재미가 있다. 외부에는 어닝 아래 테이블, 의자, 노천욕탕, 바비큐 시설을 마련했다. 캠핑장의 강점 중 하나는 부대시설이다. 카페, 수영장, 찜질방, 스파, 중앙 무대, 분수, 노래방 등 고급스러움으로 치장한 시설이 차고 넘친다.",20221130
(주)양촌여울체험캠프,여가활동,캠핑,"일반야영장,자동차야영장",경상남도,창원시 마산합포구,진전면,금암리,686-1 번지,의산삼일로,60 번,35.13650767,128.3752829,51795,경상남도 창원시 마산합포구 진전면 의산삼일로 60,경상남도 창원시 마산합포구 진전면 금암리 686-1,0552712012,http://www.yangchoncamp.co.kr/,지자체,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,1,1,1,0,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,"여항산, 적석산, 안성산 사이에 위치함","양촌여울체험캠프는 여항산, 적석산, 인성산으로 병풍처럼 둘러 싸여 있는 캠핑장이다. 캠핑장 인근에는 아름다운 거락 숲과 맑은 물의 진전천이 고요히 흐르고 있는 곳이다. 펜션과 야영장이 함께 있는 캠핑장으로, 총 3구역으로 나뉘어져 있으며 사이트 공간이 넓어 텐트를 여유롭게 설치할 수 있어 편안히 쉴 수 있으며 이웃과의 불편함도 줄어들어 편안히 쉬다 올 수 있다.     배전함이 설치되어 있어 전기사용이 가능하며, 족구장이 있어 족구 등 배드민턴도 할 수 있으며 각종 운동을 할 수 있어 좋다. 아이들을 위한 물놀이시설은 최고다. 캠퍼가 아니더라도 입장료 3천원만 내면 누구든 이용할 수 있다.      아이들을 위한 피자 만들기체험은 인기가 많은 체험 중 하나다. 피자를 만들어 먹기까지의 과정을 아이들은 마냥 신기해하며 즐거워한다. 아이들을 위해 체험예약을 서두르는 것이 좋다.",20221130
