"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,기타,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,기타,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,기타
"전체",소계,0,81.4,15.6,2.3,0.6,0.1,10602,84.5,12.7,2.4,0.3,0.1,10498,84.2,13.1,2.1,0.6,0.1,10060,77.4,21.2,1.2,0.1,0,10088,73.5,18.5,4.4,2.2,1.3,0.1,10049,77.9,16.1,3.1,1.7,1.1,0,10046,60,27.9,7.3,2.9,1.9,-
"성별",남성,0,78,18.7,2.6,0.7,0,5179,82.8,13.8,2.9,0.4,0.1,5263,82.1,14.9,2.6,0.5,-,5028,74.9,23.6,1.4,0.1,-,5003,72.3,18.8,5.3,2.2,1.3,0.1,4972,75.5,17.9,3.7,1.8,1.1,0,4893,56.8,29.2,8.8,3.4,1.8,-
"성별",여성,0,84.7,12.6,2,0.6,0.1,5423,86.1,11.6,1.9,0.3,0.1,5235,86.4,11.2,1.7,0.7,0.1,5032,79.9,18.8,1.1,0.2,0.1,5085,74.8,18.2,3.6,2.1,1.3,0.1,5077,80.3,14.3,2.6,1.6,1.1,0,5153,63.2,26.7,5.8,2.5,1.9,-
"연령별",15~19세,0,79.6,18.6,1.8,0,0,827,87.6,10.7,1.1,0.5,0,696,84.2,13.1,1.3,1.5,-,661,79,19,1.5,-,0.5,619,73.4,19.4,3.6,2.2,1.5,-,588,76.2,18.9,1.9,1.7,1.3,-,487,54.8,36.7,5.6,1.3,1.6,-
"연령별",20대,0,77.7,19.4,2.8,0,0,1476,84.4,12.5,2.7,0.1,0.2,1458,82.4,14.9,2.3,0.4,0,1468,77.6,21.2,1.2,0,-,1536,72.7,20,3.7,2.4,1.2,0,1512,73.5,20.8,3.3,1.4,0.9,-,1371,51.7,34.6,8.9,2.6,2.2,-
"연령별",30대,0,79.2,17.2,2.5,1,0.1,1707,83.1,14.1,2.3,0.4,0.1,1560,82.4,14.7,2.4,0.5,-,1643,73.2,25.4,1.3,0.2,-,1644,70,20.9,5.3,2.7,1.1,-,1492,75.3,17.1,4,1.4,2.2,0.1,1433,53.2,31.6,9.7,3.6,1.7,0.1
"연령별",40대,0,78.1,17.2,3.4,1.1,0.1,1991,81.7,14.5,3.2,0.6,0,1998,81.8,15.1,2,0.9,0.2,1885,74.8,23.1,2,-,0,1888,70.7,18,6.4,2.9,1.9,0.1,1782,74.7,17.7,3.5,2.7,1.2,0.1,1717,57.7,27.5,9,3.6,2.2,-
"연령별",50대,0,81.4,15.7,2.1,0.9,0,1956,82,14.4,3.3,0.3,0.1,2007,83,13.3,2.9,0.7,0.1,1877,74.5,23.9,1.4,0.1,0.1,1858,72.4,18.4,5.3,2,1.8,0.1,1900,77.9,15.7,3.7,1.8,0.9,-,1831,60.7,27.8,7,2.8,1.8,-
"연령별",60대,0,89,9.4,1.3,0.3,0,1336,87.4,10.5,1.7,0.4,0,1422,88.2,10.1,1.6,0.1,-,1324,79.8,19,0.7,0.5,0,1377,76.3,17.2,3.7,1.8,0.8,0.2,1477,81.7,12.8,2.8,1.8,0.9,-,1707,65.1,24.1,6,3.1,1.7,-
"연령별",70세이상,0,93.6,5.3,0.5,0.4,0.2,1309,90.7,8.3,0.7,0.2,0.1,1357,91.2,7.6,1.2,-,-,1202,88.2,11.4,0.3,0.1,-,1166,82,15.4,1.2,0.7,0.6,0.1,1298,87.3,10.3,1.4,0.5,0.5,-,1500,75.3,18.3,2.9,1.9,1.5,-
"학력별",초졸 이하,0,92.4,6.6,0.9,0.2,0,1248,93.7,5.8,0.5,0,0,923,91.9,7.6,0.5,-,-,1151,87.2,12.3,0.6,-,-,1101,84.9,13,1,0.5,0.7,0,1139,89.4,8.4,0.8,0.9,0.4,-,1146,74.7,20.3,3,1.1,1,-
"학력별",중졸,0,84.1,14,1.8,0.1,0,1471,87.2,11.4,1,0.4,0.1,1452,88.3,10,1.3,0.5,-,1164,83.1,15.5,1.2,0.2,0,1067,78,17.3,2.5,1.3,0.8,0,1142,83.2,12.9,2.4,0.8,0.6,-,1136,69.4,23.3,4,2,1.4,-
