"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,매우부족,부족,다소부족,보통,다소충분,충분,매우충분,평균,표본수,매우부족,부족,다소부족,보통,다소충분,충분,매우충분,평균,표본수,매우부족,부족,다소부족,보통,다소충분,충분,매우충분,평균,표본수,매우부족,부족,다소부족,보통,다소충분,충분,매우충분,평균,표본수,매우부족,부족,다소부족,보통,다소충분,충분,매우충분,평균,표본수,매우부족,부족,다소부족,보통,다소충분,충분,매우충분,평균
"전체",소계,10602,0.7,3.7,12.5,35.7,29.7,15.2,2.5,4.5,10498,1.3,5.1,19.2,38.1,23.4,10.4,2.5,4.18,10060,0.9,3.9,10.5,35,29.6,15.8,4.3,4.5,10088,1.2,4.7,13.5,38.4,22.9,15.4,3.8,4.4,10049,0.7,4.9,13.9,40.4,19.8,14.6,5.7,4.4,10046,0.7,2.1,7.7,34.9,31.3,18.6,4.7,4.7
"성별",남성,5179,0.6,3.5,12.7,35.4,30.1,15.2,2.5,4.5,5263,1.3,5.2,18.7,38,23.8,10.8,2.3,4.19,5028,0.7,4,9.6,34.4,29.9,16.6,4.8,4.6,5003,1,5,12.8,37.6,23.6,15.5,4.5,4.4,4972,0.5,4.3,13.4,40.2,19.9,15.2,6.6,4.5,4893,0.9,2.2,7.1,33.7,31.7,19,5.4,4.7
"성별",여성,5423,0.9,4,12.2,35.9,29.4,15.2,2.4,4.4,5235,1.4,5.1,19.8,38.2,23,10,2.7,4.17,5032,1.1,3.8,11.4,35.7,29.3,14.9,3.8,4.5,5085,1.4,4.4,14.3,39.1,22.3,15.3,3.1,4.3,5077,0.9,5.5,14.5,40.5,19.7,14.1,4.9,4.3,5153,0.5,1.9,8.3,36.1,30.9,18.1,4.1,4.7
"연령별",15~19세,827,1.9,5.4,16.7,36.1,25.3,10.9,3.6,4.2,696,1.7,7.6,25.6,32.5,21.4,9.5,1.6,3.99,661,2.5,5.8,15.4,38.2,22.4,12.7,3,4.2,619,1.8,5.9,17.3,36.7,22,12.4,3.9,4.2,588,0.3,5.9,14.7,35.1,22,13.4,8.6,4.5,487,-,3.1,11.7,35.4,28.5,17.2,4.1,4.6
"연령별",20대,1476,0.5,3.9,13.3,34.6,30.5,14.2,3,4.5,1458,1.3,6,20.1,34.4,24.6,11.4,2.2,4.18,1468,0.6,4.4,11.6,33.6,28.9,16.6,4.4,4.5,1536,1,4.6,14.2,34.7,25.6,16.1,3.8,4.4,1512,0.1,4.1,14,37.6,21.1,17.1,5.9,4.5,1371,0.5,1.8,6.9,34.9,33,18,4.8,4.7
"연령별",30대,1707,0.6,3,13.1,37.9,29.7,14,1.7,4.4,1560,2,5.4,21.2,37,23.3,8.8,2.3,4.1,1643,0.5,3.6,11.8,33.7,30.6,15.5,4.2,4.5,1644,1.1,4,12.8,36.6,24.1,16.9,4.6,4.5,1492,0.7,4.5,13.9,35.1,22.2,16.7,6.9,4.5,1433,0.4,2.3,7.3,34.4,31.8,19.3,4.5,4.7
"연령별",40대,1991,0.7,3.3,13,37.2,29.2,14.2,2.4,4.4,1998,1.2,4.9,19.7,38.8,23.7,10.2,1.4,4.15,1885,0.9,3.7,9.8,35.5,30.4,15.7,4,4.5,1888,1.1,4.7,13.7,38,23.6,14.8,4.1,4.4,1782,0.8,5.6,13.7,40.6,19.9,14.1,5.4,4.4,1717,0.9,2.2,7.7,34,31.4,18.5,5.4,4.7
"연령별",50대,1956,0.4,3.7,11.3,34,31.2,17.3,2.3,4.5,2007,0.6,4.5,17.2,39.6,25.1,10.1,2.8,4.26,1877,0.5,4.3,9.6,32.3,32.8,15.5,5,4.6,1858,1.1,5.4,13.1,38.8,22.7,15.8,3.2,4.4,1900,0.8,4.6,12.4,40.7,20,15.3,6.1,4.4,1831,0.7,1.7,7.1,34.7,30.9,19.9,5.1,4.7
"연령별",60대,1336,0.8,4.2,11.1,34.1,30.9,16.7,2.1,4.5,1422,1.2,4,17.6,39.5,23,11.7,3,4.26,1324,1,2.7,9.4,36.7,28.8,16.8,4.6,4.6,1377,1.1,4.1,13.9,40.8,21.8,15,3.4,4.4,1477,0.7,5.3,15.8,42,18.8,13.4,4,4.3,1707,1.3,1.7,7.5,34.5,31.9,18.7,4.5,4.7
"연령별",70세이상,1309,1.3,4,9.9,35.1,28.5,17.9,3.3,4.5,1357,1.8,5.1,16.2,42.2,19.8,10.9,4.1,4.22,1202,1.7,3.5,8.5,39.3,27.1,16.1,3.8,4.5,1166,1.7,4.9,12,43.4,19.3,14.7,4,4.3,1298,1.3,4.7,14,49.5,14.9,10.7,5,4.2,1500,0.6,2.5,8.6,37.4,29.9,17,4,4.6
"학력별",초졸 이하,1248,1.5,5.2,11.8,37.1,26.4,14.5,3.4,4.4,923,3.4,7.5,16.7,42.1,18,10.8,1.5,4.02,1151,2.1,4.1,11.3,41.5,24.1,13.7,3.2,4.4,1101,2.2,6.7,15.3,43.1,17.5,11.7,3.5,4.2,1139,1.5,5.9,14.3,48.7,13.4,11.7,4.4,4.2,1146,0.6,2.1,9.3,39.1,28,16.4,4.4,4.6
"학력별",중졸,1471,1.2,4.9,11.4,33.6,30.7,16.1,2.2,4.4,1452,1.4,5,19.3,40.4,22.4,8.9,2.6,4.14,1164,1.6,4.7,10.6,38.9,26,15.6,2.5,4.4,1067,1.6,4.8,14.3,40.3,21.8,13.3,3.9,4.3,1142,0.9,5.5,15.8,44.3,16.6,11.3,5.6,4.3,1136,0.4,2.8,11.1,36.9,28.7,17.1,3,4.5
"학력별",고졸,4183,0.7,4.3,12.6,35,30.6,14.1,2.8,4.4,4491,0.7,5,19,36.3,25.4,11,2.6,4.24,3940,0.9,4.7,10.4,34.4,29.8,16.3,3.5,4.5,4039,1.1,4.8,14.3,38.7,22.3,15.1,3.7,4.4,3927,0.6,5.4,14.5,40.5,20,13.2,5.9,4.4,3790,1,2.1,7.9,35.9,30.4,18.1,4.7,4.7
