"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,자연명승,자동차 드라이브,문화유적방문,국내캠핑,테마파크가기,지역축제참가,소풍/야유회,삼림욕,온천/해수욕,유람선 타기,해외여행,표본수,자연명승,자동차 드라이브,문화유적방문,국내캠핑,테마파크가기,지역축제참가,소풍/야유회,삼림욕,온천/해수욕,유람선 타기,해외여행,표본수,자연명승,자동차 드라이브,문화유적방문,국내캠핑,테마파크가기,지역축제참가,소풍/야유회,삼림욕,온천/해수욕,유람선 타기,해외여행,표본수,자연명승,자동차 드라이브,문화유적방문,국내캠핑,테마파크가기,지역축제참가,소풍/야유회,삼림욕,온천/해수욕,유람선 타기,해외여행,표본수,자연명승,자동차 드라이브,문화유적방문,국내캠핑,테마파크가기,지역축제참가,소풍/야유회,삼림욕,온천/해수욕,유람선 타기,해외여행,표본수,자연명승,자동차 드라이브,문화유적방문,국내캠핑,테마파크가기,지역축제참가,소풍/야유회,삼림욕,온천/해수욕,유람선 타기,해외여행
"전체",소계,10602,43,26.5,29.1,28.5,28.3,32.6,23.3,21.2,29.1,6.6,16.3,10498,47.2,25.7,33,26.3,27.1,38.7,26.4,22.5,30.3,4.6,21.1,10060,44.5,27.6,29.2,22.5,20.8,39.1,20.2,18.7,31.2,4.2,16.8,10088,51.6,41.6,34.8,21.7,21.7,25.8,19.7,16.9,19.1,3.9,11.6,10049,44.1,37.4,22.2,20.6,11.1,7.1,10.3,12.1,8.1,1.6,6.6,10046,41.6,36.7,23.3,17.7,17.7,17.3,14.9,13.1,10.3,2.8,2.3
"성별",남성,5179,41.4,30,28.1,30.6,27.1,32.5,21.3,20,25.2,6.2,15,5263,46.2,29.6,32.2,28.8,26.2,37.9,24.1,21.6,26.7,4.1,19.7,5028,43.1,29.7,27.1,23.9,18.5,35.9,18.7,17.3,28.3,4.1,15.8,5003,50.8,45.3,33,23.4,20.6,24.6,18.1,16.4,17.1,3.7,11.1,4972,43.1,40.3,20.9,22,9.5,6.8,9.5,11.1,7.4,1.4,6.7,4893,40.2,39.3,21.6,19.5,15.7,16.5,13.4,12.6,9.6,2.2,2
"성별",여성,5423,44.6,23,30.2,26.3,29.5,32.6,25.2,22.5,32.9,7,17.6,5235,48.3,21.9,33.8,23.8,28,39.5,28.8,23.4,33.9,5.1,22.4,5032,45.8,25.5,31.3,21,23.1,42.3,21.7,20.1,34,4.2,17.7,5085,52.3,38,36.6,20,22.8,27,21.3,17.4,21.2,4.1,12.2,5077,45.1,34.6,23.6,19.1,12.8,7.4,11.2,13.1,8.8,1.7,6.5,5153,43,34.1,25,15.9,19.7,18.1,16.4,13.7,10.9,3.4,2.6
"연령별",15~19세,827,31.5,8.8,25.3,27.6,47,18.2,40.3,8,17.8,5.2,10.1,696,32.1,7.8,32,24.3,56.5,25.2,46,11.2,24.7,5.2,8.7,661,29.9,7.4,23.2,19,36.7,20.4,33.6,4.8,26.2,2.5,9.5,619,33.4,22.4,21.7,15.5,30.1,14.8,26.9,6.7,9.9,4,8,588,27.5,15.3,8.4,15.2,15.9,4.2,13.6,3.9,4.4,0.6,3.6,487,27.5,18,16.7,14.4,31.5,12.4,19.6,5.8,4.8,1.5,1.2
"연령별",20대,1476,36.1,28.2,21.1,41.6,47.8,23.3,26.1,15.4,26.3,6.8,21.3,1458,37.7,25.6,23.8,34.1,45.8,29.9,28.1,14.7,26.9,5.7,28.1,1468,37.9,28.1,23.4,30.6,33.4,30.6,22.2,11.3,28.6,3.7,24.1,1536,46,40,28.2,30.1,32.3,17.8,20.6,11.3,15,4.7,16.4,1512,41.1,35.8,18.8,28.4,20.8,5.2,11.5,9.2,7,1.7,8.4,1371,36.2,38.7,17.5,26.9,29.9,13.2,15.5,8.7,10.2,3,3.2
"연령별",30대,1707,45.9,38.1,30.5,40.4,43,31,28,20.4,29.4,7,17.6,1560,45.9,39.7,31.4,39.5,43.7,36.3,28.3,22.2,28.3,4.8,26.9,1643,43.8,40.8,30,31.3,36.1,37.9,24.4,16.8,29.1,4.6,19.4,1644,55.7,52.1,37.3,36.1,38.7,27.4,26.2,18.5,19,4.6,14.1,1492,48.9,51.1,22.5,35.3,21.5,6.6,15.4,14.5,9.7,2.1,9.9,1433,44.3,49,24.5,32.9,32.2,16.7,17.8,13.5,11.4,3.3,3.8
"연령별",40대,1991,44.3,36.4,30.9,36.5,31.9,37.1,24.2,25,29.6,6.8,18.1,1998,51.4,35.1,36.5,34.6,29.9,42.8,30.3,25.3,33.3,3.7,22.2,1885,47.6,37.2,33.5,29,23.2,44.5,23.2,22.5,32.2,4.6,17.6,1888,55.5,54.3,40.9,29.7,28.4,30.5,24,19.9,22.4,4.6,12.8,1782,49.9,47.4,24.1,28.2,10.5,7.2,12.2,14.9,8.5,1.1,8.3,1717,45.2,45.2,27,25.5,23.1,20.5,17,15.4,12.5,3.4,2.4
"연령별",50대,1956,50.2,28.4,33,21.7,13.5,38.5,20.7,26.2,31.1,7.5,18.8,2007,53.5,26.8,38.2,21.7,10.6,44.8,22.5,28.2,33,4.4,25,1877,49.6,29.7,31.9,15.1,8.9,44.9,16.6,17.3,31.7,5.5,17.6,1858,55.7,47.8,38.3,16.3,12.3,29.4,17.5,21,20.1,3.8,12.9,1900,51.2,43,25.8,17,5.5,8.7,8.7,15.6,8.9,2.3,7.1,1831,47.2,41.3,25.8,12.4,7.4,20,14.8,16.8,10.8,2.6,1.2
