"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기,표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기,표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기,표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기,표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기,표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기
"전체",소계,10602,80,66.8,65.2,42.9,21,14.8,6.5,2.1,6.9,10498,85.1,81.4,72.1,46.7,20.4,15.8,7.6,2.4,6.9,10060,79.3,82.3,68.9,42.3,22.2,10.3,9.3,0.9,2.7,10088,87.6,83.6,78.5,43.3,21.5,9.5,5.7,4.2,3.3,10049,84.4,81.6,69.7,23.4,18,6.5,3.9,4.1,1.1,10046,76.4,70.9,60,29.2,17.5,6.2,3.9,1.9,1.5
"성별",남성,5179,82,60.3,64.1,42.7,15,16.2,5.7,2.2,8,5263,87,79.6,71.7,45.3,13.8,16.6,6.3,2.4,7.9,5028,79.5,78.9,66.2,42.5,16.4,13.7,8.9,1.2,3.1,5003,89.1,81.2,77.2,44.2,16.2,13.2,5.3,4.4,3.5,4972,85.6,78.9,67.5,23.7,13.9,9.1,3.1,4,1.6,4893,78.4,68.8,58.6,29.2,12.7,9,3.5,2,1.9
"성별",여성,5423,78,73.3,66.2,43,26.9,13.3,7.2,2.1,5.8,5235,83.2,83.2,72.5,48.1,27,15.1,8.8,2.3,6,5032,79.1,85.8,71.6,42,28,6.9,9.7,0.7,2.3,5085,86.2,85.9,79.7,42.3,26.8,5.8,6.2,4,3.2,5077,83.2,84.3,71.8,23.1,22.1,3.9,4.7,4.1,0.7,5153,74.4,73,61.4,29.2,22.2,3.4,4.2,1.9,1.1
"연령별",15~19세,827,84.6,78.2,52,10.2,14.4,22.9,16.3,1.9,4.1,696,89.4,86.9,60.8,9.9,14.4,27.3,22.7,1.7,3.6,661,87.8,89.2,58.1,9.1,16.9,3.2,23.2,0.9,2.1,619,94.8,86.8,67.5,14.2,11.9,2.3,11.2,2.2,2.9,588,91.9,87.2,52.8,5.6,8.1,1.4,5,2.6,1,487,82.9,76.7,43.6,5.1,8.8,0.7,7.5,1.9,0.9
"연령별",20대,1476,86,73.4,52.1,24,11.2,50.9,7.4,1.6,21.5,1458,89,84.5,57.9,26,12.7,55.4,7.3,2.1,20.4,1468,91,86.8,61.8,20.8,12.9,8.2,9.8,1,8.4,1536,93.8,86.5,69.6,26.9,12.5,6.7,3.9,4.1,8.7,1512,92.7,84.2,57.2,12.3,9.3,5.2,3.8,3,2.8,1371,88.7,75.2,49.5,14.6,8.3,4.6,3.9,1.6,5.5
"연령별",30대,1707,83,68.6,71.1,40.7,16.3,17.5,4.4,2.1,9,1560,87.8,84.2,74.9,43.5,14.8,20.8,4.8,2.4,10.5,1643,83.1,83.1,72.1,34.3,16,10.4,5.8,1,2.8,1644,88.8,85,80.2,39.5,14.2,10.9,4.1,3.6,3.8,1492,85.8,83.6,68.7,19.7,9.8,6.5,2.6,3.4,1.7,1433,80.1,75.5,63,24.4,8.8,6.2,2.9,2.2,2
"연령별",40대,1991,81,68.5,73,53,20,4.5,5.6,2.6,4,1998,86.5,83,81.6,55.4,19.6,4.9,5.2,2.2,4.5,1885,77.5,83.6,76.2,50.7,20.2,11.3,9.3,0.6,1.5,1888,87.3,84,83.3,47.1,18.2,11.1,6.2,4.2,3.1,1782,83,82.3,74.4,23.9,14.6,6.6,3.6,4.5,1,1717,76,72.8,66.5,33.3,15.7,7.4,2.9,1.4,0.7
"연령별",50대,1956,79.8,62.3,69.6,59,25.2,4.2,6.2,1.8,3.3,2007,85.2,82.7,77.8,64.1,22.7,4,7.9,1.8,3.3,1877,75.9,81.9,70.2,57.1,26.8,14.2,10.9,0.8,1.9,1858,87.9,84.3,82.5,57.8,24.4,14.6,6.8,3.9,2,1900,81.6,81.4,75.3,31.4,20.9,10.1,5,3,0.4,1831,76.1,70.1,65.6,39.2,19.5,9.8,5.2,1.7,0.6
"연령별",60대,1336,74.9,58.9,66.1,52.8,30.7,3.4,7,1.7,1.7,1422,80.6,77.7,74.3,57.3,29.5,2.3,9.1,3.2,2.1,1324,74.4,76.7,67.4,56,31.5,11.8,8.1,0.8,0.8,1377,85.6,81.6,80.1,57.9,31.4,9.9,7.5,4.6,1.5,1477,83.4,81.3,73.2,33.6,28.5,7.5,4.8,4.4,0.5,1707,71.1,67.1,62,41.4,26,7.4,4.5,1.9,0.6
