"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,TV시청,산책 및 걷기,낮잠,음악감상,목욕/사우나,아무것도 안 하기,라디오/팟캐스트 청취,신문/잡지 보기,비디오 DVD 시청,표본수,TV시청,산책 및 걷기,낮잠,음악감상,목욕/사우나,아무것도 안 하기,라디오/팟캐스트 청취,신문/잡지 보기,비디오 DVD 시청,표본수,TV시청,산책 및 걷기,모바일 컨텐츠 시청,낮잠,음악감상,목욕/사우나,아무것도 안 하기,라디오/팟캐스트 청취,신문/잡지 보기,표본수,TV시청,산책 및 걷기,모바일 컨텐츠 시청,낮잠,음악감상,목욕/사우나,아무것도 안 하기,라디오/팟캐스트 청취,신문/잡지 보기,표본수,TV시청,산책 및 걷기,모바일 컨텐츠 시청,낮잠,음악감상,목욕/사우나,아무것도 안 하기,라디오/팟캐스트 청취,신문/잡지 보기,표본수,TV시청,산책 및 걷기,모바일 컨텐츠 시청,낮잠,음악감상,목욕/사우나,아무것도 안 하기,라디오/팟캐스트 청취,신문/잡지 보기
"전체",소계,10602,95.8,63.5,60,36.8,64.4,17.1,18,20.9,9.2,10498,96.8,71.7,61.6,38.7,74.5,18.1,11.2,14.7,13.3,10060,92.8,72.2,45.8,57.1,43.4,71.2,20.3,16.4,15.4,10088,95.5,85.7,63.8,69.4,54.9,66.1,33.9,25.2,13.5,10049,92.6,81.2,66.6,57.4,47.4,39.1,33.2,18,10.4,10046,86.4,74.2,60.7,52.7,44.3,41.9,24.6,15.6,10.1
"성별",남성,5179,95.6,58.4,59.2,33.6,57.5,16.4,20,27.1,10.1,5263,97.3,67.4,61.9,37.2,69.8,18.2,11.5,20.3,14.2,5028,91.9,67.7,50.5,57,41.2,66.1,19.1,17.5,19.1,5003,94.7,82.4,67.4,68.7,53.8,62,32,27.6,16.2,4972,91.7,77.2,69.4,56.2,45.5,35.3,32.1,20.2,13.1,4893,84.7,69.3,63.2,52.4,42.3,38.4,24.2,17.1,11.8
"성별",여성,5423,95.9,68.7,60.8,40,71.2,17.8,16,14.8,8.4,5235,96.3,76,61.4,40.1,79.2,18,11,9.1,12.4,5032,93.8,76.7,41.2,57.1,45.6,76.2,21.4,15.4,11.7,5085,96.3,89.1,60.2,70.1,56,70.1,35.8,22.7,10.8,5077,93.5,85.3,63.8,58.6,49.4,43,34.3,15.7,7.7,5153,88,79.1,58.3,53,46.2,45.5,25.1,14.2,8.4
"연령별",15~19세,827,92.5,36.5,54.8,71.6,46.8,18.5,11.1,10.6,14.8,696,95.8,47,56.7,74.8,57.2,20.9,12.5,6.1,20.5,661,85,54.4,74.1,57.9,77.7,52.6,20.5,11.3,4.9,619,89,66.3,86.3,65.1,82.2,51.9,38.4,17.1,6.9,588,79.9,61.4,87.8,55.8,76.7,29.2,34.9,9.6,3.3,487,77.8,57.2,81.3,52.5,75.4,27.8,26.7,8.9,3.6
"연령별",20대,1476,92.3,45.3,57.6,67.3,56.3,18.9,17.2,15.6,15.3,1458,95,58.9,57.4,67.7,64.3,20.4,14,9.4,23,1468,88,64.3,77.8,59.5,75.3,59.3,22.9,16.5,12.2,1536,89.2,75.9,88.1,67,81.3,54.2,37.4,20.5,8.6,1512,82.1,72.7,87.7,54.8,72.2,29.7,33,13.3,6.4,1371,74.7,63.3,81.3,52.4,66.4,33.4,28.9,12.5,6.6
"연령별",30대,1707,96.6,59.6,59.5,48.4,64,18.1,20,20.8,13.2,1560,96,67,58.8,45.8,68.8,16.6,12.7,12.6,17.2,1643,92.2,67.5,67.3,55.5,56.8,66.6,18.6,20.3,13.4,1644,94.1,83.5,82.1,66.8,69.8,62.4,34.5,27.5,12.9,1492,88.4,75.9,86.2,55.6,62.5,31.2,31.8,20.9,9.2,1433,79.7,68.8,78.5,52.1,55.2,38,24.6,16.6,8.3
"연령별",40대,1991,96.1,65.9,59.8,33.3,68.9,16.8,21.3,26.1,10.6,1998,97.4,71.2,59.4,35.5,76,17.1,11.5,16.9,14.3,1885,92.2,72.6,50,53.9,41.2,74.5,19.2,20.5,17.8,1888,96.1,87.1,73.3,68.2,57,68.9,32.1,31.6,15.4,1782,94.7,80.3,79.1,51.6,49,37.7,30.3,22.7,10.3,1717,87.5,73,72.6,49,45.2,42.2,23.9,19.9,10.6
"연령별",50대,1956,96.2,70.5,57.8,22.4,69.2,15.3,19.8,26.9,4.7,2007,97,77.7,62.2,26.9,82.6,15.8,10.7,19.5,10.8,1877,94.6,76.8,34.6,54.1,30.5,75.9,18.7,19.2,20,1858,97.8,90.3,61.7,66.9,46.6,70.9,33.3,30.5,16.5,1900,96.5,84.2,66.7,52.7,39.1,43.7,32.2,21,13.5,1831,90.5,77,59.9,48.5,38.7,49,21.7,19.3,13.9
"연령별",60대,1336,97,77.8,62.1,13,68.4,14.6,16.8,21.5,3.4,1422,98.3,82.1,62.5,21.1,81.5,17.3,8.5,17.1,4.4,1324,96.5,81.2,16.8,56.9,22.1,81.3,19.9,13.2,17.9,1377,99.1,92.1,41.6,72.1,36.8,72.9,29.3,23.8,16.7,1477,98.5,89.7,44.4,60.5,29.8,48.1,32.9,17.2,12.8,1707,93.1,82.7,42.8,53,29.8,47.8,21.9,15.2,12.8
"연령별",70세이상,1309,98.9,82.3,69.8,8.6,67.2,18.6,12.5,15.2,2.3,1357,97.6,89,76.3,12.9,82.1,21.9,8,15.6,2.7,1202,98,79.8,4.1,65.6,14.2,78.4,23.6,6.3,13.4,1166,99.5,93.1,13.7,80.5,20.5,72.7,35.6,15.1,12,1298,99.5,92.9,16.4,75.2,18.5,49,40.8,12.8,12.2,1500,95,86.5,16.1,64.4,19.1,43.8,27.7,10.2,9.3
"학력별",초졸 이하,1248,98,72.6,66.2,21.4,67.3,19,9.5,7.4,3.8,923,98.4,81.2,73.7,24.4,76.7,27.7,7.5,10.3,3.5,1151,96.9,74.3,13.4,66.1,23,76.5,28.3,7,7.3,1101,98.8,89.4,21.2,81.3,27.1,72.9,38.2,15.7,6,1139,98.3,86.5,19.6,76.6,23.6,47.8,47.3,11.6,5,1146,95.4,81.6,19.9,69.6,23.1,40.7,35,7.3,5.2
"학력별",중졸,1471,96.1,65.7,62.2,33,61.9,14.8,16,14.6,8.7,1452,96.8,71.4,64.3,34.6,72.7,20.4,10.6,10.5,9.9,1164,92.9,72.8,35,61.7,41.4,69.6,21.8,11.4,12.8,1067,95.5,81.7,49.1,74.3,50.3,66.5,37.3,19,11.6,1142,93.4,81.2,48.8,64.4,40.9,43.9,37.5,13.6,8.5,1136,90.1,77.5,43.8,55.8,37.2,39,24.2,11.8,5.9
"학력별",고졸,4183,95.9,63,58.7,35.4,63.6,16.7,18,20.3,7.7,4491,97.3,71.7,61.3,37.7,77.8,17,10.3,14.7,12.2,3940,93.7,72.2,44.6,53.6,40.1,74,19.3,15.8,14.7,4039,95.9,85.6,66.9,70,54.4,66.2,33.5,25.1,12.5,3927,93.3,81.5,69.9,56.2,47.3,40,32,16.9,9.2,3790,86.7,73.4,60.4,51.1,43.2,43.9,24.1,16.2,9.6
