"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균
"전체",소계,4621,8.7,14.6,15.5,19.6,41.6,68.5,5013,9.2,16.1,15.2,22.6,37,65.4,4811,3.6,14.5,12.4,19.7,49.7,69.3,4408,4.2,10.8,12.1,17,55.9,97.9,3540,5.2,10.8,12.4,19.5,52.1,88.6,3926,4.2,9.6,10,16.3,59.9,104.8
"성별",남성,2385,6.6,12.5,15.1,20.1,45.8,71.8,2565,6.2,14.6,14.7,24,40.4,65.6,2473,2.8,11.8,11.9,20.4,53.1,69.7,2371,3,8.5,11.3,18.1,59.1,100.4,1952,4.2,8.4,11.4,19.3,56.8,94,1985,2.7,7.6,9.2,17.6,62.8,106.2
"성별",여성,2236,11.1,16.9,16.1,19.2,36.7,64.8,2448,12.2,17.6,15.6,21.2,33.4,65.2,2338,4.4,17.3,13,19,46.3,69,2037,5.6,13.5,13,15.7,52.2,94.9,1588,6.5,13.9,13.7,19.8,46.2,81.9,1941,5.7,11.7,10.9,14.9,56.8,103.2
"연령별",15~19세,365,9.9,16.4,25,23.4,25.2,40.8,297,9,27.5,25.7,23.2,14.5,33.3,266,5.7,17.2,21.9,25.5,29.6,37.5,297,6.3,18.2,15.1,28,32.4,48.3,210,7.4,15,19.7,22.5,35.4,45.2,160,6.8,15.8,13.5,24.8,39.2,50
"연령별",20대,722,12.9,19,18.8,18.4,30.9,45.7,680,15.2,23.3,20.8,23.8,16.8,36.7,710,6.2,19.9,16.4,25.6,31.9,39.9,752,9.4,19,17.6,18.2,35.9,53.5,657,8.3,21.3,17.5,21.4,31.4,49,576,7.6,19,18.2,20.2,35,52
"연령별",30대,790,11.1,17.8,17.9,22,31.1,51.4,778,8.9,18.9,18.4,26,27.7,47.6,785,3.6,16.1,15.8,18.2,46.3,52.7,768,6.1,12.6,14.2,20.3,46.8,75,582,6.6,11.9,14.7,26.4,40.4,65.9,606,4.3,11.6,13.6,19.5,51,77.7
"연령별",40대,971,6.6,14.4,18.1,21.9,39,65,1068,10.5,15.8,14.8,23.8,35,57.8,955,3.6,12.3,17,23.1,44.1,58.7,883,3.1,9.1,13.9,17.2,56.7,90.6,643,4.2,10.6,12.8,20.8,51.5,85.7,683,4.7,7.6,7.5,17.2,63,97.1
"연령별",50대,899,6.2,11.1,11.6,18.9,52.3,83.9,1020,6.4,10.2,12,22.5,48.9,77.5,936,2,8.2,6.8,21.5,61.6,77.3,841,2,7.1,9.4,14.8,66.7,116.6,713,3.2,5.1,8.6,18.5,64.7,102.6,769,2.7,6.1,9,12.5,69.6,117.7
