"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,등산,인터넷 검색/영상편집,게임,반려동물 돌보기,쇼핑/외식,원예,음주,낚시,독서,생활공예,요리하기,어학/기술/자격증 취득 공부,미용,겜블,만화 보기,홈페이지/블로그관리,노래방가기,바둑/장기/체스,수집활동,인테리어,테마카페체험,보드게임/퍼즐/큐브 맞추기,표본수,등산,인터넷 검색/영상편집,게임,반려동물 돌보기,쇼핑/외식,원예,음주,낚시,독서,생활공예,요리하기,어학/기술/자격증 취득 공부,미용,겜블,만화 보기,홈페이지/블로그관리,노래방가기,바둑/장기/체스,수집활동,인테리어,테마카페체험,보드게임/퍼즐/큐브 맞추기,표본수,등산,인터넷 검색/영상편집,게임,반려동물 돌보기,쇼핑/외식,원예,음주,낚시,독서,생활공예,요리하기,어학/기술/자격증 취득 공부,미용,겜블,만화 보기,홈페이지/블로그관리,노래방가기,바둑/장기/체스,수집활동,인테리어,보드게임/퍼즐/큐브 맞추기,표본수,등산,인터넷 검색/영상편집,게임,반려동물 돌보기,쇼핑/외식,원예,음주,낚시,독서,생활공예,요리하기,어학/기술/자격증 취득 공부,미용,겜블,만화 보기,홈페이지/블로그관리,노래방가기,바둑/장기/체스,수집활동,인테리어,테마카페체험,보드게임/퍼즐/큐브 맞추기,표본수,등산,인터넷 검색/영상편집,게임,반려동물 돌보기,쇼핑/외식,원예,음주,낚시,독서,생활공예,요리하기,어학/기술/자격증 취득 공부,미용,겜블,만화 보기,홈페이지/블로그관리,노래방가기,바둑/장기/체스,수집활동,인테리어,보드게임/퍼즐/큐브 맞추기,표본수,등산,인터넷 검색/영상편집,게임,반려동물 돌보기,쇼핑/외식,원예,음주,낚시,독서,생활공예,요리하기,어학/기술/자격증 취득 공부,미용,겜블,만화 보기,홈페이지/블로그관리,노래방가기,바둑/장기/체스,수집활동,인테리어,테마카페체험,보드게임/퍼즐/큐브 맞추기
"전체",소계,4621,9.1,4.4,4.1,0.6,0.9,0,1.4,2.3,1.4,1.1,0.3,1.9,0.5,0.6,0,0.2,0.2,1,0.1,0.1,0,0.1,5013,7.8,1.4,3.5,1.2,1.9,1.2,0.8,3.3,0.8,0.9,0.6,2.1,0.6,0.4,0,0.1,0.2,0.7,0,0.1,0.1,0.1,4811,9.2,4.7,4,1.9,1.3,1.6,1,1.8,1.6,0.5,0.5,0.7,0.7,0.1,0.5,0.2,0.1,0.3,0,0,0,4401,6.4,6.8,5.2,1.9,1.1,1.2,1.1,2.4,2,0.9,0.9,0.8,0.6,0.4,0.4,0.1,0.1,0.7,0.1,0.1,0.1,0.2,3540,7.8,5.1,5.2,2.8,1.4,1.2,0.7,2.9,2.2,1.1,0.7,1.2,0.9,0.2,0.7,0.1,0.3,0.8,0.1,0.2,0.1,3926,5.6,4.9,4.6,3.3,2.2,2.1,1.7,1.5,1.5,0.8,0.8,0.6,0.6,0.5,0.4,0.2,0.2,0.2,0.1,-,-,-
"성별",남성,2385,12,4.1,5.8,0.3,0.4,0,2.2,4.3,1,0,0,1.7,0.1,0.4,0,0.2,0.1,1.7,0.2,0.1,0,0.1,2565,11.3,0.9,5.4,0.5,1,0.3,1.2,6.1,0.6,0.1,0.1,2.5,0.1,0.4,0,0.1,0.2,1.4,0,0,0.1,0,2473,11.1,4.4,6.7,1.6,0.7,0.9,1.8,3.2,1.6,-,0.2,0.9,0,0.1,0.5,0.2,0.1,0.5,0,0,0,2367,7.7,6.1,7.7,0.9,0.8,0.7,1.7,4,1.2,0,0.2,0.3,0.1,0.5,0.2,0.1,0.1,1.2,0.1,0.1,0,0.2,1952,9.4,4.6,8.1,1.6,1,0.6,1,4.5,1.8,0.1,0.2,1.2,0,0.1,0.6,0.1,0.3,1.5,0,0.1,0,1985,7.8,4.8,6.8,1.6,1.4,0.9,3,2.7,1,-,0.1,0.3,0.1,0.5,0.2,0.2,0.2,0.3,0.1,0.1,-,-
"성별",여성,2236,5.7,4.7,2.2,0.9,1.4,0,0.4,0.1,1.8,2.2,0.6,2.2,1,0.9,0,0.3,0.3,0.1,0,0.2,0,0,2448,4.2,1.9,1.6,2,2.8,2,0.5,0.3,1.1,1.7,1.1,1.7,1.1,0.3,0,0.1,0.3,0,0,0.1,0,0.2,2338,7.3,5,1.2,2.1,2,2.2,0.2,0.4,1.5,1.1,0.7,0.4,1.4,0.2,0.6,0.2,0.1,0,-,0,0,2034,4.8,7.7,2.2,3.1,1.5,1.9,0.4,0.4,2.8,2,1.7,1.3,1.2,0.3,0.6,0.2,0.2,0.1,0,0.1,0.1,0.1,1588,5.8,5.8,1.6,4.2,1.9,1.9,0.3,0.9,2.8,2.3,1.4,1.2,2,0.4,0.9,0.2,0.3,0,0.1,0.3,0.2,1941,3.2,5,2.3,5.2,3.1,3.4,0.4,0.3,2.1,1.6,1.5,0.9,1.1,0.5,0.5,0.3,0.2,-,-,-,-,-
"연령별",15~19세,365,0,13.7,14,0.6,1.3,0,0.9,0.4,2.5,0,0,11.1,0.2,0,0,1,0.7,0,0.1,0,0,0.3,297,0.2,5.7,18.5,0,0.7,0,0,0,2.7,0.8,0,8.6,0.2,0,0,0,0.4,0.4,0,0,0,0.3,266,-,8.3,18.2,0.7,0.5,-,0.2,-,0.7,-,-,0.8,-,-,4.5,-,0.9,-,-,-,0.3,297,0.7,11.9,20.8,2.4,0.5,-,-,0.3,3.5,0.7,0.5,3.8,0.7,-,2.5,0.3,0.7,0.3,-,-,-,0.3,210,0.2,7,17.2,3.5,2.1,-,-,1,2.3,-,-,6.2,-,-,3.5,-,1.9,-,-,1.1,-,160,-,5.8,19.8,4.5,-,-,-,-,1.5,1,-,1.8,-,-,4.1,-,3.3,-,-,-,-,-
"연령별",20대,722,1.1,8.2,7.3,0.6,1.1,0,0.6,0.4,2,0.5,0.2,4.4,0.9,0,0,0.8,0.3,0.4,0.1,0,0,0,680,0.2,1.4,9.2,1,1.8,0,0.5,0.2,2.7,0.6,0.3,7.6,0.7,0,0,0.3,0.8,0,0,0,0.2,0,710,0,9.5,9.8,4.9,0.5,0.3,0.7,0.4,2.9,0.1,0.5,2.2,1.1,-,1.5,0.7,0.3,-,-,-,0.2,751,1.2,8.1,13.1,3.7,0.5,0.6,1,0.4,2.4,0.5,1,2.1,0.4,0.3,0.9,0.2,0.3,-,0,-,0.2,0.4,657,0.4,7.4,10.1,5,2.6,-,0.4,0.3,3.2,0.8,0.6,1.6,0.9,-,1.2,0.3,0.3,-,0.2,0.4,0.4,576,1.6,6.8,9.3,3.8,1.1,-,1.4,0.7,1.1,0.2,-,1.5,0.2,-,0.7,1.3,0.5,-,-,-,0.2,-
"연령별",30대,790,3.2,8.2,5.2,0.5,1.1,0,1.4,1.8,1.5,0.9,0.4,1.3,0.6,0.1,0,0,0.3,0,0,0,0,0,778,1.1,2.5,4.1,1.8,1.5,0.5,1.6,2.5,0.7,0.5,0.7,1.1,0.3,0,0,0.1,0,0,0,0.1,0,0,785,0.2,8.2,6.8,1.9,1.9,0.8,0.8,2,1.9,1.9,1.1,0.1,1.1,-,0.2,0.4,-,-,-,-,-,767,1.5,9.5,6.7,1.5,2,0.2,1.2,2,2.3,1.2,1,0.1,0.4,-,0.2,0.3,0.1,0.4,-,0.3,0.1,0.3,582,2.7,8.1,9.1,3.1,2,-,0.6,2.7,2.5,0.9,0.8,1.2,1.3,0.1,0.6,0.4,0.1,-,-,0.2,0.1,606,0.8,8.2,8.9,2.9,3.4,0.4,1.6,1.3,2.2,0.4,0.1,0.8,0.4,0.1,0.3,-,-,-,0.3,0.1,-,-
"연령별",40대,971,8.9,1.8,3,0.5,1,0,1.8,4,1.3,1.8,0.4,0.5,0.5,0.1,0,0,0,0.4,0.1,0.4,0,0.2,1068,8.8,1.3,1.6,0.6,2.8,0.9,0.7,3,0.3,1.4,1,0.9,0.6,0.3,0,0,0,0.1,0,0,0.1,0,955,9.5,4.6,1.8,1.3,2.7,0.5,1.2,1.8,2.2,0.7,0.1,0.3,0.8,-,0.2,-,0,-,0.1,0,-,882,5,8.5,1.9,1.4,0.9,1.1,1.4,3.3,2.4,1.5,0.7,0.4,0.8,0.2,0.3,-,-,0.1,0.2,0.1,-,-,643,7.6,5.2,3.1,1.9,1.6,0.5,0.4,5,2.6,1.8,0.5,0.5,1.3,0.2,0.7,0.1,-,0.3,0.1,-,-,683,3.7,5.6,3.4,4,2.6,0.8,1.3,1.4,1.3,1.6,0.9,0.1,0.9,0.3,0.2,-,-,-,-,-,-,-
"연령별",50대,899,17.6,1.1,1.4,0.5,0.3,0,1.9,3.8,1,1.6,0.1,0,0.6,0.2,0,0.1,0,1.4,0.1,0.2,0,0,1020,16.1,0.4,0.8,0.8,1.6,1.5,0.6,6.2,0.2,1.1,0.6,0.6,0.4,0.2,0,0.1,0,1.1,0,0.2,0,0,936,21.3,1.9,0.4,0.9,0.8,0.9,1.4,3.8,0.3,0.3,0.4,1,0.3,-,-,-,0.1,0.4,-,0,-,840,11.1,6.2,0.7,2,1.1,1.1,1.4,3.5,1.4,0.7,1.5,0.1,0.3,0.2,-,0.2,-,1,0,-,-,0.2,713,13.7,3.1,1.5,1.9,0.4,1.3,1.3,3.2,2,2,1.2,0.9,1,-,0.4,-,-,0.5,0.1,-,-,769,8.2,3.3,0.7,4.4,2,1.7,2.5,2.8,2.3,1.4,0.9,0.4,0.5,0.5,-,0.2,0.1,-,-,0.1,-,-
"연령별",60대,518,20.4,0,1.1,0.6,0.5,0,1.3,2.4,0.5,0.6,0.4,0.3,0,0.9,0,0,0.2,2.8,0,0,0,0,687,15.8,0.4,0,1.4,1.8,1.5,1.2,4.9,0.2,0.7,0.2,0,1.7,0.6,0,0,0,2.4,0,0,0,0.1,643,20.6,1.5,0.4,1.5,1.4,2.1,1.1,2.4,1.2,0.1,0.8,0.1,0.5,0.1,-,-,0.1,0.3,-,-,-,538,14.5,1.7,0.1,1.2,1.4,3.3,1.1,3.6,0.8,1,0.3,0.2,1.4,0.2,-,-,-,1.7,-,-,-,-,454,17.4,3.3,0.2,1.5,0.2,4.1,0.6,4.9,1.6,0.2,0.5,0.7,0.1,0.8,-,0.1,0.5,2.3,-,-,-,687,13.9,3.3,0.7,2,1.9,5.7,1.8,2.2,0.9,0.4,1.2,0.4,0.8,0.6,0.1,-,-,0.4,-,-,-,0.1
