"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,3만원 미만,3~5만원,5~7만원,7~9만원,9-15만원,15만원이상,평균,표본수,3만원 미만,3~5만원,5~7만원,7~9만원,9-15만원,15만원이상,평균,표본수,3만원 미만,3~5만원,5~7만원,7~9만원,9-15만원,15만원이상,평균,표본수,3만원 미만,3~5만원,5~7만원,7~9만원,9-15만원,15만원이상,평균,표본수,3만원 미만,3~5만원,5~7만원,7~9만원,9-15만원,15만원이상,평균,표본수,3만원 미만,3~5만원,5~7만원,7~9만원,9-15만원,15만원이상,평균
"전체",소계,10602,2.7,4,11,4.7,22.8,54.7,188,10498,2.4,3.9,11.7,4.2,20.9,57,192.2,10060,5.2,5.1,12.7,1.8,19.1,56.1,211,10088,4.4,5.4,13.1,1.8,21.9,53.3,203,10049,5.4,5.1,14.9,1.9,21.3,51.5,197,10046,3.8,3.2,9.7,1.5,17.9,63.9,239
"성별",남성,5179,2.3,3.3,9.5,4.1,21.2,59.6,210,5263,2.3,3.5,10.1,4,19.6,60.5,205,5028,3.8,4.3,11.1,1.6,18.3,61,239,5003,3.6,4.5,10.9,1.5,21.1,58.4,228,4972,4.3,4.2,12.9,1.9,19.7,57,226,4893,3.3,2.6,7.8,1.5,16,68.7,267
"성별",여성,5423,3,4.7,12.6,5.4,24.4,49.9,166,5235,2.5,4.3,13.2,4.3,22.2,53.5,179.4,5032,6.5,5.8,14.4,2,20,51.3,182,5085,5.2,6.4,15.4,2.2,22.7,48.2,177,5077,6.4,6.1,16.8,1.9,22.8,46,169,5153,4.2,3.8,11.5,1.5,19.8,59.2,212
"연령별",15~19세,827,6.8,12.8,25.1,8.5,24.1,22.7,106,696,5.2,11.4,23,9.4,28.4,22.6,110.5,661,9.7,11.1,25.9,3.9,25.7,23.7,112,619,13.7,10.6,22.3,3.7,18.9,30.8,115,588,12.6,15.3,19.3,3,20.6,29.1,121,487,8.3,7.5,23.9,2.4,28,30,131
"연령별",20대,1476,1.4,2.6,8.8,4.5,20.9,61.8,196,1458,1.1,1.7,7.6,2.1,20.9,66.5,215.2,1468,1.7,1.9,10.3,2.2,19.2,64.8,233,1536,1.8,4.1,10.4,2.2,20.5,61,224,1512,2.3,2.8,11.5,1.6,21.3,60.5,227,1371,1.3,1.6,6.6,1.9,15,73.6,269
"연령별",30대,1707,0.9,2.1,6.5,3.3,20.9,66.3,221,1560,1.1,1.5,7.9,2.1,18.2,69.3,229.6,1643,2.1,2.8,9,1.2,16.5,68.5,263,1644,1.9,2.5,7.9,1.6,21,65.1,242,1492,1.4,1.5,9.7,1.2,18.6,67.5,246,1433,1.4,1.5,4,1.1,13.5,78.5,288
"연령별",40대,1991,1,2.3,5.7,4.3,21.9,64.8,217,1998,1.1,2,8,4.1,17.5,67.3,219.8,1885,2.4,3.3,9.8,1.5,19,64,233,1888,1.5,3.2,7.9,1.2,23.1,63.1,236,1782,2.6,2.7,10,1.7,21.8,61.2,230,1717,2.2,1.4,6.5,1.6,14.8,73.4,282
"연령별",50대,1956,1.7,1.8,8.5,4.9,22.3,60.7,204,2007,1.2,2.8,9.8,4.1,20.9,61.2,201.8,1877,3.6,4.4,10.8,1.2,17.2,62.8,235,1858,2.5,3.7,12.2,1.7,22.6,57.2,222,1900,3,2.8,13.1,2.3,22,56.8,214,1831,2.8,2.3,6.8,1.1,16.1,71,269
"연령별",60대,1336,3.3,4.9,13.6,5.4,24.9,47.9,173,1422,2.2,4.4,14.3,4.8,24.9,49.3,169,1324,6,6.5,14.3,1.6,19.9,51.6,183,1377,4.6,6.3,15.4,1.5,24.6,47.5,181,1477,5.9,5.2,20.7,2.2,24,42,164,1707,3.8,3.7,10.9,1.5,20.8,59.3,211
"연령별",70세이상,1309,9,9.1,23.5,4.8,28,25.6,112,1357,9.1,10.6,23,6.6,22,28.7,114.3,1202,17.8,11.5,20.9,2.4,21.7,25.7,118,1166,13.6,13.9,26.1,2.4,20.1,24,108,1298,17.9,15.4,26.2,1.9,19.6,19.1,98,1500,11.3,8.3,21,1.7,26,31.7,125
"학력별",초졸 이하,1248,8.4,11.4,26.2,4.6,24.3,25.1,112,923,12,15.3,27.4,4.4,21.2,19.7,92.3,1151,18.5,14.1,25.5,2.1,21.1,18.7,95,1101,16.6,14.4,25.4,1.5,21.7,20.3,92,1139,20.6,16.9,27.2,2.6,15.9,16.7,83,1146,14.5,9.6,26.4,1.8,25.4,22.4,98
