ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,FOND_MBY_VALUE,OPER_INSTT_NM,OPER_STLE_NM,TEL_NO,HMPG_ADDR,OPNNG_DE,TOTAR_VALUE,LRGE_THEAT_SEAT_CO_VALUE,LRGE_THEAT_AR_VALUE,MIDDL_THEAT_SEAT_CO_VALUE,MIDDL_THEAT_AR_VALUE,SMALL_THEAT_SEAT_CO_VALUE,SMALL_THEAT_AR_VALUE,PRFPLC_CO,DSPY_AR_CN,EDC_FCLTY_AR_VALUE,CNFRM_AR_CN,TSD_THEAT_ACEPTNC_NMPR_CO,TSD_THEAT_AR_VALUE,TOT_EMP_CO,SPCLTY_EMP_CO,PBLPRFR_DAY_CO,DSPY_DAY_CO,CHGD_ENTRN_CO,EMPR_CO,FYER_OPER_PRICE,PBLPRFR_INCME_PRICE,RM_CN,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDMSMC22N000000001,문화시설,문예회관,꿈빛극장,서울,성북구,1129013400,길음동,1129066000,길음1동,길음로7길,서울 성북구 길음로7길 20,2721,다사578561,127.0222037,37.6037552,기초자치단체,성북문화재단,공공기관 위탁,02-6953-3201,kbt.sbculture.or.kr,2021.04.17,"1,005",,,324,"1,005",,,,,,16,,,7,5,131,152,"2,646",9056,223,27,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000002,문화시설,문예회관,강남구민회관,서울,강남구,1168010600,대치동,1168061000,대치2동,삼성로,서울 강남구 삼성로 154,6288,다사614439,127.0642724,37.493888,기초자치단체,강남구도시관리공단,공공기관 위탁,02-2176-0891,life.gangnam.go.kr/fmcs/103,1996.09.12,"11,441",,,516,663,,,1,231,,,,,16,3,5,160,,2300,"1,105",3,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000003,문화시설,문예회관,강동아트센터,서울,강동구,1174010300,상일동,1174052500,상일1동,동남로,서울 강동구 동남로 870,5278,다사697502,127.1573425,37.5512205,기초자치단체,강동문화재단,공공기관 위탁,02-440-0500,www.gdfac.or.kr,2011.09.01,"18,501",,,850,"1,948",250,459,2,"1,183",252,252,,,46,16,102,192,"16,074",40804,"10,490",12170,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000004,문화시설,문예회관,강북문화예술회관,서울,강북구,1130510300,수유동,1130566000,인수동,삼각산로,서울 강북구 삼각산로 85,1036,다사571602,127.0138781,37.6409898,기초자치단체,강북구도시관리공단,공공기관 위탁,02-944-3068,www.gbcmc.or.kr/fmcs/25,2001.11.01,"11,267",,,666,"1,248",,,1,316,248,,,,33,4,31,,"1,750",3850,"2,761",4,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000005,문화시설,문예회관,강서구민회관,서울,강서구,1150010600,내발산동,1150061500,우장산동,우장산로,서울 강서구 우장산로 66,7684,다사420506,126.8436489,37.5534364,기초자치단체,강서구시설관리공단,공공기관 위탁,02-3664-6046,www.gssi.or.kr,1989.03.14,"4,167",,,609,858,85,205,1,107,55,,,,13,2,1,,300,5839,831,37,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000006,문화시설,문예회관,관악아트홀,서울,관악구,1162010200,신림동,1162073500,대학동,신림로3길,서울 관악구 신림로3길 35,8825,다사509410,126.9448709,37.4675977,기초자치단체,관악문화재단,공공기관 위탁,02-828-5854,www.gfac.or.kr,2002.12.27,"15,615",,,698,886,,,1,270,524,,,,81,6,66,107,300,4315,973,16,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000007,문화시설,문예회관,나루아트센터,서울,광진구,1121510500,자양동,1121584000,자양3동,능동로,서울 광진구 능동로 76,5065,다사620487,127.070576,37.5375706,기초자치단체,광진문화재단,공공기관 위탁,02-2049-4700,www.naruart.or.kr,2005.05.02,"18,861",,,618,853,167,258,1,272,,,,,19,7,71,52,"1,708",2117,"2,338",117.8,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000008,문화시설,문예회관,구로아트밸리예술극장,서울,구로구,1153010200,구로동,1153056000,구로5동,가마산로25길,서울 구로구 가마산로25길 9-24,8301,다사459443,126.888975,37.4965583,기초자치단체,구로문화재단,공공기관 위탁,02-2029-1722,www.guroartsvalley.or.kr,2008.07.22,"8,800",,,579,"1,362",,,2,302,143,,,,36,12,71,,"5,383",19567,"2,533",141,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000009,문화시설,문예회관,구로구민회관,서울,구로구,1153010200,구로동,1153056000,구로5동,가마산로25길,서울 구로구 가마산로25길 21,8301,다사460443,126.8895491,37.4971027,기초자치단체,구로문화재단,공공기관 위탁,02-860-2592,www.guroartsvalley.or.kr,1989.02.15,"3,586",,,531,"1,674",,,,,,,,,9,2,,,,125000,424,28,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
KCDMSMC22N000000010,문화시설,문예회관,금나래아트홀,서울,금천구,1154510300,시흥동,1154567000,시흥1동,시흥대로73길,서울 금천구 시흥대로73길 70,8611,다사465399,126.8960369,37.4570657,기초자치단체,금천문화재단,공공기관 위탁,02-2627-2981,gcfac.or.kr,2008.10.18,"6,424",,,546,883,,,1,217,,,,,12,5,97,142,625,3049,"1,076",15,,20220101,문화데이터총람 2022,KC_479_DMSTC_MCST_CLTURARTCENT_2022,20220101
