LCLAS_NM,MLSFC_NM,SIGNGU_NM,AREA_ARBY_STDIZ_FCLTY_SCORE
문화예술,공연시설,서울특별시 종로구,100
문화예술,공연시설,서울특별시 중구,100
문화예술,공연시설,서울특별시 용산구,68.85408
문화예술,공연시설,서울특별시 성동구,99.2381
문화예술,공연시설,서울특별시 광진구,46.16235
문화예술,공연시설,서울특별시 동대문구,14.8833
문화예술,공연시설,서울특별시 중랑구,11.44303
문화예술,공연시설,서울특별시 성북구,29.95773
문화예술,공연시설,서울특별시 강북구,8.54166
문화예술,공연시설,서울특별시 도봉구,7.74908
문화예술,공연시설,서울특별시 노원구,6.81319
문화예술,공연시설,서울특별시 은평구,11.86498
문화예술,공연시설,서울특별시 서대문구,38.85259
문화예술,공연시설,서울특별시 마포구,100
문화예술,공연시설,서울특별시 양천구,26.60437
문화예술,공연시설,서울특별시 강서구,23.63542
문화예술,공연시설,서울특별시 구로구,26.09143
문화예술,공연시설,서울특별시 금천구,31.83654
문화예술,공연시설,서울특별시 영등포구,60.16789
문화예술,공연시설,서울특별시 동작구,27.12763
문화예술,공연시설,서울특별시 관악구,15.03255
문화예술,공연시설,서울특별시 서초구,89.64589
문화예술,공연시설,서울특별시 강남구,100
문화예술,공연시설,서울특별시 송파구,28.94762
문화예술,공연시설,서울특별시 강동구,15.63042
문화예술,공연시설,부산광역시 중구,13.56565
문화예술,공연시설,부산광역시 서구,1.70986
문화예술,공연시설,부산광역시 동구,6.09179
문화예술,공연시설,부산광역시 영도구,1.42837
문화예술,공연시설,부산광역시 부산진구,4.07727
문화예술,공연시설,부산광역시 동래구,6.64754
문화예술,공연시설,부산광역시 남구,4.74451
문화예술,공연시설,부산광역시 북구,2.29557
문화예술,공연시설,부산광역시 해운대구,4.02702
문화예술,공연시설,부산광역시 사하구,1.99752
문화예술,공연시설,부산광역시 금정구,2.46989
문화예술,공연시설,부산광역시 강서구,0.20997
문화예술,공연시설,부산광역시 연제구,4.16736
문화예술,공연시설,부산광역시 수영구,7.88231
문화예술,공연시설,부산광역시 사상구,3.06809
문화예술,공연시설,부산광역시 기장군,0.39922
