LCLAS_NM,MLSFC_NM,SIGNGU_NM,AREA_POPLTN_STDIZ_FCLTY_SCORE
문화예술,공연시설,서울특별시 종로구,100
문화예술,공연시설,서울특별시 중구,58.43065
문화예술,공연시설,서울특별시 용산구,46.02103
문화예술,공연시설,서울특별시 성동구,39.59594
문화예술,공연시설,서울특별시 광진구,15.32985
문화예술,공연시설,서울특별시 동대문구,3.82535
문화예술,공연시설,서울특별시 중랑구,3.28826
문화예술,공연시설,서울특별시 성북구,11.13411
문화예술,공연시설,서울특별시 강북구,4.2156
문화예술,공연시설,서울특별시 도봉구,3.07233
문화예술,공연시설,서울특별시 노원구,2.82094
문화예술,공연시설,서울특별시 은평구,4.68463
문화예술,공연시설,서울특별시 서대문구,14.7034
문화예술,공연시설,서울특별시 마포구,94.34368
문화예술,공연시설,서울특별시 양천구,6.68505
문화예술,공연시설,서울특별시 강서구,11.18959
문화예술,공연시설,서울특별시 구로구,8.53927
문화예술,공연시설,서울특별시 금천구,11.74263
문화예술,공연시설,서울특별시 영등포구,25.88114
문화예술,공연시설,서울특별시 동작구,7.45332
문화예술,공연시설,서울특별시 관악구,5.73482
문화예술,공연시설,서울특별시 서초구,69.70102
문화예술,공연시설,서울특별시 강남구,100
문화예술,공연시설,서울특별시 송파구,9.60913
문화예술,공연시설,서울특별시 강동구,5.20328
문화예술,공연시설,부산광역시 중구,9.87756
문화예술,공연시설,부산광역시 서구,2.8133
문화예술,공연시설,부산광역시 동구,5.09175
문화예술,공연시설,부산광역시 영도구,4.6151
문화예술,공연시설,부산광역시 부산진구,1.87159
문화예술,공연시설,부산광역시 동래구,2.31762
문화예술,공연시설,부산광역시 남구,4.89157
문화예술,공연시설,부산광역시 북구,1.77336
문화예술,공연시설,부산광역시 해운대구,3.45039
문화예술,공연시설,부산광역시 사하구,3.41049
문화예술,공연시설,부산광역시 금정구,4.50245
문화예술,공연시설,부산광역시 강서구,2.42924
문화예술,공연시설,부산광역시 연제구,1.24792
문화예술,공연시설,부산광역시 수영구,3.8626
문화예술,공연시설,부산광역시 사상구,3.25261
문화예술,공연시설,부산광역시 기장군,3.00796
문화예술,공연시설,대구광역시 중구,30.16915
문화예술,공연시설,대구광역시 동구,1.9825
문화예술,공연시설,대구광역시 서구,0
문화예술,공연시설,대구광역시 남구,7.7612
문화예술,공연시설,대구광역시 북구,2.89521
문화예술,공연시설,대구광역시 수성구,5.37007
문화예술,공연시설,대구광역시 달서구,2.11212
문화예술,공연시설,대구광역시 달성군,2.94056
문화예술,공연시설,인천광역시 중구,5.81316
문화예술,공연시설,인천광역시 동구,16.90249
문화예술,공연시설,인천광역시 미추홀구,3.93838
문화예술,공연시설,인천광역시 연수구,2.57697
문화예술,공연시설,인천광역시 남동구,4.01713
문화예술,공연시설,인천광역시 부평구,2.22122
문화예술,공연시설,인천광역시 계양구,4.05684
문화예술,공연시설,인천광역시 서구,1.54075
문화예술,공연시설,인천광역시 강화군,21.05551
문화예술,공연시설,인천광역시 옹진군,9.4934
문화예술,공연시설,광주광역시 동구,23.38546
문화예술,공연시설,광주광역시 서구,5.9768
문화예술,공연시설,광주광역시 남구,3.74567
문화예술,공연시설,광주광역시 북구,10.00511
문화예술,공연시설,광주광역시 광산구,2.80583
문화예술,공연시설,대전광역시 동구,7.01753
문화예술,공연시설,대전광역시 중구,6.17615
문화예술,공연시설,대전광역시 서구,4.35539
문화예술,공연시설,대전광역시 유성구,10.86667
문화예술,공연시설,대전광역시 대덕구,2.33549
문화예술,공연시설,울산광역시 중구,0.55599
문화예술,공연시설,울산광역시 남구,3.08422
문화예술,공연시설,울산광역시 동구,1.37063
문화예술,공연시설,울산광역시 북구,0.19694
문화예술,공연시설,울산광역시 울주군,6.03525
문화예술,공연시설,세종특별자치시 세종특별자치시,6.14798
문화예술,공연시설,경기도 수원시,3.29352
문화예술,공연시설,경기도 성남시,5.7798
문화예술,공연시설,경기도 의정부시,3.83604
문화예술,공연시설,경기도 안양시,4.17363
문화예술,공연시설,경기도 부천시,3.62794
문화예술,공연시설,경기도 광명시,2.88748
문화예술,공연시설,경기도 평택시,2.75455
문화예술,공연시설,경기도 동두천시,4.04076
문화예술,공연시설,경기도 안산시,5.30961
문화예술,공연시설,경기도 고양시,10.84337
문화예술,공연시설,경기도 과천시,29.23194
문화예술,공연시설,경기도 구리시,2.82437
문화예술,공연시설,경기도 남양주시,4.103
문화예술,공연시설,경기도 오산시,5.2078
문화예술,공연시설,경기도 시흥시,1.16819
문화예술,공연시설,경기도 군포시,2.90197
문화예술,공연시설,경기도 의왕시,1.27518
문화예술,공연시설,경기도 하남시,4.79954
문화예술,공연시설,경기도 용인시,8.26013
문화예술,공연시설,경기도 파주시,1.50006
문화예술,공연시설,경기도 이천시,6.61224
문화예술,공연시설,경기도 안성시,6.43127
문화예술,공연시설,경기도 김포시,4.92195
문화예술,공연시설,경기도 화성시,2.56688
문화예술,공연시설,경기도 광주시,5.31933
문화예술,공연시설,경기도 양주시,21.41303
문화예술,공연시설,경기도 포천시,13.97658
문화예술,공연시설,경기도 여주시,14.63306
문화예술,공연시설,경기도 연천군,10.91669
문화예술,공연시설,경기도 가평군,13.83053
문화예술,공연시설,경기도 양평군,12.94653
문화예술,공연시설,강원도 춘천시,17.16833
문화예술,공연시설,강원도 원주시,11.85257
문화예술,공연시설,강원도 강릉시,17.63062
문화예술,공연시설,강원도 동해시,6.43323
문화예술,공연시설,강원도 태백시,61.8069
문화예술,공연시설,강원도 속초시,15.21284
문화예술,공연시설,강원도 삼척시,17.83387
문화예술,공연시설,강원도 홍천군,9.60037
문화예술,공연시설,강원도 횡성군,11.29182
문화예술,공연시설,강원도 영월군,48.35171
문화예술,공연시설,강원도 평창군,31.16729
문화예술,공연시설,강원도 정선군,32.74491
문화예술,공연시설,강원도 철원군,1.18655
문화예술,공연시설,강원도 화천군,31.6307
문화예술,공연시설,강원도 양구군,34.63658
