LCLAS_NM,MLSFC_NM,SIGNGU_NM,FCLTY_CO
문화예술,공연시설,서울특별시 종로구,329
문화예술,공연시설,서울특별시 중구,104
문화예술,공연시설,서울특별시 용산구,149
문화예술,공연시설,서울특별시 성동구,165
문화예술,공연시설,서울특별시 광진구,78
문화예술,공연시설,서울특별시 동대문구,21
문화예술,공연시설,서울특별시 중랑구,21
문화예술,공연시설,서울특별시 성북구,73
문화예술,공연시설,서울특별시 강북구,20
문화예술,공연시설,서울특별시 도봉구,16
문화예술,공연시설,서울특별시 노원구,24
문화예술,공연시설,서울특별시 은평구,35
문화예술,공연시설,서울특별시 서대문구,68
문화예술,공연시설,서울특별시 마포구,507
문화예술,공연시설,서울특별시 양천구,46
문화예술,공연시설,서울특별시 강서구,97
문화예술,공연시설,서울특별시 구로구,52
문화예술,공연시설,서울특별시 금천구,41
문화예술,공연시설,서울특별시 영등포구,145
문화예술,공연시설,서울특별시 동작구,44
문화예술,공연시설,서울특별시 관악구,44
문화예술,공연시설,서울특별시 서초구,416
문화예술,공연시설,서울특별시 강남구,1374
문화예술,공연시설,서울특별시 송파구,97
문화예술,공연시설,서울특별시 강동구,38
문화예술,공연시설,부산광역시 중구,6
문화예술,공연시설,부산광역시 서구,5
문화예술,공연시설,부산광역시 동구,7
문화예술,공연시설,부산광역시 영도구,8
문화예술,공연시설,부산광역시 부산진구,12
문화예술,공연시설,부산광역시 동래구,11
문화예술,공연시설,부산광역시 남구,20
문화예술,공연시설,부산광역시 북구,9
문화예술,공연시설,부산광역시 해운대구,22
문화예술,공연시설,부산광역시 사하구,17
문화예술,공연시설,부산광역시 금정구,16
문화예술,공연시설,부산광역시 강서구,6
문화예술,공연시설,부산광역시 연제구,5
문화예술,공연시설,부산광역시 수영구,11
문화예술,공연시설,부산광역시 사상구,11
문화예술,공연시설,부산광역시 기장군,9
문화예술,공연시설,대구광역시 중구,36
문화예술,공연시설,대구광역시 동구,12
문화예술,공연시설,대구광역시 서구,1
문화예술,공연시설,대구광역시 남구,17
문화예술,공연시설,대구광역시 북구,21
문화예술,공연시설,대구광역시 수성구,35
문화예술,공연시설,대구광역시 달서구,20
문화예술,공연시설,대구광역시 달성군,13
문화예술,공연시설,인천광역시 중구,14
문화예술,공연시설,인천광역시 동구,15
문화예술,공연시설,인천광역시 미추홀구,26
문화예술,공연시설,인천광역시 연수구,17
문화예술,공연시설,인천광역시 남동구,33
문화예술,공연시설,인천광역시 부평구,19
문화예술,공연시설,인천광역시 계양구,19
문화예술,공연시설,인천광역시 서구,17
문화예술,공연시설,인천광역시 강화군,22
문화예술,공연시설,인천광역시 옹진군,3
문화예술,공연시설,광주광역시 동구,37
문화예술,공연시설,광주광역시 서구,27
문화예술,공연시설,광주광역시 남구,13
문화예술,공연시설,광주광역시 북구,65
문화예술,공연시설,광주광역시 광산구,19
문화예술,공연시설,대전광역시 동구,24
문화예술,공연시설,대전광역시 중구,22
문화예술,공연시설,대전광역시 서구,33
문화예술,공연시설,대전광역시 유성구,59
문화예술,공연시설,대전광역시 대덕구,7
문화예술,공연시설,울산광역시 중구,3
문화예술,공연시설,울산광역시 남구,16
문화예술,공연시설,울산광역시 동구,4
문화예술,공연시설,울산광역시 북구,2
문화예술,공연시설,울산광역시 울주군,21
문화예술,공연시설,세종특별자치시 세종특별자치시,37
문화예술,공연시설,경기도 수원시,65
문화예술,공연시설,경기도 성남시,84
문화예술,공연시설,경기도 의정부시,29
문화예술,공연시설,경기도 안양시,37
문화예술,공연시설,경기도 부천시,47
문화예술,공연시설,경기도 광명시,14
문화예술,공연시설,경기도 평택시,27
문화예술,공연시설,경기도 동두천시,6
문화예술,공연시설,경기도 안산시,54
문화예술,공연시설,경기도 고양시,178
문화예술,공연시설,경기도 과천시,34
문화예술,공연시설,경기도 구리시,9
문화예술,공연시설,경기도 남양주시,49
문화예술,공연시설,경기도 오산시,19
문화예술,공연시설,경기도 시흥시,12
문화예술,공연시설,경기도 군포시,13
문화예술,공연시설,경기도 의왕시,4
