CTGRY_NM,FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,HMPG_URL,TEL_NO,BASE_DE
오락실,빙고게임장,강원도 강릉시 강릉대로 269  2층 (교동),42,42150,128.898767,37.761699,강원,,,2021-12-31
오락실,세븐게임장,강원도 강릉시 강릉대로 272  1층 (교동),42,42150,128.899151,37.761524,강원,,,2021-12-31
오락실,FRIENDS,강원도 강릉시 강릉대로 422-7 (포남동),42,42150,128.910967,37.770876,강원,,,2021-12-31
오락실,푸쉬푸쉬,강원도 강릉시 경강로 2076 (임당동),42,42150,128.894502,37.753406,강원,,,2021-12-31
오락실,맥스라이더,강원도 강릉시 경강로 2120 (옥천동  씨네몰  6층 623호 625호),42,42150,128.89877,37.755391,강원,,,2021-12-31
오락실,게임파크,강원도 강릉시 경강로 2120 (옥천동 씨네몰 6층),42,42150,128.89877,37.755391,강원,,,2021-12-31
볼링장,그랜드볼링센타,강원도 강릉시 경강로2267번길 13,42,42150,128.908381,37.7664,강원,_,033-646-7757,2021-12-31
VR테마파크,쿵VR,강원도 강릉시 금성로 58 남전빌딩 3층,42,42150,128.894997,37.75205,강원,"https://www.facebook.com/coongvr, https://blog.naver.com/frogpara",033-823-9000,2021-12-31
볼링장,강릉국민체육센터볼링장,강원도 강릉시 남부로 226,42,42150,128.906431,37.742385,강원,_,033-646-0226,2021-12-31
VR테마파크,강릉 VR 게임장 NEW VR Zone,강원도 강릉시 남부로125번길 4,42,42150,128.894097,37.742389,강원,http://thenewvrzone.modoo.at/,010-5775-0571,2021-12-31
VR테마파크,SS스포츠 VR타운,강원도 강릉시 사임당로 129 에스클래스 3동 2층,42,42150,128.865643,37.756207,강원,http://www.instagram.com/s_vr_sports_,033-645-5549,2021-12-31
볼링장,볼링홀릭,강원도 강릉시 사임당로 133,42,42150,128.86531,37.756876,강원,"https://www.facebook.com/bowlingholic/, https://www.instagram.com/bowlingholic2018/",033-655-2020,2021-12-31
오락실,짱구게임장,강원도 강릉시 사천면 방동길 43-8  2층,42,42150,128.855311,37.81784,강원,,,2021-12-31
오락실,팡팡오락실,강원도 강릉시 솔올로 59  1층 (교동),42,42150,128.878425,37.767132,강원,,,2021-12-31
오락실,택지게임장,강원도 강릉시 솔올로5번길 51  2층 (교동),42,42150,128.876971,37.764133,강원,,,2021-12-31
오락실,택지오락실,강원도 강릉시 솔올로5번길 9  1층 (교동),42,42150,128.876239,37.762634,강원,,,2021-12-31
오락실,강릉짱게임장,강원도 강릉시 신대학길 17  119-126호 (금학동),42,42150,128.894852,37.753268,강원,,,2021-12-31
오락실,일번가게임장,강원도 강릉시 신대학길 17  1층 127호 (금학동),42,42150,128.894852,37.753268,강원,,,2021-12-31
오락실,로또게임장,강원도 강릉시 신대학길 35-4 (금학동  금학동 그린타워),42,42150,128.89666,37.754507,강원,,,2021-12-31
오락실,락게임장,강원도 강릉시 옥가로 47  3층 (옥천동),42,42150,128.89973,37.760628,강원,,,2021-12-31
오락실,그린게임장,강원도 강릉시 옥계면 금진솔밭길 104-32 (1층),42,42150,129.048258,37.627861,강원,,,2021-12-31
VR테마파크,호텔탑스텐 VR체험장,강원도 강릉시 옥계면 헌화로 455-34,42,42150,129.052381,37.655171,강원,https://www.hotel-topsten.co.kr/,033-530-4848,2021-12-31
VR테마파크,브이알존 강릉 탑스텐점,강원도 강릉시 옥계면 헌화로 455-34,42,42150,129.052381,37.655171,강원,"http://vr-zone.co.kr, http://www.facebook.com/vrzonekorea, http://www.instagram.com/vr_zone_http://blog.naver.com/vr-zone",033-530-4800,2021-12-31
오락실,이스턴게임랜드,강원도 강릉시 옥계면 현내시장길 99-4,42,42150,129.033561,37.60715,강원,,,2021-12-31
볼링장,강릉볼링장,강원도 강릉시 율곡로 2835,42,42150,128.897726,37.75721,강원,_,033-643-7687~8,2021-12-31
오락실,옥천게임장,강원도 강릉시 율곡로 2852  2층 (옥천동),42,42150,128.897025,37.758423,강원,,,2021-12-31
오락실,황금성게임장,강원도 강릉시 율곡로 2862  2층 (교동),42,42150,128.896317,37.759005,강원,,,2021-12-31
오락실,광장 게임랜드,강원도 강릉시 임영로116번길 3  2층 (성내동),42,42150,128.894204,37.752174,강원,,,2021-12-31
오락실,얼짱,강원도 강릉시 임영로116번안길 10 (금학동),42,42150,128.894304,37.752966,강원,,,2021-12-31
오락실,추억의 오락실,강원도 강릉시 주문진읍 연주로 359  1층,42,42150,128.824748,37.884264,강원,,,2021-12-31
오락실,와와 짱 오락실,강원도 강릉시 주문진읍 연주로 359  2층,42,42150,128.824748,37.884264,강원,,,2021-12-31
오락실,가디언즈 게임장,강원도 강릉시 주문진읍 주문북로 9,42,42150,128.83123,37.895634,강원,,,2021-12-31
오락실,무적게임장,강원도 강릉시 중기1길 9  2층 (옥천동),42,42150,128.902244,37.76296,강원,,,2021-12-31
오락실,터미널 오락실,강원도 강릉시 하슬라로 27 (홍제동),42,42150,128.878188,37.754691,강원,,,2021-12-31
오락실,세븐7게임장,강원도 강릉시 하평1길 14 (포남동),42,42150,128.911618,37.77125,강원,,,2021-12-31
오락실,홍길동게임장,강원도 강릉시 하평길 25  3층 (포남동),42,42150,128.911485,37.770521,강원,,,2021-12-31
오락실,라카이 오락실,강원도 강릉시 해안로 지하 536 (안현동),42,42150,128.863426,37.847559,강원,,,2021-12-31
오락실,썬밸리 오락실,강원도 고성군 죽왕면 순포로 188,42,42820,128.511175,38.315956,강원,,,2021-12-31
오락실,노블리안 오락실,강원도 고성군 죽왕면 심층수길 65,42,42820,128.527112,38.329715,강원,,,2021-12-31
오락실,일성 게임프라자,강원도 고성군 토성면 고성대로 47-24,42,42820,128.503197,38.208848,강원,,,2021-12-31
오락실,대명콘도오락실,강원도 고성군 토성면 미시령옛길 1153,42,42820,128.492627,38.211209,강원,,,2021-12-31
오락실,포유레저 오락실,강원도 고성군 토성면 잼버리동로 97,42,42820,128.519488,38.234166,강원,,,2021-12-31
오락실,초도 오락실,강원도 고성군 현내면 금강산로 124-1,42,42820,128.43272,38.487576,강원,,,2021-12-31
오락실,피플러스,강원도 동해시 대학로 28  동림아케이트 2층 (천곡동),42,42170,129.112945,37.522903,강원,,,2021-12-31
