자치구,공연시설수,전시시설수,관광지 수,공원 수,동/식물원/휴양림 수,음식점 수,패션/미용소비 수,대형소비시설 수,간이운동장 수,체육도장 수,골프/골프연습장 수,당구장 수,수영장 수,체력단련장 수
종로구,329,176,151,85,6,6442,2207,3,28,23,33,88,3,62
중구,104,126,4,95,6,6363,4489,108,3,31,93,170,9,115
용산구,149,104,4,102,2,5693,1612,4,8,32,41,42,7,80
성동구,165,95,4,92,1,5278,1505,4,0,52,54,71,6,82
광진구,78,115,12,80,1,6227,2235,7,5,82,56,129,9,122
동대문구,21,140,6,100,0,6064,2089,8,5,70,45,83,7,89
중랑구,21,116,4,123,0,5107,2072,2,7,84,34,106,4,77
성북구,73,173,7,62,1,5789,2147,21,40,117,49,133,9,94
강북구,20,106,10,109,3,4712,1545,8,40,64,22,94,2,56
도봉구,16,118,3,97,1,3810,1441,1,78,83,36,100,3,66
노원구,24,205,9,228,2,5473,2246,23,40,137,86,110,8,90
은평구,35,185,12,136,1,5884,2289,6,27,98,48,120,5,99
서대문구,68,129,3,124,1,5008,1461,28,23,63,27,58,3,49
마포구,507,133,8,134,1,9470,2449,2,100,81,76,81,7,150
양천구,46,149,3,138,0,4744,2020,5,2,141,91,105,17,132
강서구,97,210,2,257,1,8160,2817,3,73,165,144,139,15,225
구로구,52,167,2,100,2,6073,2010,10,54,96,92,127,6,107
금천구,41,80,1,91,0,4568,1822,10,35,56,45,123,2,53
영등포구,145,165,5,144,1,8541,2629,25,64,88,127,150,8,145
동작구,44,171,3,110,0,4459,1514,2,39,83,45,80,5,91
관악구,44,196,5,151,0,6969,2477,6,3,85,49,77,7,129
서초구,416,196,3,155,4,8133,3056,28,166,117,188,210,14,253
강남구,1374,267,2,198,6,15139,5937,142,110,147,432,177,13,399
송파구,97,258,12,256,1,9811,3408,30,10,180,291,206,18,295
강동구,38,169,3,166,3,6555,2683,8,5,121,80,112,5,120
