자치구,시설합계,노인복지관 시설수,노인복지관 종사자수,경로당 시설수,노인교실 시설수
노원구,261,1,103,246,14
강서구,245,1,92,219,25
구로구,222,1,65,201,20
영등포구,199,1,64,175,23
강남구,190,3,67,167,20
양천구,190,3,141,164,23
송파구,189,1,85,172,16
성북구,184,1,169,177,6
성동구,177,1,68,164,12
은평구,175,1,114,157,17
마포구,170,2,48,155,13
동작구,151,1,81,141,9
동대문구,148,1,108,131,16
도봉구,145,1,61,136,8
서초구,145,3,108,136,6
중랑구,141,2,138,128,11
강동구,136,2,125,124,10
관악구,131,1,81,113,17
서대문구,125,1,89,112,12
강북구,118,1,36,100,17
용산구,111,1,48,89,21
광진구,104,1,61,95,8
금천구,84,2,125,73,9
종로구,74,2,147,62,10
중구,54,1,70,50,3
