"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소","정원(수용인원)","현인원","전화번호","우편번호"
"성북구립 상월곡실버복지센터","A0495","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","김경회","1129000000","성북구","서울특별시 성북구 화랑로18길 6 (상월곡동)","","200","02-963-1082","02793"
"서초구립양재노인종합복지관","A0724","(노인) 노인복지관","노인여가복지시설","자치구","전경아 ","1165000000","서초구","서울특별시 서초구 강남대로30길 73-7양재노인종합복지관 (양재동)","","1220","02-578-1515","06741"
"강서구립봉제산노인복지센터","A0922","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","서순애","1150000000","강서구","서울특별시 강서구 초록마을로15길 12","","250","02-2605-1553","07676"
"시립중랑노인종합복지관","A1022","(노인) 노인복지관","노인여가복지시설","자치구","조희정","1126000000","중랑구","서울특별시 중랑구 겸재로9길 45(면목동)","18000","18000","02-493-9966","02134"
"강남구립강남노인종합복지관","A1165","(노인) 노인복지관","노인여가복지시설","자치구","고영한","1168000000","강남구","서울특별시 강남구 삼성로 628강남노인종합복지관 (삼성동)","","1150","02-549-7070","06085"
"강북노인종합복지관","A1174","(노인) 노인복지관","노인여가복지시설","자치구","김시재","1130500000","강북구","서울특별시 강북구 삼양로92길 40-0강북노인종합복지관","80","80","02-999-9179","01082"
"북가좌노인복지관","A1599","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","이은희","1141000000","서대문구","서울특별시 서대문구 증가로20길 43북가좌2동노인복지센터","110","110","02-376-5040","03668"
"양천어르신종합복지관","A1732","(노인) 노인복지관","노인여가복지시설","자치구","한승호","1147000000","양천구","서울특별시 양천구 목동로3길 106서울특별시 양천구 목동로3길106 (신정동)","","","02-2649-8815","08098"
"연희노인복지관","A1756","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","김태경","1141000000","서대문구","서울특별시 서대문구 홍제천로2길 111연희노인여가복지시설","190","160","02-3143-7778","03700"
"시립은평노인종합복지관","A2077","(노인) 노인복지관","노인여가복지시설","자치구","김승자","1138000000","은평구","서울특별시 은평구 연서로 415","0","1600","02-385-1351","03310"
"도봉동어르신복지관","A2149","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","박미혜","1132000000","도봉구","서울특별시 도봉구 도봉로 169가길 52","0","4630","02-3491-3356","01305"
"구립역촌노인복지관","A2224","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","차화석","1138000000","은평구","서울특별시 은평구 연서로3나길 11-30역촌노인복지관","0","500","02-385-9500","03419"
"구립갈현노인복지관","A2247","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","손진호","1138000000","은평구","서울특별시 은평구 통일로89길 12-6갈현노인복지관","0","480","02-357-2640","03328"
"약수노인복지관","A2255","(노인) 노인복지관","노인여가복지시설","자치구","민진암","1114000000","중구","서울특별시 중구 다산로6길 11신당동","0","1200","02-2234-3515","04597"
"송파노인종합복지관","A2315","(노인) 노인복지관","노인여가복지시설","자치구","이경수","1171000000","송파구","서울특별시 송파구 백제고분로32길 41","0","1220","02-2203-9400","05598"
"동작노인종합복지관","A2509","(노인) 노인복지관","노인여가복지시설","자치구","김익환","1159000000","동작구","서울특별시 동작구 상도로11길 7(대방동)","0","1034","02-823-0064","06953"
"성북구립 장위실버복지센터","A2723","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","김승현","1129000000","성북구","서울특별시 성북구 한천로 7083층 (장위동)","","250","02-913-3369","02760"
"구립중화경로복지관","A2732","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","김형기","1126000000","중랑구","서울특별시 중랑구 동일로138길 28 (중화동)","1986","1986","02-436-1390","02050"
"시립성북노인종합복지관","A2733","(노인) 노인복지관","노인여가복지시설","자치구","송향숙","1129000000","성북구","서울특별시 성북구 종암로15길 10(종암동)","","1500","02-929-7950","02810"
"시립노원노인종합복지관","A2739","(노인) 노인복지관","노인여가복지시설","자치구","박지은","1135000000","노원구","서울특별시 노원구 노원로16길 15호(하계동)","1005","1005","02-948-8540","01748"
"시립용산노인종합복지관","A2758","(노인) 노인복지관","노인여가복지시설","자치구","이성희","1117000000","용산구","서울특별시 용산구 독서당로11길16 (한남동)","","","02-794-6100","04410"
"서울시립강서노인종합복지관","A2771","(노인) 노인복지관","노인여가복지시설","자치구","임무영","1150000000","강서구","서울특별시 강서구 화곡로61길 85서울특별시 강서구 화곡로61길  85","1000","1000","02-3664-0322","07590"
"관악노인종합복지관","A2776","(노인) 노인복지관","노인여가복지시설","자치구","이석영","1162000000","관악구","서울특별시 관악구 보라매로 35(봉천동)","1000","1000","02-888-6144","08708"
"서울노인복지센터","A2947","(노인) 노인복지관","노인여가복지시설","자치구","김경미","1111000000","종로구","서울특별시 종로구 삼일대로 467(경운동)","0","3200","02-739-9501","03147"
"서대문노인종합복지관","A2955","(노인) 노인복지관","노인여가복지시설","자치구","탁우상","1141000000","서대문구","서울특별시 서대문구 독립문로8길 57(천연동)","1000","1300","02-363-9988","03745"
"창동어르신복지관","A2991","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","박미연","1132000000","도봉구","서울특별시 도봉구 덕릉로60차길 6-0","0","2880","02-906-2968","01480"
"구립신내노인종합복지관","A3015","(노인) 노인복지관","노인여가복지시설","자치구","김종범","1126000000","중랑구","서울특별시 중랑구 신내로15길 175(신내동)","10140","10140","02-3421-4800","02041"
"쌍문동어르신복지관","A3085","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","박미정","1132000000","도봉구","서울특별시 도봉구 우이천로 363","0","3240","02-900-4641","01370"
"서울시립동대문노인종합복지관","A3206","(노인) 노인복지관","노인여가복지시설","자치구","민경원","1123000000","동대문구","서울특별시 동대문구 제기로33길 25-0(청량리동)","0","400","02-963-0565","02462"
"방학동어르신복지관","A3812","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","박현우","1132000000","도봉구","서울특별시 도봉구 시루봉로 15라길 59-9 (방학동)","0","4020","02-3491-4651","01314"
"종로노인종합복지관","A3971","(노인) 노인복지관","노인여가복지시설","자치구","정영순","1111000000","종로구","서울특별시 종로구 율곡로19길 17-8(이화동)","2000","2000","02-742-9500","03100"
"성동노인종합복지관","A4002","(노인) 노인복지관","노인여가복지시설","자치구","김광수","1120000000","성동구","서울특별시 성동구 마조로 77 (마장동)","0","0","02-2298-5117","04759"
"구립영등포노인종합복지관","A4035","(노인) 노인복지관","노인여가복지시설","자치구","박영숙","1156000000","영등포구","서울특별시 영등포구 도림로 482","13000","18448","02-2068-5326","07296"
"청파노인복지관","A4195","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","임은정","1117000000","용산구","서울특별시 용산구 청파로83길 26서계동 (서계동)","","","02-703-6011","04303"
"역삼노인복지관","A4790","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","오지영","1168000000","강남구","서울특별시 강남구 도곡로27길 27","","200","02-501-5674","06228"
"서초구립중앙노인종합복지관","A4947","(노인) 노인복지관","노인여가복지시설","자치구","이성희","1165000000","서초구","서울특별시 서초구 서초대로54길 45","","","02-3474-6080","06633"
"강동구립해공노인복지관","A5818","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","이상엽","1174000000","강동구","서울특별시 강동구 천중로17길 42-16강동구립해공노인복지관 (천호동)","1695","580","02-478-0601","05321"
"구립신사노인복지관","A5842","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","이선자","1138000000","은평구","서울특별시 은평구 증산로15길 47신사노인복지관","0","400","02-302-0303","03447"
"도봉노인종합복지관","A5899","(노인) 노인복지관","노인여가복지시설","자치구","이은주","1132000000","도봉구","서울특별시 도봉구 도당로2길 12-13","0","20980","02-993-9900","01394"
"성가정노인종합복지관","A6010","(노인) 노인복지관","노인여가복지시설","자치구","최은영","1174000000","강동구","서울특별시 강동구 양재대로156길 28","0","1000","02-481-2217","134878"
"아현실버복지관","A6055","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","오명숙","1144000000","마포구","서울특별시 마포구 환일길 3 (아현동)","","290","02-312-2161","04199"
"금천노인종합복지관","A6079","(노인) 노인복지관","노인여가복지시설","자치구","구자훈","1154500000","금천구","서울특별시 금천구 시흥대로51길 93-32","0","1088","02-804-4058","153847"
"마포노인종합복지관","A6080","(노인) 노인복지관","노인여가복지시설","자치구","김윤태","1144000000","마포구","서울특별시 마포구 서강로 68(창전동)","1000","1000","02-333-1040","04099"
"광진노인종합복지관","A6226","(노인) 노인복지관","노인여가복지시설","자치구","신재원","1121500000","광진구","서울특별시 광진구 군자로 88(군자동)","","1300","02-466-6242","05004"
"대치노인복지관","A6327","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","이양희","1168000000","강남구","서울특별시 강남구 역삼로69길 22","","200","02-564-0108","06196"
"강남구립강남시니어플라자","A6449","(노인) 노인복지관","노인여가복지시설","자치구","박명환","1168000000","강남구","서울특별시 강남구 봉은사로 332강남시니어플라자","2300","1608","02-558-9888","06143"
"금천호암노인종합복지관","A6518","(노인) 노인복지관","노인여가복지시설","자치구","조영표","1154500000","금천구","서울특별시 금천구 독산로72길 86-5","0","800","02-853-7203","08556"
"우리마포복지관","A6622","(노인) 노인복지관","노인여가복지시설","자치구","박소현","1144000000","마포구","서울특별시 마포구 신촌로26길 10-0(4,5층)","","800","023581000","04103"
"송파실벗뜨락","A7031","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","최소연","1171000000","송파구","서울특별시 송파구 백제고분로42길 55,6층","0","650","024139999","05666"
"온수어르신복지관","A7039","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","엄영수","1153000000","구로구","서울특별시 구로구 부일로9길 111-0온수어르신복지관 3층","300","600","02)3666-8750","08259"
"공릉어르신복지센터","A7040","(노인) 노인복지관(소규모)","노인여가복지시설","자치구","김민경","1135000000","노원구","서울특별시 노원구 공릉로 129공릉동","250","250","029486274","01837"
