"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,모름/무응답,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,모름/무응답,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균
"전체",소계,-,0.1,0.2,1.4,8.2,21.9,38.7,29.4,0,5.85,10602,0.2,0.4,1.7,9.1,25,37.9,25.6,-,5.74,10498,0,0.4,2.1,10.8,28.5,35.4,22.8,5.65,10060,0.1,0.5,3.3,20.8,30.4,29.1,15.8,5.3,10088,0.2,0.4,1.9,14.6,24.5,33.8,24.7,5.6,10049,0.3,0.6,1.8,11.9,23.8,35.6,26,5.7,10046,0.2,0.4,2.8,18.8,29.5,29.6,18.6,5.4
"성별",남성,-,0.1,0.3,1.7,9.3,21.6,38.1,29,0,5.82,5179,0.3,0.4,2.1,9.2,24.8,38.1,25.2,-,5.73,5263,0,0.3,1.8,10.9,28,36.1,22.8,5.66,5028,0.1,0.5,3.1,20.5,31.1,29.3,15.4,5.3,5003,0.2,0.4,2,14.4,24.7,33.7,24.6,5.6,4972,0.3,0.6,1.7,11.7,24.2,35.8,25.7,5.7,4893,0.2,0.5,2.8,19.2,29.7,29.9,17.7,5.4
"성별",여성,-,0.1,0.2,1.2,7.2,22.2,39.3,29.8,0,5.88,5423,0.2,0.4,1.4,9.1,25.2,37.7,26.1,-,5.76,5235,0,0.4,2.3,10.7,28.9,34.7,22.9,5.64,5032,0.1,0.5,3.4,21.1,29.7,29,16.2,5.3,5085,0.2,0.4,1.7,14.7,24.3,33.8,24.8,5.6,5077,0.3,0.5,1.9,12.1,23.5,35.4,26.3,5.7,5153,0.1,0.4,2.8,18.5,29.4,29.3,19.5,5.4
"연령별",15~19세,-,0,0,1,8.6,23.1,36.3,31,0,5.87,827,0.2,0.3,1.6,9.9,22.3,42.1,23.7,-,5.75,696,-,0.1,2,13.2,31.2,34.3,19.2,5.55,661,-,0.6,2.8,20.6,29.1,31.1,15.8,5.3,619,0.7,0.1,2.8,14.2,25.1,31.4,25.6,5.6,588,0.4,0.6,0.8,12.9,27.6,35.9,21.9,5.6,487,-,0.7,2.8,19.5,27,34.2,15.7,5.4
"연령별",20대,-,0.2,0.2,1,8.6,21.6,39.6,28.8,0,5.85,1476,0.4,0.5,1.9,8.6,23.6,40.5,24.6,-,5.74,1458,0.1,-,2.5,10.8,29.3,36.8,20.5,5.62,1468,0.1,0.2,3.2,19.3,32.2,30.8,14.2,5.3,1536,0.4,0.5,1.9,13.6,23.9,34.3,25.5,5.7,1512,0.4,0.5,3,12.2,22.3,35.3,26.3,5.7,1371,0.3,0.3,3.4,19.4,31.5,28,17.2,5.3
"연령별",30대,-,0,0.2,1.5,8.3,22.1,38.2,29.6,0,5.86,1707,0.3,0.5,1.3,9.1,27.4,36.6,24.8,-,5.72,1560,-,0.4,2,11.4,29,37.8,19.5,5.6,1643,-,0.7,2.7,21.3,32.7,26.6,15.9,5.3,1644,0.1,0.3,1.9,14.9,24.2,33.3,25.2,5.6,1492,0.2,0.8,1.4,13,24.4,35.2,24.9,5.7,1433,0.3,0.5,3.4,18.6,30.2,28,19,5.4
"연령별",40대,-,0.1,0.3,1.6,8.6,21.1,39.4,28.9,0,5.84,1991,0.2,0.4,1.8,8.9,25.6,36.8,26.2,-,5.75,1998,-,0.3,2.1,10.6,28.8,35.3,22.9,5.65,1885,-,0.4,2.8,19.9,29.1,30.3,17.5,5.4,1888,0.1,0.5,2,13.6,25.7,33.9,24.1,5.6,1782,0.3,0.7,2,12.4,23,35.5,26,5.7,1717,0.1,0.5,2.5,19.2,30.3,30,17.5,5.4
"연령별",50대,-,0.1,0.3,1.6,7.5,22,40.8,27.6,0,5.84,1956,0.2,0.3,2,8.1,25.1,40.3,24,-,5.75,2007,0.1,0.6,1.2,10.6,27.5,35.3,24.7,5.7,1877,-,0.6,3.7,21.1,30,28.5,16.2,5.3,1858,0.2,0.4,1.5,16,24.8,33.2,23.9,5.6,1900,0.2,0.4,1.9,10.9,24.7,37.4,24.6,5.7,1831,0.1,0.3,2.3,17.4,29.9,31.9,18.1,5.4
