RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE
53322292,20230531,F,40대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53322435,20230531,M,60대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,없음
53322452,20230531,F,50대,서울특별시,500이상700만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해
53322646,20230531,F,60대,경기도,700만원 이상,건강 관리를 위해,자기 계발을 위해
53322685,20230531,F,50대,서울특별시,500이상700만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53322770,20230531,F,30대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해
53322903,20230531,F,60대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해
53322905,20230531,M,50대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53323309,20230531,M,30대,서울특별시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53323400,20230531,M,50대,서울특별시,300만원 미만,자기 계발을 위해,건강 관리를 위해
53323589,20230531,M,40대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53323767,20230531,F,60대,서울특별시,700만원 이상,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
53323861,20230531,F,60대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해
53323998,20230531,M,60대,서울특별시,300만원 미만,건강 관리를 위해,자기만족-즐거움을 위해
53324017,20230531,F,60대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53324076,20230531,F,60대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해
53324078,20230531,M,40대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,없음
53324128,20230531,F,60대,서울특별시,700만원 이상,건강 관리를 위해,자기 계발을 위해
53324297,20230531,F,50대,서울특별시,300만원 미만,대인 관계-교제를 위해,자기 계발을 위해
53324448,20230531,M,30대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해
53324455,20230531,M,20대,경기도,무응답,자기 계발을 위해,자기만족-즐거움을 위해
53324658,20230531,M,50대,서울특별시,500이상700만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해
53324775,20230531,M,20대,서울특별시,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53324844,20230531,M,60대,서울특별시,700만원 이상,건강 관리를 위해,자기만족-즐거움을 위해
53324943,20230531,M,40대,서울특별시,300만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해
53325049,20230531,M,60대,서울특별시,300이상500만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해
53325068,20230531,M,20대,충청남도,500이상700만원 미만,남는 시간을 보내기 위해,가족-지인 등과 시간을 보내기 위해
53325514,20230531,F,20대,충청북도,무응답,스트레스 해소를 위해,마음의 안정-휴식을 위해
