RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE
53322231,20230607,M,20대,서울특별시,무응답,스트레스 해소를 위해,마음의 안정-휴식을 위해
53322291,20230607,M,60대,서울특별시,700만원 이상,건강 관리를 위해,남는 시간을 보내기 위해
53322357,20230607,F,60대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,없음
53322506,20230607,M,20대,서울특별시,무응답,마음의 안정-휴식을 위해,남는 시간을 보내기 위해
53322536,20230607,F,40대,서울특별시,700만원 이상,스트레스 해소를 위해,없음
53322595,20230607,F,50대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,없음
53322669,20230607,F,50대,서울특별시,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53322749,20230607,F,20대,서울특별시,700만원 이상,스트레스 해소를 위해,마음의 안정-휴식을 위해
53322777,20230607,F,40대,서울특별시,700만원 이상,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해
53322960,20230607,M,40대,서울특별시,500이상700만원 미만,대인 관계-교제를 위해,없음
53322966,20230607,M,60대,서울특별시,700만원 이상,대인 관계-교제를 위해,가족-지인 등과 시간을 보내기 위해
53323098,20230607,F,60대,서울특별시,500이상700만원 미만,스트레스 해소를 위해,자기 계발을 위해
53323149,20230607,M,20대,경기도,300만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53323456,20230607,F,20대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해
53323486,20230607,F,30대,서울특별시,700만원 이상,건강 관리를 위해,마음의 안정-휴식을 위해
53323718,20230607,M,60대,서울특별시,500이상700만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해
53323846,20230607,F,20대,서울특별시,300만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
