RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,WORKDAY_DAY_AVRG_LSR_TIME_VALUE,WKEND_DAY_AVRG_LSR_TIME_VALUE,ONE_WEEK_TOT_LSR_TIME_VALUE,LSR_TIME_REST_RCRT_USE_RATE,LSR_TIME_HOBBY_USE_RATE,LSR_TIME_SELF_IMPT_USE_RATE,LSR_TIME_TWDPSN_RLTN_FLWSP_USE_RATE,LSR_TIME_ETC_USE_RATE
53322231,20230607,M,20대,서울특별시,무응답,3,5,25,50,0,0,50,0
53322291,20230607,M,60대,서울특별시,700만원 이상,5,8,41,30,35,0,35,0
53322357,20230607,F,60대,서울특별시,300이상500만원 미만,10,10,70,90,0,0,10,0
53322506,20230607,M,20대,서울특별시,무응답,2,4,18,70,0,10,20,0
53322536,20230607,F,40대,서울특별시,700만원 이상,2,3,16,20,40,5,35,0
53322595,20230607,F,50대,서울특별시,300이상500만원 미만,1,4,13,50,10,30,10,0
53322669,20230607,F,50대,서울특별시,700만원 이상,2,10,30,30,15,5,30,20
53322749,20230607,F,20대,서울특별시,700만원 이상,3,8,31,60,0,0,40,0
53322777,20230607,F,40대,서울특별시,700만원 이상,1,4,13,50,10,30,10,0
53322960,20230607,M,40대,서울특별시,500이상700만원 미만,1,1,7,25,25,25,25,0
53322966,20230607,M,60대,서울특별시,700만원 이상,4,12,44,30,10,10,50,0
53323098,20230607,F,60대,서울특별시,500이상700만원 미만,5,5,35,5,25,55,15,0
53323149,20230607,M,20대,경기도,300만원 미만,4,6,32,40,10,0,50,0
53323456,20230607,F,20대,서울특별시,300이상500만원 미만,5,8,41,80,5,5,10,0
53323486,20230607,F,30대,서울특별시,700만원 이상,2,8,26,60,20,10,10,0
53323718,20230607,M,60대,서울특별시,500이상700만원 미만,6,10,50,30,50,10,10,0
53323846,20230607,F,20대,서울특별시,300만원 미만,2,15,40,50,10,0,40,0
53323874,20230607,F,50대,서울특별시,300이상500만원 미만,4,6,32,15,0,85,0,0
53323991,20230607,M,40대,서울특별시,500이상700만원 미만,3,3,21,50,10,0,40,0
53324015,20230607,M,20대,서울특별시,무응답,6,12,54,85,5,0,10,0
53324052,20230607,M,30대,서울특별시,300만원 미만,1,4,13,50,0,0,50,0
53324089,20230607,F,50대,서울특별시,700만원 이상,3,10,35,100,0,0,0,0
53324104,20230607,F,60대,서울특별시,300이상500만원 미만,3,10,35,40,60,0,0,0
53324346,20230607,M,20대,서울특별시,700만원 이상,4,9,38,50,10,0,40,0
53324446,20230607,M,20대,서울특별시,300이상500만원 미만,2,8,26,80,0,0,20,0
53324809,20230607,M,50대,서울특별시,700만원 이상,6,4,38,50,10,10,30,0
53324822,20230607,F,50대,서울특별시,700만원 이상,10,10,70,40,15,15,30,0
53324937,20230607,F,60대,서울특별시,300이상500만원 미만,8,10,60,20,20,20,10,30
53325196,20230607,F,60대,서울특별시,300이상500만원 미만,5,8,41,30,30,30,10,0
53325209,20230607,F,30대,서울특별시,300만원 미만,3,6,27,90,0,0,10,0
53325421,20230607,M,20대,제주특별자치도,700만원 이상,2,4,18,60,10,20,0,10
53325751,20230607,M,20대,광주광역시,무응답,2,6,22,40,20,30,10,0
53325793,20230607,F,20대,부산광역시,무응답,2,7,24,70,20,0,10,0
53325891,20230607,M,40대,경기도,300이상500만원 미만,2,5,20,100,0,0,0,0
53325969,20230607,F,50대,광주광역시,300이상500만원 미만,1,3,11,50,10,10,30,0
53325974,20230607,M,40대,울산광역시,500이상700만원 미만,3,3,21,50,50,0,0,0
53326064,20230607,M,30대,전라남도,300만원 미만,2,2,14,95,0,5,0,0
53326125,20230607,F,30대,경기도,300이상500만원 미만,3,4,23,20,20,40,20,0
53326503,20230607,F,30대,경기도,300이상500만원 미만,2,1,12,100,0,0,0,0
53326533,20230607,M,40대,경상남도,500이상700만원 미만,3,8,31,50,5,0,45,0
53326721,20230607,F,30대,경기도,500이상700만원 미만,3,1,17,30,30,20,20,0
53326742,20230607,M,30대,인천광역시,500이상700만원 미만,2,6,22,30,10,40,20,0
53326872,20230607,M,30대,강원도,300이상500만원 미만,5,8,41,60,20,0,20,0
53326944,20230607,F,50대,경기도,300이상500만원 미만,5,3,31,50,10,10,30,0
53327268,20230607,F,50대,부산광역시,700만원 이상,12,15,90,20,20,10,0,50
53327298,20230607,F,40대,부산광역시,500이상700만원 미만,2,2,14,90,10,0,0,0
53327413,20230607,M,20대,부산광역시,700만원 이상,3,1,17,23,10,17,50,0
53327449,20230607,F,50대,충청북도,300만원 미만,4,12,44,30,20,25,25,0
53327481,20230607,M,30대,전라남도,300만원 미만,4,10,40,100,0,0,0,0
53327602,20230607,M,20대,인천광역시,무응답,5,6,37,20,20,30,30,0
53327635,20230607,M,60대,대전광역시,500이상700만원 미만,2,10,30,50,10,20,20,0
53327650,20230607,F,50대,경기도,700만원 이상,1,6,17,0,70,0,30,0
53327670,20230607,F,20대,대전광역시,300이상500만원 미만,5,12,49,70,10,0,20,0
53327932,20230607,M,30대,서울특별시,300만원 미만,4,4,28,50,50,0,0,0
53328000,20230607,F,20대,전라남도,300이상500만원 미만,8,12,64,80,0,0,20,0
53328293,20230607,F,30대,대구광역시,무응답,3,10,35,30,40,5,25,0
53328306,20230607,F,50대,서울특별시,300이상500만원 미만,2,1,12,70,30,0,0,0
53328351,20230607,M,30대,광주광역시,300이상500만원 미만,2,5,20,70,10,10,10,0
53328454,20230607,M,60대,서울특별시,300이상500만원 미만,4,0,20,100,0,0,0,0
53328699,20230607,M,50대,대구광역시,300이상500만원 미만,4,14,48,10,20,10,10,50
53328753,20230607,M,60대,대전광역시,300이상500만원 미만,2,4,18,30,20,0,50,0
53328966,20230607,M,20대,경기도,300만원 미만,1,1,7,100,0,0,0,0
53329053,20230607,F,40대,경기도,300이상500만원 미만,1,10,25,50,10,20,20,0
53329124,20230607,M,50대,부산광역시,무응답,1,10,25,10,50,10,10,20
53329198,20230607,M,40대,경상북도,300이상500만원 미만,0,2,4,60,10,10,20,0
53329480,20230607,M,50대,제주특별자치도,300이상500만원 미만,2,8,26,50,30,0,20,0
53329593,20230607,F,50대,서울특별시,300만원 미만,3,3,21,20,20,20,40,0
53329668,20230607,F,30대,인천광역시,300만원 미만,2,12,34,20,0,0,0,80
53329710,20230607,F,50대,부산광역시,무응답,3,5,25,30,30,20,20,0
53329928,20230607,F,50대,인천광역시,500이상700만원 미만,0,4,8,50,0,10,40,0
53330105,20230607,M,50대,충청북도,700만원 이상,1,3,11,0,70,30,0,0
53330109,20230607,M,30대,경기도,300만원 미만,2,6,22,40,40,10,10,0
53330112,20230607,F,60대,전라북도,300이상500만원 미만,1,2,9,50,10,20,20,0
53330179,20230607,F,30대,전라북도,300만원 미만,6,0,30,60,10,10,20,0
53330209,20230607,F,50대,경기도,300이상500만원 미만,1,6,17,0,70,0,30,0
53330406,20230607,M,20대,전라북도,무응답,10,10,70,23,34,4,20,19
53330459,20230607,M,40대,경기도,700만원 이상,2,4,18,10,10,40,40,0
53330472,20230607,F,30대,충청북도,300만원 미만,2,1,12,0,30,70,0,0
53330608,20230607,M,20대,광주광역시,300만원 미만,1,2,9,10,10,10,70,0
53330717,20230607,M,40대,경상남도,300이상500만원 미만,2,4,18,20,80,0,0,0
53330774,20230607,M,30대,전라남도,300만원 미만,4,8,36,50,40,0,10,0
53330814,20230607,F,30대,경기도,500이상700만원 미만,1,5,15,20,30,10,40,0
53330819,20230607,M,40대,경기도,500이상700만원 미만,2,6,22,30,30,0,40,0
53330911,20230607,M,60대,경기도,700만원 이상,3,7,29,70,5,5,20,0
53330997,20230607,M,60대,경기도,300이상500만원 미만,3,5,25,80,10,0,10,0
53331015,20230607,F,20대,경기도,700만원 이상,10,14,78,70,0,10,20,0
53331187,20230607,F,50대,부산광역시,500이상700만원 미만,3,3,21,30,30,10,30,0
53331207,20230607,F,30대,경기도,700만원 이상,2,2,14,60,0,20,20,0
53331373,20230607,F,40대,대구광역시,무응답,5,10,45,80,10,10,0,0
53331375,20230607,M,20대,서울특별시,무응답,10,10,70,100,0,0,0,0
53331389,20230607,M,20대,충청남도,300만원 미만,3,10,35,100,0,0,0,0
53331485,20230607,F,20대,대구광역시,무응답,5,12,49,60,15,5,20,0
53331531,20230607,M,60대,경상북도,300이상500만원 미만,12,17,94,20,50,20,10,0
53331532,20230607,F,40대,서울특별시,300만원 미만,0,0,0,0,0,0,0,100
53331549,20230607,M,50대,경기도,700만원 이상,2,4,18,30,30,0,40,0
53331633,20230607,M,30대,충청남도,300만원 미만,1,4,13,100,0,0,0,0
53331671,20230607,F,20대,경기도,700만원 이상,4,12,44,60,10,0,30,0
53331744,20230607,F,50대,경기도,700만원 이상,1,3,11,50,30,10,10,0
53331757,20230607,M,50대,경상북도,300만원 미만,2,4,18,5,5,1,70,19
53331961,20230607,F,60대,경기도,300이상500만원 미만,6,6,42,50,10,10,30,0
53332027,20230607,M,40대,경상남도,500이상700만원 미만,1,3,11,60,0,20,20,0
53332149,20230607,F,30대,부산광역시,300이상500만원 미만,0,1,2,50,25,10,15,0
53332314,20230607,M,50대,경기도,500이상700만원 미만,1,4,13,70,30,0,0,0
53332322,20230607,M,50대,인천광역시,700만원 이상,3,5,25,20,60,0,20,0
53332367,20230607,F,60대,부산광역시,300만원 미만,3,5,25,40,30,20,10,0
53332425,20230607,F,40대,대구광역시,300이상500만원 미만,1,5,15,10,20,50,20,0
53332666,20230607,F,20대,경기도,300만원 미만,2,5,20,70,0,30,0,0
53332725,20230607,M,60대,충청남도,300이상500만원 미만,3,3,21,30,40,20,10,0
53332743,20230607,F,30대,울산광역시,300만원 미만,5,6,37,70,10,15,5,0
53332754,20230607,F,60대,경기도,500이상700만원 미만,3,3,21,20,50,0,30,0
