,description,link,media,title
0,"국토교통부는 새로운 드론 서비스와 기술을 도심지에서 구현해 보는 '2020년도 드론 실증도시' 사업이 부산, 대전, 제주, 경기 고양 등 4개 도시에서 6월부터 시작됐다고 2일 밝혔다. 국토부는 이달 항공안전기술원과...",http://news.mt.co.kr/mtview.php?no=2020070213535189193,머니투데이,"""짜장면 시키신 분~"" 한강에 드론 배달부 뜬다"
1,KT가 언택트 시대에 발맞춰 배달앱 음식 주문만큼 더 쉽고 빠른 온라인 핸드폰 쇼핑 서비스를 내놓는다. KT는 공식 온라인몰 KT샵에서 '1분주문 & 1시간배송' 서비스를 오픈한다고 1일 밝혔다. 이름 그대로 빠르게...,http://www.newspim.com/news/view/20200701000234,뉴스핌,"KT 핸드폰 구매, 짜장면 배달처럼...'1분주문&1시간 배송' 서비스 오픈"
2,우리의 달착지근한 짜장면 맛과 달리 북한의 짜장면은 된장 맛을 살려 구수한 것이 특징이라고 한다. 다만 돼지고기와 감자 등이 어우러진 짜장면에 오이채 고명을 얹은 모양새가 우리의 짜장면과 굉장히 닮았다. 북한...,https://www.news1.kr/articles/?3978873,뉴스1,한국인의 별미 '짜장면'…북한에선 어떻게 먹을까?
3,━ 동네 중국집 짜장면 원산지는 어디서 확인? 23일 국립농산물품질관리원에 따르면 7월 1일부터 배달음식점이 전화로 판매하는 음식 포장에도 원산지 표시가 의무화된다. 지난해 9월 개정된 농수산물의 원산지 표시에...,https://news.joins.com/article/olink/23403216,중앙일보,동네 중국집 배달 짜장면도 원산지 표시…다음달부터 시행
4,"중앙시장에는 현지인들이 가는 맛집이 많다 순대를 먹고 나오다가 냉면과 짜장면을 먹었다. 술을 마시면 탄수화물이, 특히 면이 당긴다. 시장에 '원미냉면'이라는 가게가 있다. 냉면과 짜장면을 같이 판다. 냉면이 고작 6...",http://www.travie.com/news/articleView.html?idxno=21513,트래비,"대전, 맛있는 음식을 먹으며 잘 살고 있었던 겁니다"
5,알프스하동종합복지관(관장 김용환)은 호국보훈의 달을 맞아 지난 25일 호국보훈 가족과 복지관 이용자 400명을 대상으로 사랑담은 짜장면 나눔 행사를 가졌다고 29일 밝혔다. 이번 짜장면 나눔 행사는 6ㆍ25전쟁...,http://www.gnmaeil.com/news/articleView.html?idxno=452670,경남매일신문,하동종합복지관， 호국보훈의 달 짜장면 나눔 행사
6,알프스하동종합복지관(관장 김용환)은 호국보훈의 달을 맞아 지난 25일 호국보훈 가족과 복지관 이용자 400명을 대상으로 사랑담은 짜장면 나눔 행사를 가졌다고 26일 밝혔다. 이번 짜장면 나눔 행사는 6·25전쟁 70주년을...,http://www.newsmaker.or.kr/news/articleView.html?idxno=101372,뉴스메이커,"하동복지관, 호국보훈의 달 '사랑담은' 짜장면 나눔"
7,알프스하동종합복지관은 호국보훈의 달을 맞아 지난 25일 호국보훈 가족과 복지관 이용자 400명을 대상으로 사랑담은 짜장면 나눔 행사를 가졌다고 26일 밝혔다. 이번 짜장면 나눔 행사는 6·25전쟁 70주년을 맞아 하동군...,http://www.weeklytoday.com/news/articleView.html?idxno=199186,위클리오늘,호국보훈의 달 사랑담은 짜장면 나눔
8,"짜장면이었다. 짜장면은 음식 이상의 무엇이었다. 늘 미쳐 있었다. 다른 건 몰라도, 평생 먹어온 짜장면의 기억은 거의 저장되어 있을 정도다. 스무 살 무렵 광주에서 먹었던 충격적인 무 짜장면(당시 그 지역에서는 감자가...",http://kookbang.dema.mil.kr/newsWeb/20200626/1/BBSMSTR_000000010050/view.do,국방일보,[박찬일 병영칼럼] 짜장면을 사랑합니다
9,"러브잼#짜장면#37개월""이라는 게시글과 함께 세 장의 사진이 게재됐다. 사진 속 잼잼이는 온 입에 짜장 소스를 묻히고 귀엽고 사랑스러운 매력의 정점을 찍었다. 잼잼이는 맛있게 짜장면을 먹으며 랜선 이모와 삼촌들의...",http://biz.heraldcorp.com/view.php?ud=202006272253334187710_1,헤럴드POP,"문희준♥소율 딸 잼잼이, 짜장면 폭풍 먹방..오늘도 세젤귀"
