,description,link,media,title
0,재판에서 '닭갈비 식사'가 새로운 쟁점으로 떠오르면서 해당 음식점을 향한 관심도 높아지고 있다. 일부 여권 지지자들은 특검 수사와 정면으로 배치되는 증언을 한 해당 닭갈비집 사장을 '돈쭐(돈으로 혼쭐을 내주자는...,https://hankookilbo.com/News/Read/A202006240730000019?did=NA,한국일보,"[SNS 눈] ""돈쭐 내주자"" 김경수 재판 증언 닭갈비집이 핫한 이유"
1,"1심 재판부는 김 지사가 댓글조작 프로그램인 ‘킹크랩’ 시연을 봤다고 판단했지만, 김 지사는 항소심에서 특검이 킹크랩 시연을 봤다고 주장한 시각에 드루킹 일당과 닭갈비로 식사를 했다고 주장하며 인근 닭갈비집에...",http://www.segye.com/content/html/2020/06/23/20200623520953.html?OutUrl=naver,세계일보언론사 선정,"“한명숙 수사·재판 과정의 문제”… 巨與, 이젠 사법개혁 공세"
2,"앞서 1심 재판부는 김 지사가 킹크랩 시연을 봤다고 인정했고, 이에 김 지사는 항소심에서 당시 드루킹 일당과 닭갈비로 식사를 했다고 주장하며 인근 닭갈비집에서 닭갈비 15인분을 사온 영수증을 제시했다. 1심 재판부는...",https://www.sedaily.com/NewsView/1Z44JUDGRS,서울경제,"김경수 ""킹크랩 시연 있을 수 없어···특검이 답할 차례"""
3,"연예인에 비유하자고 하자 나태주는 ""사실 진짜 좋아했던 연예인 있다, 배우 쪽에는 박보영""이라면서 ""오래전부터 응원 많이 해, 나중에 시간되면 커피라도 한잔, 아니면 닭갈비라도 사드리겠다""며 즉석에서 영상편지로...",http://moneys.mt.co.kr/news/mwView.php?no=2020062507368038786,머니S,"나태주 ""이상형♥ 박보영, 닭갈비 사줄게요"""
4,"측이 닭갈비 15인분을 포장해갔다는 취지로 증언했다. 홍 씨는 ""저희 테이블은 2~19번까지고 21~25번은 가상의... 당일 닭갈비 영수증에 '25번'이 찍힌 이유를 설명했다. 이는 당일 '킹크랩 시연회'가 있었는 지를 판가름...",http://www.idomin.com/news/articleView.html?idxno=732385,경남도민일보,드루킹 재판 '닭갈빗집 증언'에 동선 입증되나
5,"이어서 '초저가의 비밀' 코너는 13,900원 3종 닭갈비와 닭발 무한리필 맛집의 초저가 노하우를 공개한다.... 13,900원 3종 닭갈비+닭발 무제한 맛집 '닭찌'는 경기도 화성시 효행로 1051에 위치해있다. KBS '2TV생생정보...",http://www.kjdaily.com/read.php3?aid=1591083482512663208,광주매일신문,[2tv생생정보통맛집오늘] 밀면·팔보완자·3종닭갈비
6,2020년 6월 23일 국회에서더불어민주당 원내대책회의가 진행되었다. 진실언론 팩트TV가 독자 여러분의 소중한 제보를 받습니다.뉴스 가치나 화제성이 있다고 판단되는 영상을 ()으로 보내주시면 적극 반영하겠습니다.,http://facttv.kr/facttvnews/detail.php?number=28752&thread=14r08,팩트TV,"[영상] 김경수 잡으려다 닭갈비에 무너진 특검..전재수 ""특검은 수사보고서 허위작성 경위 밝혀라"""
7,"그 대표적인 예로, 남녀노소 호불호없이 좋아하는 숯불닭갈비 뷔페 '사계진미 숯불닭갈비'를 꼽았으며, 최근 차별화된 메뉴와 체계적인 시스템으로 전국 매장 평균 순수익률 35%를 기록해 신규창업 아이템 및...",http://www.ccdailynews.com/news/articleView.html?idxno=1074854,충청일보,"업종변경창업 성공사례 다수 '사계진미 숯불닭갈비', 평균 순수익률 35%로 가맹상담 문의 증가"
8,"숯불 닭갈비 뷔페 '사계진미 숯불닭갈비'가 예비 창업자들로부터 주목받고 있다. 요즘 뜨는 프렌차이즈 사계진미 숯불닭갈비에서는 담백하계(소금구이), 달달하계(간장구이), 화끈하계 (고추장구이) 등 3가지 맛의...",http://www.ccdailynews.com/news/articleView.html?idxno=1074578,충청일보,"유망 창업아이템 '사계진미 숯불닭갈비', 요즘 뜨는 프랜차이즈로 업계 강타해 주목"
9,최근 하림이 출시한 '화끈한 순살닭갈비'(사진 왼쪽)와 '순진한 순살닭갈비'(사진 오른쪽). 하림이 신제품 '화끈한 순살닭갈비'와 '순진한 순살닭갈비' 2종을 선보였다. 하림 '화끈한 순살닭갈비'와 '순진한 순살닭갈비'는...,http://www.chukkyung.co.kr/news/articleView.html?idxno=57602,축산경제신문,"하림, '순살닭갈비' 2종"
